ID,Año,Estado,Mes,Delegación,Colonia,Tipo,Ruta,Evidencia,Link,Foto de Evidencia,Soporte Publicitario,Formato de Anuncio,Anunciante(s),Campaña,Industria,Gerente,BUM,Dirección,Categoria,Medicion
80,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_43,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_43,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_43,Panel de Pasillo,Digital,HUAWEI,BRANDING,Telecomunicaciones,Fabiola Cortéz,Eli Caballero,Roberto Caballero,Pagado,Antiguo
81,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_44,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_44,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_44,Panel de Pasillo,Digital,HUAWEI,FREEBUDS 4I,Telecomunicaciones,Fabiola Cortéz,Eli Caballero,Roberto Caballero,Pagado,Antiguo
83,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_46,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_46,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_46,Panel de Pasillo,Digital,HUAWEI,BRANDING,Telecomunicaciones,Fabiola Cortéz,Eli Caballero,Roberto Caballero,Pagado,Antiguo
86,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_50,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_50,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca99cee3-1fd2-4678-bbad-14ae0eb5f925%5D%2Fanuncio_terminal_50,Antetecho,Digital,PROCURADURIA DE LA DEFENSA DEL CONTRIBUYENTE,VIAJE CANCELADO,Gubernamental,RI,RI,RI,Pagado,Antiguo
89,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_4,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_4,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_4,Panel de Pasillo,Digital,HUAWEI,BRANDING,Telecomunicaciones,Fabiola Cortéz,Eli Caballero,Roberto Caballero,Pagado,Antiguo
93,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_10,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_10,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_10,Panel de Pasillo,Digital,HUAWEI,FREEBUDS 4I,Telecomunicaciones,Fabiola Cortéz,Eli Caballero,Roberto Caballero,Pagado,Antiguo
99,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_19,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_19,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_19,Muro Publicitario,Digital,MONEX,BANCA DIGITAL,"Bancos, Financieros, Seguros, Credito y Empeño",Monserrat Garcés,Oscar,Alejandro Leal,Pagado,Antiguo
101,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_23,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_23,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_23,Panel de Pasillo,Digital,HUAWEI,MATEBOOK D 16,Telecomunicaciones,Fabiola Cortéz,Eli Caballero,Roberto Caballero,Pagado,Antiguo
105,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_27,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_27,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_27,Antetecho,Digital,PROCURADURIA DE LA DEFENSA DEL CONTRIBUYENTE,VIAJE CANCELADO,Gubernamental,RI,RI,RI,Pagado,Antiguo
120,2021,CDMX,04-abr-21,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_46,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_46,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Aeropuerto+Abril+2021%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeddd6756-674a-4568-ac80-616fe6c3ccd7%5D%2Fanuncio_terminal_46,Muro Publicitario,Digital,IZZI,MOVIL,Telecomunicaciones,Isabel Guerra Ramirez,Christian,Alejandro Leal,Pagado,Antiguo
