Año,Estado,Mes,Delegación,Colonia,Tipo,Ruta,Limite 1,Limite 2,Distancia Recorrida,Evidencia,Link,Foto de Evidencia,Display,Formato de Anuncio,No,Anunciante(s),Cat,Campaña,Industria
2022,Jalisco,Julio,Zapopan,Real Vallarta,Centros Comerciales,Galerías Guadalajara,N/A,N/A,2 Kilometros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0013c503-aa94-4a59-b643-cce3d4de8ed9%5D%2Fanuncio_foto_31,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0013c503-aa94-4a59-b643-cce3d4de8ed9%5D%2Fanuncio_foto_31,,Banner flotante,Digital,1,20TH CENTURY FOX,,Al filo del abismo,"Entretenimiento, Cine, Espectaculos, Juegos y Sorteos"
2022,Quintana Roo,Julio,Cancún,La Isla,Centros Comerciales,La Isla Cancún,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7a718a43-c643-43a8-b3b4-92804c605418%5D%2Fanuncio_foto_15,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7a718a43-c643-43a8-b3b4-92804c605418%5D%2Fanuncio_foto_15,,Muro Publicitario,Impreso,2,2CAP,,Branding,#N/A
2022,EDOMEX,Julio,Tlalnepantla De Baz,Jardines De Santa Mónica,Centros Comerciales,Mundo E,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ace721b3c-e9b1-4be4-84bd-b75e96d628ac%5D%2Fanuncio_foto_34,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ace721b3c-e9b1-4be4-84bd-b75e96d628ac%5D%2Fanuncio_foto_34,,Panel de pasillo,Digital,3,ACEITES DE OLIVA DE ESPAÑA,,Branding,#N/A
2022,EDOMEX,Julio,Tlalnepantla De Baz,Jardines De Santa Mónica,Centros Comerciales,Mundo E,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ace721b3c-e9b1-4be4-84bd-b75e96d628ac%5D%2Fanuncio_foto_35,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ace721b3c-e9b1-4be4-84bd-b75e96d628ac%5D%2Fanuncio_foto_35,,Panel de pasillo,Digital,4,ACEITES DE OLIVA DE ESPAÑA,,Branding,#N/A
2022,EDOMEX,Julio,Tlalnepantla De Baz,Jardines De Santa Mónica,Centros Comerciales,Mundo E,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ace721b3c-e9b1-4be4-84bd-b75e96d628ac%5D%2Fanuncio_foto_39,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ace721b3c-e9b1-4be4-84bd-b75e96d628ac%5D%2Fanuncio_foto_39,,Panel de pasillo,Impreso,5,ACEITES DE OLIVA DE ESPAÑA,,Branding,#N/A
2022,CDMX,Julio,Miguel Hidalgo,Ampliación Granada,Centros Comerciales,Plaza Carso,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A50acc55b-6227-4a30-bc4a-ef5b30478060%5D%2Fanuncio_foto_50,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A50acc55b-6227-4a30-bc4a-ef5b30478060%5D%2Fanuncio_foto_50,,Muro Publicitario,Impreso,6,ACUARIO INBURSA,,PINGÜINAVIDAD,"Entretenimiento, Cine, Espectaculos, Juegos y Sorteos"
2022,CDMX,Julio,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa5df6dd4-bbab-4027-aa11-900b9f727ebf%5D%2Fanuncio_foto_2,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa5df6dd4-bbab-4027-aa11-900b9f727ebf%5D%2Fanuncio_foto_2,,Muro Publicitario,Impreso,7,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa5df6dd4-bbab-4027-aa11-900b9f727ebf%5D%2Fanuncio_foto_3,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa5df6dd4-bbab-4027-aa11-900b9f727ebf%5D%2Fanuncio_foto_3,,Espectacular,Impreso,8,ADIDAS,,Stan Smith,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa5df6dd4-bbab-4027-aa11-900b9f727ebf%5D%2Fanuncio_foto_7,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa5df6dd4-bbab-4027-aa11-900b9f727ebf%5D%2Fanuncio_foto_7,,Muro Publicitario,Impreso,9,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2d326c5e-28b8-4374-b7de-3585a671b491%5D%2Fanuncio_foto_9,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2d326c5e-28b8-4374-b7de-3585a671b491%5D%2Fanuncio_foto_9,,Muro Publicitario,Digital,10,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
