Establecimiento,Lat,Lon
#¿NOMBRE?,19.40406522,-99.17338423
06 EL BARATERO,19.47588543,-99.15394547
0TSO,19.36792745,-99.23235242
12 ABARROTES,19.48495214,-99.14869373
14-15 ABARROTES SIN NOMBRE,19.48495214,-99.14869373
190 TIENDA DE SEMILLAS Y ABARROTES,19.39870924,-99.18781968
193-194 ABARROTES,19.39870924,-99.18781968
20 ABARROTES DON ARMANDO,19.47588543,-99.15394547
21 ABARROTES SIN NOMBRE,19.47588543,-99.15394547
22 ABARROTES SIN NOMBRE,19.47588543,-99.15394547
23 ABARROTES YAMARI,19.47588543,-99.15394547
23-24 TIENDA DE ABARROTES,19.48495214,-99.14869373
239 ABARROTES,19.47588543,-99.15394547
25 ABARROTES SIN NOMBRE,19.47588543,-99.15394547
3 HERMANOS,19.32001344,-99.15436501
35 VENTA DE ABARROTES SIN NOMBRE,19.47588543,-99.15394547
38 ABARROTES SIN NOMBRE,19.47588543,-99.15394547
4 HERMANOS,19.30514048,-99.2389563
427 ABARROTES,19.39870924,-99.18781968
435 ABARROTES,19.39870924,-99.18781968
5 HERMANOS,19.4472704,-99.1347632
52 Y 53,19.35244429,-99.16120195
A BARROTES YATSA,19.25277123,-99.12386394
AARROTES MISOLOREN,19.22865206,-99.19768989
AB ARROTES ANDREA,19.22591024,-99.0844893
AB MINI SUPER,19.35994007,-99.28579839
ABA EL TIBER,19.3364034,-99.02659049
ABA MAR,19.3363654,-99.03166505
ABAARROTES LA FLOR DE DURAZNO,19.23348536,-99.09639074
ABAARROTES MIS NIETOS,19.39457061,-99.11049433
ABAARROTES Y SEMILLAS EL GALLITO,19.29902094,-99.26461592
ABABROTES EL GYM,19.35115699,-99.02661621
ABABRROTES EL CUADRO,19.32584526,-99.11804746
ABABRROTES LUPITA,19.47901735,-99.1189755
ABABRROTES VINOS Y LICORES ROMERO,19.21498889,-98.97439971
ABAERROTES BOMBAO,19.37327399,-99.03774432
ABAMEX,19.4825471,-99.11226385
ABAQRROTES ROSARIO,19.32767455,-99.12467868
ABAR4ROTES SIN NOMBRE,19.42800364,-99.12334063
ABARFROTES LA GUERA,19.46398021,-99.15341825
ABAROOTES ARYAM,19.36138466,-99.02581368
ABAROOTES EITAN,19.44827045,-99.1381332
ABAROOTES EL FENIX,19.48400974,-99.07201746
ABAROOTES JUQUILA,19.19882387,-99.13837029
ABAROOTES LA CHINITA,19.45272368,-99.18315601
ABAROOTES SOFIA,19.32893212,-99.09417413
ABAROTES DIANA,19.22847694,-99.08742555
ABAROTES LOS REYES,19.19830028,-99.13868112
ABARR0TES GANSITO,19.29366934,-99.06296844
ABARR0TES ISIS,19.27505546,-99.11699252
ABARR0TES JIMENA,19.22157082,-98.96410097
ABARR0TES LA ESQUINITA,19.30915237,-99.03758198
ABARR0TES LA FLORIDA,19.23237226,-99.09233781
ABARR0TES LA GRAN BODEGA 2,19.32262414,-99.26265855
ABARR0TES LA OAXAQUEÑA,19.32954195,-99.17031719
ABARR0TES MC,19.31510983,-99.1571147
ABARR0TES PABLITO,19.30165175,-99.23365387
ABARR0TES SAN NICOLAS,19.29808969,-99.23974691
ABARR0TES Y MOLES GARCIA,19.28820366,-98.99932135
ABARR0TES YUCATAN,19.36027938,-99.01882874
ABARRARROTES EL RETOÑO,19.38817765,-99.19571863
ABARRATES EL 58,19.44077953,-99.13475272
ABARRATES EL PUENTE,19.24765535,-99.12019106
ABARRATES LA 15,19.51612671,-99.15950215
ABARRATES LUPITA,19.31101232,-99.06750911
ABARRATES MARY,19.49213432,-99.1829997
ABARRATES SANTIAGO,19.31009884,-99.23473853
ABARRATOS BECOS,19.3412353,-99.06678028
ABARRATOS FUENTES,19.50284353,-99.0883371
ABARRATOS HERNANDEZ,19.302998,-99.07549978
ABARRATOS LA GUADALUPANA,19.48568556,-99.11998425
ABARRATOS MICKEL,19.35716558,-99.06548632
ABARRATOS SIN NOMBRE,19.27345211,-99.1535218
ABARRETES LA PALMA,19.50256834,-99.10066153
ABARRITES JESUS,19.34609809,-99.07236387
ABARRITES MALU,19.24822321,-99.16354646
ABARRITES VICKYLU,19.37555192,-99.06778349
ABARRLOTES BLANQUITA,19.34044541,-99.00536576
ABARROES KIKINA,19.36639197,-99.03880394
ABARROES LA CASITA,19.22036932,-99.20025429
ABARROES LOS TIGRES,19.35087255,-99.05017868
ABARROES RANCHO ESCONDIDO,19.25374167,-99.2291475
ABARROES SIN NOMBRE,19.35942311,-99.05834581
ABARROITES MANFIS,19.48396055,-99.2082997
ABARROOTES DON VIC,19.2439738,-98.99536425
ABARROPTES AGUILAR,19.34153117,-99.02450748
ABARROPTES LOS 3 GIRASOLES,19.29465898,-99.17439822
ABARRORES FERCHO,19.38627341,-99.05787729
ABARRORES KAREN,19.27279159,-99.24306634
ABARRORES LA VENTANITA DE FLOR DE SALVIA,19.31990612,-99.06006655
ABARRORES LOS BUHOS,19.45759908,-99.19289803
ABARRORES LUZ KARINA,19.48397046,-99.20833531
ABARRORES MIGUELITO,19.33219876,-99.27072424
ABARRORES ROXANA,19.36361578,-99.05012029
ABARRORES SAN SEBASTIAN II,19.43207886,-99.12327861
