Punto,Lat,Lon
1,25.747546,-100.310676
2,25.736445,-100.314532
3,25.735236,-100.314953
4,25.685383,-100.317954
5,25.683302,-100.378408
6,25.681848,-100.377602
7,25.673735,-100.368741
8,25.674722,-100.366366
9,25.674599,-100.424437
10,25.674219,-100.433564
11,25.674362,-100.42901
12,25.669022,-100.354118
13,25.669022,-100.354118
14,25.669022,-100.354118
15,25.669542,-100.354077
16,25.664835,-100.351582
17,25.664835,-100.351582
18,25.664479,-100.351633
19,25.659623,-100.345815
20,25.660269,-100.347313
21,25.65619,-100.340782
22,25.619708,-100.27075
23,25.619956,-100.270796
24,25.619956,-100.270796
25,25.619831,-100.270767
26,25.62895,-100.278118
27,25.627835,-100.27736
28,25.63447,-100.28158
29,25.642183,-100.286391
30,25.65689,-100.295721
31,25.64686,-100.289592
32,25.649526,-100.291352
33,25.643228,-100.287393
34,25.645932,-100.289004
35,25.633346,-100.281197
36,25.637019,-100.288554
37,25.658857,-100.343865
38,25.659816,-100.345566
39,25.663538,-100.35247
40,25.667998,-100.353721
41,25.667998,-100.353721
42,25.667461,-100.35352
43,25.668402,-100.353849
44,25.66881,-100.35382
45,25.66881,-100.35382
46,25.680177,-100.317625
47,25.686324,-100.3168
48,25.774236,-100.288838
49,25.747801,-100.310447
50,25.735198,-100.314994
51,25.736551,-100.314421
52,25.724693,-100.31716
53,25.684039,-100.318182
54,25.695938,-100.367823
55,25.683679,-100.378742
56,25.682276,-100.377711
57,25.672989,-100.370333
58,25.673682,-100.368738
59,25.67461,-100.424924
60,25.674598,-100.426651
61,25.674527,-100.432974
62,25.67425,-100.434176
63,25.674373,-100.426358
64,25.659726,-100.345969
65,25.637362,-100.287829
66,25.634286,-100.299055
67,25.635675,-100.298039
68,25.73335,-100.304784
69,25.740264,-100.30238
70,25.742525,-100.301576
71,25.774398,-100.288824
72,25.775458,-100.288698
73,25.76307,-100.305726
74,25.747844,-100.310459
75,25.747844,-100.310459
76,25.734888,-100.315053
77,25.736363,-100.314566
78,25.725146,-100.317176
79,25.685191,-100.318017
80,25.67352,-100.319657
81,25.66665,-100.326351
82,25.680867,-100.351945
83,25.697284,-100.356843
84,25.700979,-100.364267
85,25.700032,-100.362364
86,25.701769,-100.365679
87,25.706558,-100.37119
88,25.710491,-100.375284
89,25.715228,-100.38153
90,25.717404,-100.383863
91,25.722687,-100.39222
92,25.724265,-100.394266
93,25.718193,-100.38519
94,25.719795,-100.387311
95,25.708993,-100.374339
96,25.705723,-100.37083
97,25.705881,-100.370985
98,25.69614,-100.367804
99,25.682358,-100.377723
100,25.702146,-100.366925
101,25.699861,-100.362977
102,25.697639,-100.358757
