Establecimiento,Lat,Lon
Walmart Cuautepec Madero,19.563427,-99.131682
Bodega Aurrera Express Roberto Esquerra,19.553417,-99.132752
Bodega Aurrera Express San Felipe de Jesús,19.497088,-99.076554
Bodega Aurrera Express,19.555454,-99.137359
Bodega Aurrera Express Gabriel Hernandez,19.501146,-99.095953
Bodega Aurrera Express Cuauhtémoc Centenario,19.496782,-99.097625
Bodega Aurrera Express Cuautepec la Pastora,19.531755,-99.142103
Bodega Aurrera Express Parque Tepeyac,19.501006,-99.112391
Bodega Aurrera Express General Carrera (3662),19.489746,-99.103598
Walmart Eduardo Molina,19.479511,-99.09566
Bodega Aurrerá San Juan de Aragón,19.465455,-99.082029
Walmart Acueducto de Guadalupe,19.531022,-99.156027
Bodega Aurrera Express Acatitla,19.380896,-99.015484
Walmart Torres de Lindavista,19.506269,-99.143466
Bodega Aurrera Express Victoria,19.468721,-99.109367
Bodega Aurrerá Express Unidad Gabriel González,19.370438,-99.011576
Bodega Aurrera Express Carrión,19.36601,-99.008524
Bodega Aurrera Express,19.415664,-99.058576
Bodega Aurrera Ferrocarril Hidalgo,19.471649,-99.114588
Walmart Tepeyac,19.471716,-99.120808
Bodega Aurrera Express,19.502012,-99.156275
Bodega Aurrera express,19.415536,-99.0701
Bodega Aurrera Express Sasatras (2258),19.345625,-99.001231
Bodega Aurrera 3860 Zaragoza,19.392817,-99.051064
Bodega Aurrerá Express Romero Rubio,19.440526,-99.100756
Bodega Aurrerá Pantitlán,19.400588,-99.06132
Bodega Aurrera Express Platino - BAE PLATINO 1843,19.455146,-99.119053
Ba Express Paraje Zacatepec,19.357648,-99.021656
Bodega Aurrera - Etzatlán,19.451848,-99.119889
Bodega Aurrera Express Eje 1 Norte,19.433373,-99.104688
Bodega Aurrera Iztapalapa Norte,19.34702,-99.0185
Bodega Aurrera Plaza Ermita,19.347212,-99.0191
Walmart Aeropuerto,19.419527,-99.093813
Bodega Aurrerá Express Iztaccíhuatl,19.426718,-99.101994
Walmart Prohogar,19.475715,-99.151798
Bodega Aurrera Express La Raza (2237),19.467957,-99.144966
Bodega Aurrera Express Ferrocarril de Cintura,19.443187,-99.120987
Bodega Aurrera Ojito De Agua,19.345099,-99.025192
Bodega Aurrera Cabeza De Juarez,19.378625,-99.058847
Bodega Aurrera Express Congreso de la Unión,19.434698,-99.119281
Bodega Aurrerá Express Troncoso,19.426256,-99.111013
Bodega Aurrera Express,19.447902,-99.132797
Bodega Aurrera Express Plan de Ayala,19.348218,-99.034076
Walmart Puerta Tlatelolco,19.456034,-99.141974
Walmart Balbuena,19.417997,-99.1056
Bodega Aurrera Ferreria Tienda,19.489122,-99.179778
Bodega Aurrera Express,19.42984,-99.12413
Bodega Aurrera Express Barrio Los Reyes (2191),19.486544,-99.181555
Bodega Aurrerá Express,19.450555,-99.145921
Bodega Aurrera Express,19.39927,-99.095431
Walmart Plaza Oriente,19.384137,-99.080452
Bodega Aurrerá Express 1640,19.422617,-99.121142
Bodega Aurrera Express Pasteros 2190,19.494404,-99.193815
Walmart Pasteros,19.494436,-99.193852
Bodega Aurrera Express 2893 Granjas,19.475368,-99.17498
Walmart El Rosario,19.502809,-99.202972
Bodega Aurrerá Express Guerrero 1641,19.444857,-99.146713
Ba Express Guadalupe Victoria 1903,19.33884,-99.044231
Bodega Aurrera Express Los Gallos (2266),19.455942,-99.162675
Walmart Buenavista,19.443489,-99.153327
Bodega Aurrera Express Azafrán,19.403404,-99.113411
Bodega Aurrera Express,19.434488,-99.147647
Bodega Aurrera Express San Juan Bautista,19.491609,-99.204852
Bodega Aurrerá La Viga,19.414137,-99.127647
BODEGA AURRERA EXPRESS TEZOZOMOC,19.481396,-99.198486
Bodega Aurrera Express 2207 plutarco Elías calles,19.39873,-99.116228
Bodega Aurrera,19.421934,-99.139748
Bodega Aurrera Express Hidalgo Monroy,19.353032,-99.072138
Walmart Azcapotzalco,19.4729,-99.192614
Bodega Aurrera Express Emiliano Zapata,19.493854,-99.214794
Walmart Rivera De San Cosme,19.44329,-99.164318
Bodega Aurrera Plaza Churubusco,19.380917,-99.102403
Ba Express Popotla,19.453884,-99.176456
Bodega Aurrerá Los Ángeles Iztapalapa,19.346268,-99.069
Bodega Aurrera express 1480 El Vergel.,19.333367,-99.057152
Bodega Aurrera express,19.413114,-99.137098
Bodega Aurrera Express Mar Mediterraneo (2206),19.459595,-99.184583
Bodega Aurrera Serapio Rendon,19.434192,-99.160793
Bodega Aurrera Express El Manto,19.35228,-99.083723
Bodega Aurrera Express 2134,19.420972,-99.152971
Bodega Aurrera Express,19.265889,-98.998046
Bodega Aurrera express 3186 barrio San pedro,19.395325,-99.129321
Bodega Aurrera Express Lago Michigan,19.455088,-99.189225
