Punto,Lat,Lon
ACIERTA SOLUCIONES FINANCIERAS,19.491847,-99.173391
APOYO ECONOMICO FAMILIAR SA DE CV,19.255731,-99.173497
ASESORES Y SOLUCONES PA SA  CV,19.438607,-99.210699
AUTO CASH MEXICO,19.338898,-99.204051
AUTO DINERO,19.357842,-99.085797
AUTO DINERO,19.299558,-99.106126
AUTO QUICK CAHS,19.334297,-99.145624
AUTO QUICK CAHS,19.334298,-99.145624
AUTODINERO,19.303602,-99.178099
BAZAR,19.419803,-99.164205
BE STOCK,19.401654,-99.169771
CASA DE  EMPEÑO EL DIAMANTE MONTE PIO,19.472710,-99.121724
CASA DE EMPEÑO,19.307670,-99.247415
CASA DE EMPEÑO,19.289589,-99.015078
CASA DE EMPEÑO,19.275057,-99.171623
CASA DE EMPEÑO  CRES-EFECTIVO MÉXICO,19.406979,-99.184683
CASA DE EMPEÑO AUTO DINERO,19.471685,-99.179278
CASA DE EMPEÑO AYUDA FAMILIAR,19.420661,-99.120872
CASA DE EMPEÑO BAZAAR,19.471888,-99.122445
CASA DE EMPEÑO CASH,19.388494,-99.040836
CASA DE EMPEÑO CERRITO,19.365602,-99.143424
CASA DE EMPEÑO CONTINENTAL,19.547986,-99.125642
CASA DE EMPEÑO EFFECTIVO EXPRESS,19.190544,-99.021540
CASA DE EMPEÑO EL CERRITO,19.370000,-99.141121
CASA DE EMPEÑO EL CERRITO,19.299804,-99.106320
CASA DE EMPEÑO EL CERRITO,19.402342,-99.184635
CASA DE EMPEÑO EL CERRITO,19.316886,-99.074038
CASA DE EMPEÑO EL CERRITO,19.349787,-99.071917
CASA DE EMPEÑO EL CERRITO,19.271436,-99.005090
CASA DE EMPEÑO EL CERRITO,19.382744,-99.101361
CASA DE EMPEÑO EL CERRITO,19.456609,-99.215029
CASA DE EMPEÑO EL CERRITO SUCURSAL ZARAGOZA,19.400702,-99.063826
CASA DE EMPEÑO EL DIAMANTE MONTE PIO,19.472710,-99.121724
CASA DE EMPEÑO EL DIAMANTE MONTEPIO,19.384622,-99.095235
CASA DE EMPEÑO EL DIAMENTE,19.311463,-99.150654
CASA DE EMPEÑO EL REFUGIO,19.488615,-99.106555
CASA DE EMPEÑO ELCERRITO,19.311201,-99.149254
CASA DE EMPEÑO EMPEÑO FACIL,19.426540,-99.161518
CASA DE EMPEÑO EMPEÑO FACIL SUCURSAL 85342,19.395091,-99.076456
CASA DE EMPEÑO EZPAWN USA,19.409204,-99.120419
CASA DE EMPEÑO EZPAWN-MANAGEMENT MEXICO,19.321597,-99.221893
CASA DE EMPEÑO FACIL,19.411226,-99.162453
CASA DE EMPEÑO FIRST CASH,19.474658,-99.084535
CASA DE EMPEÑO LAS 7 VIDAS,19.356198,-99.106090
CASA DE EMPEÑO MAS BILLETE SOCIEDAD PRENDATARIA,19.335223,-99.074687
CASA DE EMPEÑO MEGA EMPEÑOS,19.356005,-99.106288
CASA DE EMPEÑO MEXI CASH,19.329581,-99.154237
CASA DE EMPEÑO MONTE DE OAXACA,19.395300,-99.134856
CASA DE EMPEÑO MONTE DE OAXACA,19.443384,-99.087761
CASA DE EMPEÑO MONTE DEL PAIS,19.343916,-99.190738
CASA DE EMPEÑO MONTE DEL PAÍS,19.458562,-99.185457
CASA DE EMPEÑO MONTE DEL PUEBLO,19.478300,-99.118698
CASA DE EMPEÑO MONTE ESPERANZA,19.559965,-99.139668
CASA DE EMPEÑO MONTE ESPERANZA SUCURSAL 2,19.557356,-99.134990
CASA DE EMPEÑO MONTE MITLA,19.338948,-99.064748
CASA DE EMPEÑO MONTE MITLA,19.300453,-99.113444
CASA DE EMPEÑO MONTE PIO SAN FRANCISCO,19.274969,-99.005191
CASA DE EMPEÑO MONTE PROVIDENCIA,19.255359,-99.011453
CASA DE EMPEÑO MONTE PROVIDENCIA,19.332790,-99.119929
CASA DE EMPEÑO MONTE REAL,19.479321,-99.186774
CASA DE EMPEÑO MONTE SAN ÁNGEL,19.388264,-99.122020
CASA DE EMPEÑO MONTEPIO SAN FRANCISCO,19.481336,-99.070715
CASA DE EMPEÑO MONTEPIO SAN FRANCISCO,19.370995,-99.213815
CASA DE EMPEÑO MONTEPIO SAN JOSE,19.290422,-99.223073
