Punto,Lat,Lon
FARMACIA INSURGENTES,10.25839375,-124.4455263
FARMACIA AYAX,19.22323867,-99.20078726
FARMACIA ATZ,19.3536997,-99.30055867
FARMACIA CRISTY,19.35463926,-99.24178075
DERMA CARE FARMACIA,19.38714222,-99.24785032
FARMACIA FORMA FE,19.33245254,-99.16742772
FARMACIA MATEO,19.37752194,-99.20639593
FARMACIA PAOLA,19.17557071,-98.99780615
FARMACIA XISA,19.32637021,-99.11989534
CONSULTORIO DE FARMACIA BENAVIDES,19.36981926,-99.14132936
FARMACIA PHARMA CLUB,19.40133151,-99.15902946
FARMACIAS DE VANGUARDIA,19.44832189,-99.18990627
FARMACIAS DEL PUEBLO,19.44831413,-99.18981918
FARMACIA DE BERTHAGUEZ,19.33690276,-99.06558707
FARMACIA MONSERRAT,19.38467554,-99.11315756
FARMACIA LA MICHOACANA,19.37162977,-99.09481415
FARMACIA EL GALEON DE MANILA,19.37365583,-99.09475316
FARMACIA,19.384333,-99.10102232
BARAFARMA,19.37898844,-99.09391228
FARMACIA GI,19.4739843,-99.18398837
FARMACIA BUCEDI,19.35676177,-99.05290321
FARMACIA GI,19.47456979,-99.16202912
FARMACIA DIPARMA,19.37486703,-99.0542817
FARMACIA SAN MIGUEL,19.43972488,-99.11665533
FARMACIA INTERNACIONAL,19.41828,-99.0793346
FARMACIA DE ORIENTE,19.38539857,-99.03684907
FARMACIA ARBOLEDA,19.13575192,-99.17392876
FARMACIA CERVIN,19.13564547,-99.17369416
FARMACIA DE DIOS,19.13664198,-99.17347676
FARMACIA GI AHUALIZAPAN,19.30781488,-99.33530139
FARMACIAS GI,19.30885604,-99.33583939
FARMACIA GI CONSULTORIO,19.31424977,-99.33060038
FARMACIA GI Y CONSULTORIO,19.31988226,-99.33274132
FARMACIA ALEJANDRA,19.32360096,-99.32522002
FAMACIA SAN LORENZO,19.32839035,-99.32750561
FARMACIA SAN FRANCISCO,19.23824345,-99.23735283
FARMACIA SAN CARLOS,19.21592045,-99.21500052
FARMACIA ARACELI,19.32968349,-99.32660722
FARMACIA GEA,19.21709156,-99.21397445
FARMACIA DR SIMI,19.33007619,-99.32643559
FARMACIA GI,19.33083406,-99.32630052
FARMACIA LISTTER FRMACIAS,19.23910224,-99.2337738
FARMACIA ABY,19.21572065,-99.21013557
FARMACIA SAN JOSE,19.239204,-99.23357695
FARMACIA PARAISO,19.24327479,-99.23746211
FARMACIA SAN GABRIEL,19.33169432,-99.3253811
FARMACIA SANTO TOMÁS,19.21774522,-99.20704478
FARMACIA ALPINISTA,19.21754876,-99.20648372
FARMACIA SAN JUDAS,19.21765715,-99.20513802
FARMACIA PROVIDENCIA,19.21766124,-99.20474539
ECO FARMACIA GI,19.218318,-99.20392517
FARRAM SA DE CV,19.22084827,-99.20417243
FARMACIA SAN JORGE,19.22413107,-99.20407273
FARMACIA LUPITA,19.22528433,-99.20434894
FARMACIA C M S,19.22221495,-99.2009687
FARMA REGS,19.22925645,-99.20602632
FARMACIA SERAFIN DE LA SALUD,19.22506887,-99.20080774
FARMACIA SAN MIGUEL,19.22511293,-99.2007117
FARMACIA SAN MARTIN,19.22604545,-99.20116497
MINI SUPER SAGRADO CORAZON DE JESUS,19.226446,-99.20133692
FARRAM SA DE CV,19.2256359,-99.19989104
FARMACIA NATALY,19.26831011,-99.24255755
FARMACIA SAN JUAN,19.22566757,-99.19967365
FARMACIAS POPULARES,19.22562202,-99.19952723
FARMACIA Y CONSULTORIO,19.2672816,-99.23989168
FARMACIA PATY,19.26744137,-99.23937987
FARMA AMIGOS,19.22781597,-99.19817394
FARMACIA TLALOC,19.21476657,-99.18330741
FARMACIA CRUMOR,19.21219967,-99.18048124
FARMACIA SAN JUDAS,19.27037215,-99.23838225
FARMACIA ECONOMICA SUSY,19.27033165,-99.23799402
MI FARMACIA,19.27246017,-99.23998767
FARMACIA,19.32329179,-99.2907626
FARMACIA GLORIA,19.30381224,-99.26962615
FARMACIA ABIGAIL,19.26971132,-99.23528354
FARMACIA KATY,19.27625032,-99.24104345
