Punto,Lat,Lon
.CENTRAL DE TORNILLOS Y BIRLOS,19.37702809,-99.06639578
101 Sucursal Llano de la Torre,19.36475829,-99.15530012
102 Llano Matriz Llano de la Torre,19.36482264,-99.154972
103 Baesa Llano de la Torre,19.36518577,-99.15541186
104 División 2100 Llano de la Torre,19.3645707,-99.15490063
107 Marmoles -Matriz Marmoles y Tocadores de Cuernavaca,19.3659273,-99.15527868
108 Zapata Llano de la Torre,19.36571622,-99.15522008
109 C.A.S. Matriz Comercial Azulejera del Sur,19.36398165,-99.15508235
110 Sucre Comercial Azulejera del Sur,19.39029943,-99.16429102
111 División 2016 Comercial Azulejera del Sur,19.3655834,-99.1551832
113 C. de Diseño Centro de Acabados y Diseños,19.3646582,-99.15474448
114 Pedregal Llano de la Torre,19.30637884,-99.20834241
115 Plaza Llano Llano de la Torre,19.36450519,-99.15522915
117 Popocatepetl Llano de la Torre,19.36189905,-99.15419898
202 Fycsa 261 Fycsa Llano de la Torre,19.46476209,-99.12478453
203 Fycsa 407 Llano de la Torre,19.47113461,-99.122336
207 FERRETERIA EL FOQUITO,19.39870924,-99.18781968
212 Zaragoza Llano de la Torre,19.38595764,-99.03640097
228 229 230 PLOMERIA Y HERRAMIENTA EN GENERAL,19.39870924,-99.18781968
257 BICOZ PLOMERIA,19.39870924,-99.18781968
273-274 CASA MUÑOZ,19.39870924,-99.18781968
278 A TLAPALERIA Y FERRETERIA LA HERRADURA,19.39940126,-99.18913469
278 D ALMACEN DE LA TLAPALERIA LA HERRADURA,19.3994441,-99.18942158
298 FERRETERÍA FROZAC MATERIAL ELECTRICO,19.39870924,-99.18781968
300 FERRETERIA,19.39870924,-99.18781968
301 FERRETERÍA EMI,19.39870924,-99.18781968
301 Mayoreo - Vertiz Llano de la Torre,19.36862501,-99.15530667
307 Llano Mayoreo Portales Llano de la Torre,19.37773919,-99.14705599
458 FERRETERÍA CASA GARCÍA,19.39870924,-99.18781968
458 FERRETERIA URIBE,19.39870924,-99.18781968
549 FERRETERIA Y JARCERIA,19.39870924,-99.18781968
554 FERREGAS REFACCIONES DE PLOMERÍA PARA ESTUFAS,19.39870924,-99.18781968
5-5-5 FERRETERIA CONSAZ,19.39870924,-99.18781968
609 630 5616 FERRETERIA EL PILOTO,19.39870924,-99.18781968
615 TORNILLOS,19.39870924,-99.18781968
8-9-10 FERRETERIA ARO,19.39870924,-99.18781968
AB TORTILLOS,19.37900671,-99.11767584
ABACUSA,19.47345685,-99.15704896
ABASTECEDORA DE BOMBAS Y CONTROLES S DE R L C V,19.43869199,-99.09053877
ABASTECEDORA DE LAVADEROS GONZALEZ,19.36730306,-99.23563779
ABASTECEDORA DE REPUESTOS INDUSTRIALES SA DE CV,19.40373116,-99.18473688
ABASTECEDORA DE TORNILLOS,19.39217574,-99.04728129
ABASTECEDORA DE TORNILLOS,19.37317172,-99.13656084
ABASTECEDORA FERRETERA DEL SUR,19.27876059,-99.1225785
ABASTECIMIENTO DE PLOMERIA,19.37264188,-99.14425024
ABIDI,19.23463504,-99.11895682
ABRASIVOS EL ABUELITO,19.49377141,-99.08459836
ABRASIVOS HIDALGO,19.41420471,-99.14453172
ABRASIVOS Y PASTAS ANDRADE,19.4175614,-99.1305238
ACABADOS PARA CONSTRUCCION,19.27578469,-99.00250627
ACC 02 PLOMERIA,19.39870924,-99.18781968
ACCESORIOS PARA BAÑOS,19.38857639,-99.11192176
ACCESORIOS PARA NOVIA FLORA,19.46061712,-99.12784978
ACCESORIOS PARA PLOMERIA Y SERVICIO,19.31389113,-99.11469347
ACCESORIOS VILLA,19.41454532,-99.14528259
ACEROS ATOCPAN,19.20329323,-99.04574151
ACEROS DEL PONIENTE,19.35373316,-99.30912635
ACEROS LALUCETA,19.27159565,-99.18105049
ACEROS LAMINAS NACIONALES,19.54221635,-99.14357107
ACEROS RENO,19.46804934,-99.12511724
ACEROS SAN MIGUEL,19.21079749,-99.15524925
ACEROS SAN PEDRO,19.26725291,-99.17068495
ACEROS SORIA,19.33166858,-99.05725966
ACEROS TULYEHUALCO,19.25351614,-99.00949198
ACEROS Y LAMINAS NACIONALES,19.54186803,-99.13969182
ACEROS Y MALLAS METALICAS,19.40262266,-99.12294303
ACEROS Y PERFILES ALHER,19.38920468,-99.07749784
ACEROS Y PERFILES EL 144,19.43023231,-99.10069832
ACEROS Y PERFILES SAN JOAQUIN,19.4246036,-99.06643691
ACOSTA DE LA TORRE,19.37264188,-99.14425024
ACRIPLAS,19.38437198,-99.13917289
ACRTICULOS DE DE PLOMERIA SIN NOMBRE,19.39030397,-99.09196371
ADEMA DE MÉXICO,19.36473087,-99.14836043
ADVANTIX,19.43103372,-99.1408456
AFA FERRETERA,19.49760033,-99.09652598
AFILADOS ESPECIALES FERRETERIA SAS,19.35196351,-99.28516391
AGRECEM,19.43004111,-99.10141266
AISLANTES Y MAGNETOS SAN LORENZO,19.38607218,-99.02611832
ALAMBRES CALIBRADOS,19.41605271,-99.17706472
ALEJANDRA Y MIGUEL,19.41454536,-99.14528258
ALFA FASTENING,19.49444578,-99.11466197
ALIANZA ELÉCTRICA,19.43074529,-99.14660468
ALIANZA FERRETERA,19.30561308,-99.25899453
ALIS ABASTECEDORA NACIONAL,19.40295977,-99.14522662
ALIS ABASTECEDORA NACIONAL,19.43517411,-99.20131857
ALMACÉN CEYLAN,19.49343488,-99.16973851
ALMACEN DE MATERIAL DE LEYVA MENDEZ PERITAJES,19.39235596,-99.06438505
ALMACEN FERRETERIA MARTINEZ,19.31249152,-99.04497292
ALMÁCEN Y/O BODEGA,19.41429829,-99.1459988
ALSER LED,19.43138716,-99.14308628
ALUCENTER,19.47316934,-99.15376611
ALUMBRADO SA DE CV,19.50152726,-99.12447067
ALUMBRADO Y DECORACION DE MEXICO,19.4315782,-99.14437539
ALUMEX PUEBLA,19.40664837,-99.07940617
ALUMINIO DEL CENTRO,19.46432776,-99.1605756
AM CENIT,19.32556798,-99.14593768
AMRO FERRETERÍA,19.40429723,-99.10842001
AMUER INTERNATIONAL,19.50803257,-99.14912368
ANA LAURA TLAPALERIA,19.34573526,-99.07133048
ANAHUAC,19.41455602,-99.14528147
ANCLO,19.38560943,-99.15408613
ANCLO CENTRO,19.40232129,-99.14181578
ANGULOS Y PERFILES SAN ISIDRO,19.3133466,-99.25780038
ANILLOS ALA MEDIDA,19.37698929,-99.01039395
ANTENAS,19.39946692,-99.05557574
APPCORE POWER,19.4987145,-99.13016739
AQT FERRETERA,19.43054751,-99.12692514
AQT FERRETERO,19.43102506,-99.12637419
AQT FERRETERO,19.49917436,-99.1515493
AQUA CLYVA,19.43082469,-99.14470791
ARAGON JARQUIN ELECTRONICA,19.4300802,-99.1402872
ARANDELAS Y TORNILLOS,19.48421622,-99.14982375
ARAUTELCO MEXICO,19.48614038,-99.18063503
ARL INDUSTRIAL,19.34244937,-99.04678997
ARLANZON,19.43860697,-99.21069868
ARROW MEXICO,19.44945941,-99.11942146
ARTCULOS DE PLOMERIA PADRIÑAN,19.36077217,-99.22748852
ARTE DECORA ILUMINA,19.44641464,-99.14734029
ARTICULOS DE ELECTRONICA SIN NOMBRE,19.45244898,-99.09746523
ARTICULOS DE FERRETERIA,19.41454536,-99.14528258
ARTICULOS DE FERRETERIA SIN NOMBRE,19.49643651,-99.08258854
ARTICULOS DE FERRETERIA TLAPALERIA Y PRODUCTOS DOMESTICOS,19.39870924,-99.18781968
"ARTÍCULOS DE FERRETERÍA, PLOMERÍA Y SOLDADURA",19.41558882,-99.14641203
ARTICULOS DE GAS Y PLOMERIA INDUSTRIAL,19.41454532,-99.14528259
ARTICULOS DE LAMINA,19.26149249,-99.10468255
ARTICULOS DE LAMINA,19.26149249,-99.10468255
ARTICULOS DE PLMERIA,19.4125625,-99.14698425
ARTICULOS DE PLOMERIA,19.37266162,-99.12991023
ARTICULOS DE PLOMERIA,19.42840557,-99.10660501
ARTICULOS DE PLOMERIA,19.36074174,-99.22753676
