Punto,Lat,Lon
377- 378- 379 FLORERIA VALERIA,19.47588543,-99.15394547
380- 381 FLORERIA ALEXIS,19.47588543,-99.15394547
45 PLANTAS Y FLORES,19.48495214,-99.14869373
454 FLORERÍA LUPITA,19.39870924,-99.18781968
88-89 VENTA DE FLORES,19.47588543,-99.15394547
ACCESORIOS PARA FLORERIAS SIN NOMBRE,19.40873735,-99.12578055
ACTIVIDAD ECONÓMICA DENTRO DE LA VIVIENDA VENTA DE PLANTAS EXÓTICAS,19.29220004,-99.22688831
ACUXOCHITL,19.37630363,-99.09029405
ADDEFLOR,19.4068134,-99.12317115
ADORNOS DE JABON Y MADERA,19.45530316,-99.12832786
ADORNOS MARY,19.37975919,-99.07716478
AFLORARTE,19.44056645,-99.17018618
AGRO SERVICIO Y JARDINERIA AKIRA FUKUSHIMA TAKEHISA,19.2500813,-99.10107968
AGROFERTIL,19.29979101,-99.10016239
AGROS SER,19.25034898,-99.10054885
AGROTECNIA,19.25039841,-99.10178246
ALAKRAN STUDIO,19.40873324,-99.12560869
ALDABA JARDINES,19.38840292,-99.26280668
ALEMENTOS Y ACCESORIOS DE MASCOTAS 368 369 370 371,19.46167637,-99.11284455
ALFARERIA,19.24705504,-99.10333489
ALFARERÍA,19.38065928,-99.13874069
ALFARERIA 21,19.24713526,-99.10342303
ALFARERIA ARTICULOS PARA EL HOGAR.FLORES Y PLANTAS,19.44370103,-99.13512647
ALFARERIA AYALA,19.29979101,-99.10016239
ALFARERIA BLANCA ESTELA,19.29979101,-99.10016239
ALFARERIA DARIEN,19.40873735,-99.12578055
ALFARERIA DARIEN,19.40873735,-99.12578055
ALFARERIA DOÑA JOAQUIS,19.40873735,-99.12578055
ALFARERIA EL CHINO,19.40873735,-99.12578055
ALFARERIA LOCAL 4,19.24721074,-99.10353933
ALFARERIA MARISOL,19.29979101,-99.10016239
ALFARERIA TOBI,19.29979101,-99.10016239
ALFARERIA Y CERAMICA,19.36260253,-99.11177144
ALFARERIA Y PLANTAS NATURALES,19.46475641,-99.16897169
ALMACEN SIN NOMBRE,19.29979101,-99.10016239
AMÉRICA DISEÑO FLORAL,19.40873735,-99.12578055
ANDRA,19.40690577,-99.12474794
ANROMA,19.35495066,-99.16811829
ANTO JARDINERIA,19.29979101,-99.10016239
ARBOLES FRUTALES SIN NOMBRE,19.29979101,-99.10016239
AREGLOS FLORALES,19.29846157,-99.17391611
ARENDSI BOUTIQUE FLORAL,19.38457558,-99.1607079
ARQUITECTURA DEL PAISAJE,19.29979101,-99.10016239
ARQUITECTURA FLORAL,19.41852017,-99.21500968
ARREGLOS ANALUIZA,19.2509575,-99.0999354
ARREGLOS ANAOLY,19.251036,-99.09973521
ARREGLOS AURORA,19.29979101,-99.10016239
ARREGLOS FLORALES,19.32582354,-99.05106022
ARREGLOS FLORALES,19.46236525,-99.09248069
ARREGLOS FLORALES,19.37607924,-99.09030508
ARREGLOS FLORALES 98,19.28783812,-99.16721682
ARREGLOS FLORALES ADRIANA,19.37975919,-99.07716478
ARREGLOS FLORALES EL BONITO,19.29979101,-99.10016239
ARREGLOS FLORALES EL ROSAL,19.48123205,-99.12769502
ARREGLOS FLORALES HELECHOS,19.27221805,-99.00506939
ARREGLOS FLORALES NOEMI,19.40873735,-99.12578055
ARREGLOS FLORALES SIN NOMBRE,19.40873735,-99.12578055
ARREGLOS FLORALES SIN NOMBRE,19.3942486,-99.20831855
ARREGLOS FLORALES SIN NOMBRE,19.41971431,-99.09672718
ARREGLOS FLORALES SIN NOMBRE,19.40873735,-99.12578055
ARREGLOS FLORALES SIN NOMBRE,19.45987925,-99.09170043
ARREGLOS FLORALES Y ARTIFICIALES,19.37975919,-99.07716478
ARREGLOS FÚNEBRES,19.37975919,-99.07716478
ARREGLOS JULIA,19.49430718,-99.13369833
ARREGLOS MADRE SELVA,19.25015644,-99.10065829
ARREGLOS MARIEL,19.40873735,-99.12578055
ARREGLOS MARY,19.29979101,-99.10016239
ARREGLOS NATURALES,19.38065928,-99.13874069
ARREGLOS Y DETALLES FLORALES JATZIRI Y ZARA,19.42046395,-99.15759383
ARREGLOS Y MACETAS SIN NOMBRE,19.29979101,-99.10016239
ARTE DISEÑO Y PAISAJE,19.35497146,-99.16810931
ARTE EN FLORES,19.39003193,-99.11276715
ARTE VILLA MEXICO,19.29979101,-99.10016239
ARTE Y DISEÑO FLORAL,19.45784414,-99.20741083
ARTE Y DISEÑO FLORAL CAMILA FLORERIA,19.4477428,-99.0633082
ARTE Y DISEÑO FLORAL VIVALDI,19.40731312,-99.12116742
ARTE Y FIGURA,19.29979101,-99.10016239
ARTESANIA ASERET,19.29979101,-99.10016239
ARTESANIAS BRACHO,19.25971309,-99.03112543
ARTESANIAS CARADAN,19.34999429,-99.16298672
ARTESANIAS DE GUANAJUATO,19.29979101,-99.10016239
ARTESANIAS DEL CARMEN,19.29979101,-99.10016239
ARTESANIAS EL LUCERO,19.29979101,-99.10016239
ARTESANIAS GARCIA,19.29979101,-99.10016239
ARTESANIAS JOSE GARCIA,19.24752542,-99.10359645
ARTESANIAS LIZ-MAR,19.25024843,-99.10130133
ARTESANIAS LUCERO,19.29979101,-99.10016239
ARTESANIAS MAE,19.29979101,-99.10016239
ARTESANIAS MEXICANAS,19.29979101,-99.10016239
ARTESANIAS MEXICANAS JERONIMOS,19.29979101,-99.10016239
ARTESANIAS ROUS,19.29979101,-99.10016239
ARTESANIAS SAN JAVIER,19.24882602,-99.10187845
ARTESANIAS SANDOVAL,19.2472089,-99.10353456
ARTESANIAS Y MACETAS EL PUEBLO,19.24661691,-99.10285359
ARTESANNIAS CAMACHO,19.29979101,-99.10016239
ARTICULOS DE JARDINERIA,19.37285803,-99.18822439
ARTICULOS DE TEMPORADA SIN NOMBRE,19.21700813,-98.99507704
ARTICULOS PARA ARREGLOS FLORALES,19.40873735,-99.12578055
ARTICULOS PARA ARREGLOS FLORALES SIN NOMBRE,19.40873735,-99.12578055
ARTICULOS PARA FLORERIA,19.40873735,-99.12578055
ARTÍCULOS PARA FLORERÍA,19.40873735,-99.12578055
ARTICULOS VARIOS SIN NOMBRE,19.41793821,-99.07415307
ASOCIACION DE ROSEROS DE SAN JUAN TETLA,19.3754467,-99.09033616
AZAP ALTO DISEÑO EN FLORES Y REGALOS,19.42073194,-99.1558705
BAMBU DISEÑO FLORAL,19.40145489,-99.17758278
BAMBU MARCE,19.40873735,-99.12578055
BASES SARAHI,19.37626784,-99.08982894
BASES Y FLORES,19.37559652,-99.0903288
BASES Y FLORES,19.37588572,-99.09031458
BAZAR OHANA,19.37942334,-99.14399561
BETHANIA,19.42986934,-99.14646052
BETHANIA LOCAL 20,19.42986934,-99.14646052
BIODECOR,19.29979101,-99.10016239
BIOSFERA ARREGLOS FLORALES,19.37270972,-99.2777011
BIOTEC,19.2496084,-99.1010566
BLUE VELVET BOUTIQUE FLORAL,19.34695054,-99.18867686
BLUM DISEÑO FLORAL,19.38714222,-99.24785032
BLUMEN FLOWER DESIGN,19.41859132,-99.21375762
BODEGA,19.40873735,-99.12578055
BODEGA,19.40873735,-99.12578055
BODEGA,19.40824399,-99.12195775
BODEGA,19.40873735,-99.12578055
BODEGA,19.37975919,-99.07716478
BODEGA,19.29979101,-99.10016239
BODEGA,19.29979101,-99.10016239
BODEGA,19.29979101,-99.10016239
BODEGA,19.29979101,-99.10016239
BODEGA  DE PLANTAS,19.29979101,-99.10016239
BODEGA  DE PLANTAS,19.29979101,-99.10016239
BODEGA  DE PLANTAS,19.29979101,-99.10016239
BODEGA ARTESANIAS Y MACETAS ALISON,19.29979101,-99.10016239
BODEGA BIO DECOR,19.29979101,-99.10016239
BODEGA CASA HERNANDEZ,19.40715207,-99.12135893
BODEGA DE  PROSPMOR PROPAGACION DE PLANTAS YARBOLESDE MORELOS,19.24993696,-99.10071338
BODEGA DE APOYO FLORERÍA VERME,19.40873735,-99.12578055
BODEGA DE ARBOLES BONSAI,19.29979101,-99.10016239
BODEGA DE ARTICULOS DE CORTEZA,19.37639809,-99.08982342
BODEGA DE ARTICULOS PARA FLORERIA,19.37639809,-99.08982342
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE DISEÑOS JAMAICA,19.40632272,-99.12142081
BODEGA DE FLORERIA,19.40873735,-99.12578055
BODEGA DE FLORERIA CAMILA,19.44813471,-99.0622584
BODEGA DE FLORERÍA DISEÑOS SANDY,19.40873735,-99.12578055
BODEGA DE FLORERIA DON CHAVA,19.37975919,-99.07716478
BODEGA DE FLORERÍA KARINA,19.40873735,-99.12578055
BODEGA DE FLORERIA MACARIO,19.42711809,-99.21227297
BODEGA DE FLORERÍA PATO LUCAS,19.40892316,-99.12279622
BODEGA DE FLORERÍA PINEDA,19.40873735,-99.12578055
BODEGA DE FLORERIA PRADO,19.42711809,-99.21227297
BODEGA DE FLORERIA SIN NOMBRE,19.40873735,-99.12578055
BODEGA DE FLORES,19.37581686,-99.09031797
BODEGA DE FLORES,19.40667776,-99.12018088
BODEGA DE FLORES,19.40873735,-99.12578055
BODEGA DE FLORES,19.31629934,-99.06925989
BODEGA DE FLORES,19.40775839,-99.12112784
BODEGA DE FLORES,19.40873735,-99.12578055
BODEGA DE FLORES NATURALES,19.4590046,-99.18642303
BODEGA DE FLORES SIN NOMBRE,19.40892316,-99.12279622
BODEGA DE FLORES SIN NOMBRE,19.40873735,-99.12578055
BODEGA DE FLORES SIN NOMBRE,19.40873735,-99.12578055
BODEGA DE FLORES SIN NOMBRE,19.40892316,-99.12279622
BODEGA DE FLORES SIN NOMBRE,19.40873324,-99.12560869
BODEGA DE HORTALIZAS SIN NOMBRE,19.42800364,-99.12334063
BODEGA DE LA FLOR,19.45558823,-99.12816286
BODEGA DE MACETAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.36223817,-99.11217914
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.25084674,-99.09976301
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS,19.29979101,-99.10016239
BODEGA DE PLANTAS ROMERO HUERTA,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.40873735,-99.12578055
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS SIN NOMBRE,19.29979101,-99.10016239
BODEGA DE PLANTAS VIVEROS CINCINAL,19.29979101,-99.10016239
BODEGA DE PPLANTAS SIN NOMBRE,19.249333,-99.10146585
BODEGA DE TIERRA SIN NOMBRE,19.25089285,-99.09971484
BODEGA DE VENTA DE PLANTAS SIN NOMBRE,19.24933224,-99.10146511
BODEGA FLORERIA CHINAMPA,19.40873735,-99.12578055
BODEGA FLORERIA GOMEZ,19.37975919,-99.07716478
BODEGA FLORERIA HILDA,19.37975919,-99.07716478
BODEGA FLORERIA LULU,19.40873735,-99.12578055
BODEGA FLORERIA ROSY,19.40873735,-99.12578055
BODEGA FLORES,19.40873735,-99.12578055
BODEGA FLORESTA FLORESTA ARTE NATUTAL S.A DE C.V,19.45638536,-99.19642305
BODEGA JARDIN LIZ,19.29979101,-99.10016239
BODEGA LOCAL 63,19.42986934,-99.14646052
BODEGA PRESTADA DE 99 FLORES SOLO CARRIZO MIGUEL SANCHEZ,19.40682311,-99.1226718
BODEGA SIN NOMBRE,19.37975919,-99.07716478
BODEGA SIN NOMBRE,19.40873735,-99.12578055
BODEGA VENTA DE PLANTAS,19.40873735,-99.12578055
BODEGA VIVERO CALTONGO,19.24968407,-99.10097756
BONSAI ROMI,19.29395398,-99.10338792
BONSAI-CASANOVA,19.29979101,-99.10016239
BONSAIS PLANTAS Y REGALOS COYOACAN,19.35275168,-99.16388472
BOSQUES DE BAMBU,19.29979101,-99.10016239
CACTISUCUX,19.29979101,-99.10016239
CACTUS Y SUCULENTAS,19.29979101,-99.10016239
CACTUS Y SUCULENTAS MX,19.29979101,-99.10016239
CANCINO S FLORERIA Y REGALOS,19.40723729,-99.16641647
CANELO AND COMPANY,19.3752221,-99.08987338
CARNIVORUS PLANT SHOP,19.29979101,-99.10016239
CASA BLANCA,19.40873735,-99.12578055
CASA DE LAS FLORES ORQUIDEAS Y PLANTAS DE ORNATO,19.29548415,-99.1640721
CASA GALVEZ,19.34729089,-99.18129404
CASA GUTIERREZ,19.2462759,-99.102479
CASA MARIA,19.34952715,-99.17160804
CASA MARTÍNEZ,19.32464496,-99.21793061
CASA MAYA,19.42986934,-99.14646052
CASA ORQUIDEA,19.29979101,-99.10016239
CASA PANCHO JARDINES,19.41316226,-99.15805997
CASA SELVA BOUTIQUE DE FLORES,19.41690989,-99.17594941
CASA TAZZER,19.35497146,-99.16810931
CASA VERDE,19.43603553,-99.203408
CAVAFI,19.40679815,-99.12400565
CENTRO JARDINERO LOS SAUSES,19.24826081,-99.1028101
CENTROS DE MESA,19.29979101,-99.10016239
CENTROS DE MESA Y ARTICULOS VARIOS SIN NOMBRE,19.40873735,-99.12578055
CERAMICA Y PLANTAS,19.30003588,-99.17385857
CHIAPAS FLOWER,19.37639809,-99.08982342
CICA FLORAL,19.42676563,-99.21353831
CLEO,19.42050232,-99.1574315
CLOROFILA,19.40894329,-99.17638123
COCEPTOFLORAL ACES,19.42711809,-99.21227297
COMERCIALIZACION DE PLANTAS DE ORNATO SIN NOMBRE,19.25971309,-99.03112543
COMERCIALIZADORA CHILTEPEC S.A DE C.V,19.40677246,-99.12527077
COMERCIALIZADORA DE FLORES FLOR DELA CONCHITA,19.3438768,-99.15649136
COMERCIALIZADORA DE PLANTAS DE ORNATO SIN NOMBRE,19.25971309,-99.03112543
COMERCIALIZADORA DE PLANTAS Y MACETAS DEL SUR,19.29979101,-99.10016239
COMERCIALOIZADORA DE DISEÑO FLORAL,19.34485007,-99.19215093
COMERCIO AL POR MENOR DE ARTICULOS DE PAPELERIA SIN NOMBRE,19.29395398,-99.10338792
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.3004017,-99.17712204
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.37639809,-99.08982342
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.37639809,-99.08982342
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.33693987,-99.20163911
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.36272604,-99.27415859
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.42986934,-99.14646052
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.43859198,-99.20290676
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.29979101,-99.10016239
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.29008594,-99.162018
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.29008594,-99.162018
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.29008594,-99.162018
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.29008594,-99.162018
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.37897078,-99.08975607
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.40873735,-99.12578055
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.35497146,-99.16810931
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.19176923,-99.08992398
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.29979101,-99.10016239
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.24765127,-99.10310239
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.2476477,-99.103264
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.42986934,-99.14646052
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.42986934,-99.14646052
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.37628239,-99.09029509
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.37639809,-99.08982342
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.29979101,-99.10016239
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES,19.48324505,-99.2147601
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.34779985,-99.20802088
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.34782535,-99.20802816
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.29979101,-99.10016239
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.37639809,-99.08982342
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.24792036,-99.10298038
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.25096637,-99.09980829
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.24883808,-99.10202573
COMERCIO AL POR MENOR DE PLANTAS Y FLORES NATURALES SIN NOMBRE,19.25075384,-99.09986006
