Punto,Lat,Lon
ADONAI,19.46389824,-99.17492036
AGENCIA DE INHUMACIONES VELEZ,19.38964498,-99.04285095
AGENCIA DE INHUMACIONES Y SERVICIOS FUNERARIOS,19.36733961,-99.23411
AGENCIA DE SERVICIOS FUNERARIOS PEDREGALES,19.322134,-99.16138584
AGENCIA DE SERVICIOS FUNERARIOS TLATELOLCO,19.44854968,-99.13582064
AGENCIA EUSEBIO GAYOSSO,19.43390086,-99.16273388
AGENCIA FUNERALES CRISTO,19.41442164,-99.15301816
AGENCIA FUNERARIA,19.43942288,-99.11232423
AGENCIA FUNERARIA E. LAZCANO GENIS,19.48023255,-99.13543088
AGENCIA FUNERARIA FERNANDEZ,19.45386024,-99.11060293
AGENCIA FUNERARIA GAYOSSO,19.37613851,-99.17798058
AGENCIA FUNERARIA GUERRERO,19.44159916,-99.14678991
AGENCIA FUNERARIA JARAMILLO,19.37832834,-99.10460432
AGENCIA FUNERARIA JIMENEZ HERNANDEZ,19.48527235,-99.1082625
AGENCIA FUNERARIA LOS REYES,19.34666247,-99.10726102
AGENCIA FUNERARIA TAMAYO GOMEZ,19.46978612,-99.11132903
AGENCIA FUNERARIA URIBE VARGA,19.42124442,-99.16849386
AGENCIA FUNERARIA VARIG,19.47884786,-99.14723894
AGENCIA FUNERARIA VILLALOBOS,19.44441914,-99.09187938
AO TANATOPRACTORES,19.19981572,-99.15001511
ASISTENCIA FUNERARIA ORUN,19.44502652,-99.09353431
BODEGA DE OSF SERVICIOS FUNERARIOS,19.40081465,-99.0654988
BODEGA FUNERALES LA PASTORA,19.52415354,-99.14048278
BODEGA FUNERARIA,19.42240567,-99.11442356
CAMARENA FUNERALES,19.45858573,-99.11398621
CAPILLA FUNERARIA,19.42179177,-99.16601661
CASA FUNERARIA INTERNACIONAL,19.28995193,-99.22101353
CASA FUNERARIA J GARCIA LOPEZ,19.43042891,-99.15443783
CASA FUNERARIA VERSALLES,19.39126532,-99.08123431
CASAS FUNERARIAS,19.45847044,-99.19956339
CONSORCIO FUNERARIO,19.3059652,-99.06487137
CREMATORIO IZAZ,19.34411329,-99.0803331
DE ALBA MEMORIAL,19.4369552,-99.16090085
E.Z CASA FUNERARIA,19.36474369,-98.99445353
ELITE CARD,19.44046914,-99.15311781
EMBALSADORA GABDAN,19.342832,-99.05755092
EMBALSAMADORA DOCTORES,19.41203691,-99.15028601
EMBALSAMADORA DURAN,19.41204538,-99.14959835
EMBALSAMADORA FRANCO HERMANOS,19.40876714,-99.07384448
EMBALSAMADORA PROVIDENCIA,19.49245827,-99.21043804
EMBALSAMADORA SAN JUDAS TADEO,19.41529488,-99.15279572
ESPINOZA FUNERALES,19.36211298,-99.09744409
EXEQUIAS GUADALUPANA,19.48109216,-99.10377386
FONTANOT FUNERARIA,19.4156845,-99.1523283
FUNERAL MERCADO IZTAPALAPA,19.35303193,-99.09989406
FUNERALES,19.47249968,-99.18000489
FUNERALES,19.32096537,-99.11024679
FUNERALES AJUSCO,19.32220555,-99.15815833
FUNERALES ALBARRAN,19.36233806,-99.22425176
FUNERALES ALVAREZ,19.2764284,-99.1201484
FUNERALES AMERICA,19.42437722,-99.14936171
FUNERALES ANGELES,19.29460262,-99.0195314
FUNERALES ANGELES,19.54673067,-99.13693914
FUNERALES ANGELES,19.30613578,-99.06537755
FUNERALES ANTENAS,19.48012906,-99.06398586
FUNERALES ANUBIS,19.36786633,-99.03190367
FUNERALES ARAMBER,19.3406841,-99.10872198
