Punto,Lat,Lon
300 GIMNASIO EN FORMACION,19.43451481,-99.15863449
32B GIMNASIO LUPITA TACUBAYA,19.39901977,-99.18803729
360 FIT,19.26889564,-99.16015426
54D,19.38216011,-99.24922099
7 SEVEN SOCCER,19.25961441,-99.17212397
7-7 FIT CLUB CARDIO,19.28456803,-99.20615132
8W,19.42615059,-99.2217981
8W,19.36240031,-99.1829543
9 ROUND,19.35900822,-99.27485361
9 ROUND,19.37038946,-99.17450993
9 ROUND,19.40724614,-99.23987029
AARICK GYM,19.32788841,-99.28363689
AARONS CARDIO,19.44309697,-99.07827024
ABC GIMNASIO,19.35158727,-99.10105852
ACADEMIA DE ACONDICIONAMIENTO FISICO Y FITNESS,19.36805165,-99.14268773
ACADEMIA DE AERO FITNESS,19.46522434,-99.05964396
ACADEMIA DE ZUMBA,19.3989367,-99.06973424
ACADEMIA DE ZUMBA STYLE FLOWER,19.27202158,-98.99779113
ACADEMIA DE ZUMBA SUPER CHICAS,19.29152191,-99.05834598
ACADEMÍA FITNES DANCE,19.28662065,-99.23570198
ACCENT CYCLING,19.40951736,-99.17584874
ACHEH LHEALT @ FITNES,19.30303389,-99.11309639
ACONDICIONAMIENTO FICICO,19.39147776,-99.07848387
ACONDICIONAMIENTO FISICO CARDIO FITNESS,19.21441435,-98.99418985
ACONDICIONAMIENTO FISICO DEL CDC JALALPA TURNO MATUTINO,19.37170584,-99.23917687
ACONDICIONAMIENTO FÍSICO SATIAGO SPAT,19.24769423,-99.12354124
ACONDICIONAMIENTO FISICO SIN NOMBRE,19.22303774,-98.96560308
ACONDICIONAMIENTO FÍSICO TEKNOFIT,19.24921201,-99.1198775
ACONDICIONAMIENTO FISICO Y ZUMBA SIN NOMBRE,19.35568363,-99.03081263
ACONDICIONAMIENTO FISICO-SALA DE ZUMBA,19.37955946,-99.01444427
ACROPOLIS GYM,19.28178386,-99.11668868
ACSENDUM GIMNASIO DE ESCALADA,19.2859098,-99.13020216
ACTION FIT,19.32190924,-99.09765948
ACTIVATE FITNES,19.22568142,-98.96621143
ACTIVE 24 FITNESS,19.39813702,-99.15708667
ACTIVE FITNESS,19.47297007,-99.18943306
ACTIVE FITNESS,19.36701554,-99.13666872
ACTIVIADES DEPORTIVAS,19.32544251,-99.24780248
ACTIVIDADES DEPORTIVAS,19.32499778,-99.24674038
ACUATIC FITNESS,19.31800997,-99.22206353
ACUATIC LIFE   FITNES,19.43626898,-99.20753368
ADAM ERMITA,19.35619144,-99.10602045
ADMINISTRACION CANCHITAS IGNACIO ZARAGOSA,19.36675824,-99.11161888
AERO FIT DANCE,19.22633855,-99.20199856
AEROBIC S MARY,19.35114953,-99.00210912
AEROBICA FITNESS,19.42991147,-99.13232891
AEROBICOS,19.34742821,-99.08215456
AEROBICS,19.29807705,-99.07657777
AEROBICS MARTI,19.28958356,-99.06844213
AEROBICS Y ZOOMBA STAR FITNESS,19.32558018,-99.0275017
AERO-ZUMBA CENTRO DE ACTIVIDADES JARDIN BALBUENA,19.41786413,-99.10786964
AGGRESSIVE FIGHTERS,19.29814271,-99.07060049
AKA FITNESS,19.38275427,-99.18409294
AKSYSTEMS,19.42419549,-99.16633775
AKSYSTEMS,19.39453307,-99.16641368
ALL BLACKS 210,19.39398147,-99.1455278
ALL EXTREME WORK OUT,19.38307224,-99.23609668
ALL STARS SPINING,19.28107171,-99.20075134
ALPHA GYM,19.31635492,-99.14762901
AMANALI COUNTRY CLUB Y NAUTICA,19.3835472,-99.25098235
AMBESA FITNESS,19.29047182,-99.17886993
AMERICAN FITNESS,19.43421762,-99.13710136
AMERICAN FITNESS GIMNASIO,19.31448444,-99.16808037
AMERICAN FITNNES,19.3294498,-99.1291437
ANGELES GYM,19.34327947,-99.03610241
ANGHEL GYM,19.32643557,-99.02704604
ANIMAL GIM,19.38403023,-99.11726972
ANTRO FITNESS,19.33392557,-99.05947612
ANYTIME FITNESS,19.32122468,-99.13276893
APOCALIPSIS GYM,19.3511316,-98.99636115
AQUA GYM CENTER,19.37148953,-99.16485624
AQUATIK SPORT CENTER,19.42102993,-99.099855
AQUILES GYM,19.32798103,-99.05805263
ARENAL SPORT,19.42437655,-99.06545595
ARMONIA Y MOVIMIENTO,19.41977528,-99.15368216
ARMY GYM,19.30837586,-99.13513354
ARNOLD GYM,19.32325698,-99.05204456
ARNOLS GYM,19.48602409,-99.10185562
ART FITNES,19.41806051,-99.06603944
ARTHURS GYM,19.35028467,-98.99435619
ARTZZ CLUB,19.32025361,-99.13273796
ASMART FIT ERMITA,19.34779301,-99.01872315
ASOCIACION DE LA ESCUELA MILITAR DE AVIACION,19.42348011,-99.0869845
ASOSIACION CRISTIANA FEMENINA,19.43276011,-99.14862065
ASTRO CITY,19.40785984,-99.18571336
ASTROS SQUASH,19.45872035,-99.1948887
ATHENAS GYM,19.31204977,-99.15170407
ATLANTA GYM,19.2760824,-99.18712146
ATLETHA S GYM,19.38627188,-99.07931785
ATMOSFERA PILATES,19.38700747,-99.15417012
ATOMICA TREINIG CENTER,19.45812194,-99.06872804
AXION GET FIT,19.31800253,-99.1288464
AZTECA GYM,19.3596278,-99.02252288
AZUL MERENGUE,19.38470355,-99.15416698
B DINMYC,19.4361656,-99.15589439
B STRONGE,19.39222753,-99.09696724
BALERINA CENTER,19.30524302,-99.22143429
BAÑOS PUBLICOS DEL DEPORTIVO LA PURISIMA,19.35444709,-99.07273994
BARRIO FITNESS,19.38298874,-99.15247383
BARTS GIM,19.55188724,-99.13957119
BE FIT,19.49321887,-99.21105578
BE FITNESS,19.4713281,-99.10078968
BE ONE FITNESS,19.37302688,-99.17642637
BEAT,19.39299205,-99.16057489
BEATNESS,19.43523422,-99.18969644
BELIEVE FITNESS STUDIO,19.34886805,-99.22679039
BELLEZA EN MOVIMIENTO,19.40628488,-99.12987183
BIKE LAB CYCLING STUDIO,19.42833972,-99.21709588
BIOSPHERA FITNESS CENTER,19.36834341,-99.16859114
BLACK FITNESS,19.34197168,-99.03568788
BLACK GIM,19.39891149,-99.1243378
BLUE GYM,19.41346497,-99.06320455
BLUE SPORT CENTER,19.25039123,-99.16683911
BODEGA SIN NOMBRE,19.22909446,-99.11806568
BODY BRITE,19.46357933,-99.18210318
BODY EVOLUTION GYM,19.31890377,-99.24448112
BODY FACTORY FITNESS CENTER HEALTH ADICTION,19.4026347,-99.17315238
BODY FIDNESS PILATES,19.41820206,-99.1735007
BODY FIT,19.3057798,-99.23436145
BODY FRANKS,19.35111252,-99.02661995
BODY GYM,19.35359625,-99.12480474
BODY HERTZ,19.38960632,-99.17493667
BODY ON,19.36514882,-99.26431358
BODY PERFECT,19.31160144,-99.23670538
BODY SPORT CENTER,19.30197983,-99.11311558
BODY STRONG FITNESS,19.3324353,-99.11595439
BODYCICLYNG,19.36649637,-99.11293763
BODYMATION CENTER GYM,19.36655928,-99.14936717
BOLUCHI,19.49257979,-99.11687832
