Punto,Lat,Lon
LITLE CAESARS,19.329682,-99.12695
LITLE CAESARS,19.381129,-99.07979
LITLE CAESARS,19.343983,-99.18899
LITLE CAESARS,19.284397,-99.21778
LITLE CAESARS,19.314897,-99.12817
LITLE CAESARS,19.370986,-99.17717
LITLE CAESARS,19.449846,-99.18344
LITLE CAESARS,19.381992,-99.13395
LITLE CAESARS,19.359445,-99.13964
LITLE CAESARS,19.450915,-99.14598
LITLE CAESARS,19.422375,-99.17054
LITLE CAESARS,19.274437,-99.12052
LITLE CAESARS,19.364911,-99.00661
LITLE CAESARS,19.381993,-99.13395
LITLE CAESARS,19.295043,-99.1784
LITLE CAESARS,19.442602,-99.16361
LITLE CAESARS,19.258689,-99.01036
LITLE CAESARS,19.366052,-99.19844
LITLE CAESARS,19.357567,-99.12237
LITLE CAESARS,19.464111,-99.08135
LITLE CAESARS,19.39656,-99.09564
LITLE CAESARS,19.280348,-99.13698
LITLE CAESARS,19.344577,-99.15841
LITLE CAESARS,19.309058,-99.23132
LITLE CAESARS,19.365854,-99.19817
LITLE CAESARS,19.352095,-99.16242
LITLE CAESARS,19.335856,-99.17613
LITLE CAESARS,19.335947,-99.17583
LITLE CAESARS,19.343959,-99.189
LITLE CAESARS,19.280672,-99.1659
LITLE CAESARS,19.350012,-99.2232
LITLE CAESARS,19.33356,-99.04278
LITLE CAESARS,19.423087,-99.16297
LITLE CAESARS,19.250774,-99.09684
LITLE CAESARS,19.444183,-99.19874
LITLE CAESARS,19.414102,-99.09332
LITLE CAESARS,19.380458,-99.16586
LITLE CAESARS,19.470018,-99.1703
LITLE CAESARS,19.32194,-99.09523
LITLE CAESARS,19.468701,-99.15943
LITLE CAESARS,19.335221,-99.15729
LITLE CAESARS,19.29975,-99.11044
LITLE CAESARS,19.313089,-99.25908
LITLE CAESARS,19.295036,-99.17826
LITLE CAESARS,19.259285,-99.01015
LITLE CAESARS,19.316491,-99.07306
LITLE CAESARS,19.269668,-99.171
LITLE CAESARS,19.383271,-99.23463
LITLE CAESARS,19.337959,-99.12501
LITLE CAESARS,19.299709,-99.04274
LITLE CAESARS,19.365869,-99.15558
LITLE CAESARS,19.306685,-99.16185
LITLE CAESARS,19.297882,-99.12527
LITLE CAESARS,19.341025,-99.20851
LITLE CAESARS,19.287721,-99.05089
LITLE CAESARS,19.36089,-99.17088
LITLE CAESARS,19.3061,-99.16163
LITLE CAESARS,19.341013,-99.20861
LITLE CAESARS,19.372866,-99.20514
LITLE CAESARS,19.335215,-99.1572
LITLE CAESARS,19.308335,-99.23201
Little Caesars Pizza Centro Santa fe,19.362062,-99.27329
Little Caesars Pizza,19.401961,-99.16957
Little Caesars Pizza,19.434498,-99.13707
Little Caesars Pizza,19.433019,-99.14758
Little Caesars Pizza,19.40126,-99.13658
Little Caesars Pizza,19.352164,-99.01529
Little Caesars Pizza,19.382527,-99.06168
Little Caesars Pizza,19.366447,-99.10937
Little Caesars Pizza,19.493773,-99.07835
Little Caesars Pizza,19.466916,-99.12173
Little Caesars Pizza,19.484394,-99.11913
Little Caesars Pizza,19.4005933,-99.1879638
