Punto,Lat,Lon
ASOCIACIÓN FRANCO MEXICANA SUIZA Y BELGA DE BENEFICENCIA IAP,19.44106589,-99.216883
CEMENTERIO BRITANICO,19.45840299,-99.19988995
CEMENTERIO DE LOS ESTADOS UNIDOS,19.4415617,-99.16621131
CEMENTERIO DEL PUEBLO DE SAN PEDRO ZACATENCO,19.50533099,-99.12108463
CEMENTERIO DELEGACIONAL MILPA ALTA,19.18943089,-99.01398359
CEMENTERIO LOS ROSALES,19.41682688,-99.10268882
CEMENTERIO MILITAR DEL INSTITUTO DE SEGURIDAD SOCIAL,19.25676563,-99.16064004
CEMENTERIO PARTICULAR DE LA SOCIEDAD ALIANZA MONTE SINAI,19.45827898,-99.20049558
FUMERARIA SANTA CECILIA,19.22165567,-99.09858533
JARDIN GUADALUPANO,19.4260694,-99.20384221
JARDIN GUADALUPANO,19.4170727,-99.11554872
JARDIN GUADALUPANO LA RAZA,19.46611045,-99.1458861
JARDINES DE ORIENTE,19.42050758,-99.08311728
JEFATURA DE UNIDAD DEPARTAMENTAL DE DEFENSORIA CIUDADANA. OFICINA DE PANTEONES,19.18942371,-99.01396129
NUEVO PANTEON JARDIN SA DE CV,19.35509699,-99.25328899
NUEVO PANTEON SAN MATEO XALPA,19.22137908,-99.12700618
PANTEOAN ANEXO ZAPOTITLAN,19.30064519,-99.024631
PANTEON,19.52305893,-99.16235917
PANTEON AMÉRICANO,19.45823142,-99.20131348
PANTEON ATZACOALCO VIEJO,19.50078731,-99.0953451
PANTEON CHIMALCOYOTL,19.27207906,-99.16554944
PANTEÓN CIVIL DE DOLORES,19.40485871,-99.20473416
PANTEÓN CIVIL PUEBLO DE SAN JUAN DE ARAGÓN,19.46739575,-99.089279
PANTEON CIVIL SAN ISIDRO,19.48611631,-99.20861401
PANTEON CIVIL SAN LORENZO TEZONCO,19.3062402,-99.06417599
PANTEON CIVIL SAN NICOLAS TOLENTINO,19.34202414,-99.07607246
PANTEON CIVIL SAN NICOLAS TOLENTINO,19.34218049,-99.07612892
