Punto,Lat,Lon
BACHILLERATO ALEXANDER BAIN,19.35058851,-99.20430969
BACHILLERATO SENDA DOS MIL,19.41886281,-99.16962576
BACHILLERATO TECNOLÓGICO AZTLÁN,19.37379585,-99.18775005
BACHILLERATO TECNOLÓGICO GUADALUPE TEPEYAC,19.48146308,-99.11808707
BACHILLERATO TECNOLÓGICO JUSTO SIERRA,19.46412248,-99.1487616
C1,19.38908404,-99.26222948
CADE PREPA ABIERTA,19.29957081,-99.1251161
INSTITUTO TECNOLÓGICO ROOSEVELT,19.29736076,-99.15225565
CEDIM,19.36809741,-99.25992676
CENTRO DE ACCION SOCIAL COPILCO EL ALTO A.C.,19.33170131,-99.17733941
CENTRO DE ASESORIA EN ENSEÑANZA ABIERTA,19.32018698,-99.22530461
CENTRO DE BACHILLERATO TECNOLOGICO,19.34620928,-99.06324672
CENTRO DE CAPACITACIÓN ESTUDIO DIRIGIDO SOLUCIONES ESCOLARES,19.36776355,-99.17445645
UNIVERSIDAD CNCI PLANTEL HUIPULCO,19.29731,-99.15232
CENTRO DE ENSEÑANZA AZTECAS,19.32292021,-99.15993067
CENTRO DE ESTUDIOS ANGLOMETROPOLITANO,19.34063858,-99.21310741
CENTRO DE ESTUDIOS DE SISTEMA ABIERTO E INTENSIVO CESAI,19.36465017,-99.18874931
CENTRO DE ESTUDIOS GANTE,19.4357065,-99.19251009
COLEGIO SENDA 2000 FLEMING SC,19.34138189,-99.19095119
CENTRO DE ESTUDIOS TÉCNICOS COMERCIALES LATINO AMERICANO DE MÉXICO AC,19.44981646,-99.15861221
CENTRO DE ESTUDIOS Y CURSOS DE ADMISION CEYCA,19.33133865,-99.03805358
CENTRO DE EXCELENCIA ACADEMICA EXCELA,19.3541958,-99.16625143
CENTRO DE FORMACIÓN COYOACAN,19.30932673,-99.11595623
CENTRO EDUCATIVO ANAHUAC,19.44889113,-99.18212651
CENTRO EDUCATIVO EM MANUEL MOUNIER,19.36205281,-99.29318684
CENTRO EDUCATIVO LAZARO CARDENAS,19.29394798,-99.05531918
CENTRO EDUCATIVO PROFESIONAL SEVILLA,19.34406482,-99.19127435
CENTRO EDUCATIVO TRES CULTURAS SC,19.42485234,-99.1617215
CENTRO ESCOLAR NEWTON PLANTEL TLAHUAC,19.31893568,-99.07686262
CENTRO ESCOLAR NEWTON PLANTEL TLALPAN,19.35063,-99.14524
CENTRO TRILINGUE DE ESTUDIOS ESPECIALIZADOS,19.45057172,-99.156481
CMMA BACHILLERATO,19.39157452,-99.18595059
CMMA PREPARATORIA SC,19.3920184,-99.18560794
COLEGIO ALEJANDRO GUILLOT,19.2966214,-99.1285122
COLEGIO ALFREDO NOBEL  EMS-3-617,19.25014472,-99.10470023
COLEGIO BERNARDO DE BALBUENA,19.41905866,-99.10419395
COLEGIO BRITANICO SIN NOMBRE,19.38920098,-99.18190117
COLEGIO CEYCA BACHILLERATO,19.26216552,-99.17461681
COLEGIO DE CIENCIAS MATEMATICAS,19.39607305,-99.05582832
INSTITUTO MARILLAC,19.34166747,-99.1974374
COLEGIO DEL VALLE DE MÉXICO,19.30739165,-99.06745035
COLEGIO FRANCES HIDALGO DE MEXICO,19.4991218,-99.11423403
COLEGIO FRANCES JUANA DE ARCO BACHILLETATO,19.48870746,-99.11720267
COLEGIO HERMANN HESSE,19.45083106,-99.16181863
COLEGIO HIGHLANDS,19.30601032,-99.22144511
COLEGIO INTERAMERICANO BARNARD,19.3818788,-99.02914782
COLEGIO ISAC OCHOTERENA,19.42942166,-99.15454405
COLEGIO LEONARDO DA VINCI,19.25038695,-99.0104959
COLEGIO MÉXICO,19.40967917,-99.08561432
CENTRO DE COMPUTACIÓN PROFESIONAL DE MÉXICO,19.35149863,-99.07644071
COLEGIO NACIONAL DE MATEMATICAS,19.39517004,-99.15450218
COLEGIO NAPOLEON,19.36969315,-99.13812521
COLEGIO NACIONAL DE CAPACITACION INTENSIVA SC IZTAPALAPA,19.35153346,-99.075679
COLEGIO TECNOLOGICO DE MEXICO,19.30157133,-99.12137495
COLEGIO TECNOLÓGICO DEL SUR,19.26759449,-99.20994537
COLEGIO VERMONT PREPARATORIA,19.31564046,-99.23039924
COLEGIO VILASECA ESPARZA,19.37058489,-99.14111195
COLEGIO WINDSOR,19.26283842,-99.10546457
ESCUELA INSTITUTO NEWTON SC,19.38944334,-99.0618894
CORPORACION DE EDUCACION AVANZADA,19.34054763,-99.14289533
CORPORCION DE EDUCACION AVANZADA,19.34142434,-99.14058548
CSEP,19.48211914,-99.1845814
CUAM,19.35965336,-99.20342156
EDITORIAL IKNIUM,19.49021188,-99.13432798
EDUCACION MEDIA AVANZADA,19.41257457,-99.16103009
ESCUELA BACHILLERATO TECNOLOGICO LA VILLA ENGLISH ACADEMIA,19.48017821,-99.18664223
ESCUELA BENJAMIN FRANKLIN,19.47716533,-99.13101468
