Punto,Lat,Lon
"""CASA DE LA PRIMERA IMPRENTA DE AMÉRICA""",19.43365866,-99.13084421
PREPARATORIA EMILIANO ZAPATA TURNO MATUTINO,19.17698926,-98.99240789
ALMACEN EX-TIENDA UAM,19.29786326,-99.12090768
AZCAPOTZALCO BUFETE JURÍDICO,19.49868463,-99.1924286
BACHILLERATO A DISTANCIA,19.45195141,-99.13864837
BACHILLERATO A DISTANCIA,19.25264947,-99.01228754
BACHILLERATO CDMX PLANTEL TOKIO,19.57813631,-99.13430532
BACHILLERATO DE SISTEMA ABIERTO NUMERO 3,19.35388958,-99.03608
BACHILLERES 10,19.41391196,-99.07499191
IEMS OTILIA MONTAÑO,19.20254916,-99.14917781
C.E.C.Y.T. #15 DIODORO ANTUNEZ ECHEGARAY,19.22144804,-98.99559477
CASA DE LA CULTURA DE LAS BOMBAS,19.35640505,-99.0731532
CENTRO DE ESTUDIOS TECNOLÓGICOS INDUSTRIAL Y DE SERVICIOS 49,19.26164144,-99.12700254
CEDE DE BACHILLERATO A DISTANCIA DE LA S.E.P.,19.42161357,-99.13579956
CENTRO BACHILLERATO TECNOLOGICO AGROPECUARIO 35 LEONA BICARIO,19.1929712,-99.00726889
"CENTRO DE DIFUSIÓN DE LA CULTURA ""RAFAEL GALVÁN MALDONADO""",19.41592724,-99.15865235
CENTRO DE EDUCACIÓN ARTISTÍCA FRIDA KAHLO,19.43714045,-99.1553763
CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS (CECYT 1) GONZALO VAZQUEZ VELA,19.46599211,-99.09095406
CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS (CECYT 10) CARLOS VALLEJO MARQUEZ,19.4546312,-99.08107957
CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS (CECYT 12) JOSE MARIA MORELOS,19.46277523,-99.15198778
CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS (CECYT 13) RICARDO FLORES MAGON,19.34052834,-99.12971553
CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS (CECYT 14) LUIS ENRIQUE ERRO,19.44589245,-99.11430034
CETIS 39 PROFESORA MARIA PATIÑO VIUDA DE OLMEDO,19.26247085,-99.12758641
PREPARATORIA GENERAL FRANCISCO JOSÉ MUGICA TLALPAN 1 09GBH0013F,19.26740808,-99.22656551
CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS (CECYT 5) BENITO JUAREZ,19.33982788,-99.1306774
CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS (CECYT 6) MIGUEL OTHON DE MENDIZABAL,19.46795574,-99.15918799
CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS (CECYT 7) CUAUHTEMOC,19.34476617,-99.02674977
CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS (CECYT 9) JUAN DE DIOS BATIZ,19.45383876,-99.17491578
CONALEP PLANTEL XOCHIMILCO TURNO MATUTINO,19.26888473,-99.12820925
