Punto,Lat,Lon
BARTOLOME DE MEDINA,19.40124536,-99.19964572
CANADA SEC. 197,19.39396805,-99.17811044
CENTRAL DE LABORATORIOS Y TALLERES ARTURO CABALLERO ZERTUCHE,19.51106764,-99.20249026
DELEGACIÓN COYOACANESCUELA SECUNDARIA DIURNA 256,19.33586036,-99.17409579
DOCTORA MARGARITA CHJORNE TELESECUNDARIA,19.40061641,-99.19125073
ESC SEC DIURNA NUM 149 DAVID ALFARO SIQUEIROS SEP,19.31254908,-99.13306713
ESC SEC TEC 33 RAFAEL RAMIREZ CASTAÑEDA,19.38922135,-99.09152721
ESC SECUNDARIA GENERAL 258 LUIS ALVAREZ BARRET 09DES4258G,19.39244471,-99.07115304
ESC SECUNDARIA GENERAL 258 LUIS ALVAREZ BARRET E09DES0258F,19.39243193,-99.07115604
ESC. SEC.  GENERAL 213,19.42150785,-99.0578853
ESC. SEC. GRAL. FRANCISCO LUIS URQUIZA,19.41074344,-99.14479256
ESC. SEC. TEC. 110 MIGUEL OTHON DE MENDIZABAL,19.32669136,-99.0260314
ESCSECDIURNA 165 PDENTE SALVADOR ALLENDE,19.35786812,-99.04918034
ESCSECDIURNA 239 PLUTARCO ELIAS CALLES,19.3568086,-99.05083787
ESCSECUNDARIA TECNICA NUMERO 44 GENERAL FRANCISCO VILLA,19.37765463,-99.10964895
ESCUELA ANGEL TRIAS ALVAREZ,19.44246034,-99.13259392
ESCUELA DIURNA 263 DEPORTE PARA TODOS,19.45413403,-99.17505984
ESCUELA DON BENITO JUAREZ,19.41987325,-99.21847715
ESCUELA FEDERAL 307,19.55983049,-99.13609192
ESCUELA GABRIELA MISTRAL,19.3922506,-99.04426055
ESCUELA LUIS ALVARES BARRET 09DST,19.36379558,-98.99576316
ESCUELA MAESTROS MEXICANOS CCT 09DBS0022W,19.30975555,-99.23048988
ESCUELA PARA TRABAJADORES 35,19.49615678,-99.14536715
ESCUELA PROFESORA AMELIA GARCIA Y RUBIO,19.37691671,-99.03808628
ESCUELA SEC 139 JOSE ENRIQUE RODO,19.30479403,-99.18417684
ESCUELA SEC CARMEN SERDAN NO 169,19.35980557,-99.24640802
ESCUELA SEC DIURNA 165 PRESIDENTE SALVADOR ALLENDE,19.3570857,-99.04920222
ESCUELA SEC DIURNA 188 AZTECAS,19.32529867,-99.16794376
ESCUELA SEC DIURNA 206 ROBERTO KOCH CCT09DES0206Z,19.33515578,-99.11173705
ESCUELA SEC DIURNA DR ALFONSO PRUNEDA N0 31,19.25552775,-99.06527612
ESCUELA SEC DIURNA N0 31 DR ALFONSO PRUNEDA,19.25549964,-99.06536039
ESCUELA SEC DIURNA NUM 140 NETZAHUALCOYOTL,19.48730877,-99.19133196
ESCUELA SEC JONN F KENEDY,19.48381848,-99.20048027
ESCUELA SEC NUM 220 AGUSTIN YAÑEZ,19.39430823,-99.07898204
ESCUELA SEC TECNICA 64 SEP,19.3416694,-99.16787228
ESCUELA SECCUNDARIA DIURNA NUMERO 250 JESÚS M SOTELO E INCLAN,19.24220196,-99.09496609
ESCUELA SECECUNDARIA 16 PEDRO DIAZ,19.45217439,-99.13940498
ESCUELA SECUANDARIA FEDERAL 339 QUIRINO MENDOZA CORTES,19.25469976,-99.00663707
ESCUELA SECUBDARIA TECNICA 53,19.34599029,-99.03912909
ESCUELA SECUENDARIA TECNICA NO 92 CARLOS CASAS CAMPILLO,19.34028284,-98.9981284
ESCUELA SECUNDARI TECNICA NUMERO 23,19.44978868,-99.14309851
ESCUELA SECUNDARIA,19.50949881,-99.15893138
ESCUELA SECUNDARIA  NUMERO 61 PROFRA. OLGA ESQUIVEL MOLINA,19.39464456,-99.10571401
ESCUELA SECUNDARIA #109 LEON FELIPE,19.45901572,-99.20535967
ESCUELA SECUNDARIA 106 ANTONIO BALLESTEROS USANO,19.45284777,-99.13217814
ESCUELA SECUNDARIA 107 XOCHIMILCO,19.25718358,-99.10567077
ESCUELA SECUNDARIA 110 MAXIMO GORKI,19.51616384,-99.13218082
"ESCUELA SECUNDARIA 110 MAXIMO GORKI,",19.51616972,-99.13218144
ESCUELA SECUNDARIA 124 MEXICO 09DES0124Q,19.46133692,-99.17294522
ESCUELA SECUNDARIA 124 MEXICO 09DES4124R,19.46133981,-99.17296205
ESCUELA SECUNDARIA 125 PABLO CASALS,19.28409997,-99.15086316
ESCUELA SECUNDARIA 13,19.40778339,-99.13469033
ESCUELA SECUNDARIA 130,19.32031913,-99.15991588
ESCUELA SECUNDARIA 130 GUADALUPE CENICEROS DE ZAVALETA,19.32031719,-99.15991754
ESCUELA SECUNDARIA 132 JAPON,19.34165269,-99.0485031
ESCUELA SECUNDARIA 160,19.55144645,-99.13743497
ESCUELA SECUNDARIA 161 THOMAS ALVA EDISON,19.26853207,-99.14080378
ESCUELA SECUNDARIA 166 ALFONSO REYES,19.31242261,-99.25800649
ESCUELA SECUNDARIA 172 JUAN JACOBO ROUSSEAU TIEMPO COMPLETO,19.36783743,-99.02663994
ESCUELA SECUNDARIA 191 SILVESTRE REVUELTAS,19.46668977,-99.05931099
ESCUELA SECUNDARIA 192 VICENTE RIVA PALACIO GUERRERO CLAVE 09DES4192O,19.5145218,-99.20367562
ESCUELA SECUNDARIA 196 JUSTO A ZAMUDIO VARGAS,19.47483229,-99.18658233
ESCUELA SECUNDARIA 22 PARA TRABAJADORES ATLITIC,19.32941345,-99.21254318
ESCUELA SECUNDARIA 227 SOUMAYA DOMIT GEMAYEL,19.50764006,-99.20095766
ESCUELA SECUNDARIA 228 EDMUNDO O. GORMAN,19.32747956,-99.11690362
ESCUELA SECUNDARIA 230 JESÚS MASTACHE ROMÁN,19.30204851,-99.13242879
ESCUELA SECUNDARIA 24 PARA TRABAJADORES FRANCISCO SOSA,19.33586118,-99.17411302
ESCUELA SECUNDARIA 264 MIGUEL SERVET 09DE502640 JORNADA AMPLIADA,19.36460349,-98.99815586
ESCUELA SECUNDARIA 267 TEODORO FLORES JORNADA AMPLIADA,19.34530754,-98.98693786
ESCUELA SECUNDARIA 275 JOSE MARIA VELASCO VESP 09DES4275X,19.32410004,-99.06346038
ESCUELA SECUNDARIA 276 JUVENTINO ROSAS CADENAS,19.27758869,-99.17347036
ESCUELA SECUNDARIA 278 JAVIER BARROS SIERRA,19.40768393,-99.11605827
ESCUELA SECUNDARIA 283 LEYES DE REFORMA,19.46576248,-99.10778145
ESCUELA SECUNDARIA 291 INGENIERO JAVIER BARROS SIERRA,19.33744915,-99.00558507
ESCUELA SECUNDARIA 300 JESUS FRUOTOSO CONTRERAS,19.50189824,-99.17304776
ESCUELA SECUNDARIA 312 ARQUIMIDES CABALLERO,19.30490379,-99.26631477
ESCUELA SECUNDARIA 319 CUAUHTEMOC 09DESO319D,19.32560644,-99.06226684
ESCUELA SECUNDARIA 324 ALFONSO CASO ANDRADE,19.28266919,-99.03980713
ESCUELA SECUNDARIA 334 QUAUHTZINTEPETL,19.18593966,-99.0878223
ESCUELA SECUNDARIA 47 QUETZALCOATL,19.27908449,-99.00133679
ESCUELA SECUNDARIA 52 ANTONIO CASO,19.20029283,-99.05647623
ESCUELA SECUNDARIA 69 MARTIN V GONZALEZ,19.39486758,-99.09803235
ESCUELA SECUNDARIA 86,19.35604683,-99.09222281
ESCUELA SECUNDARIA 90 PARA TRABAJADORES,19.32302662,-99.13773006
ESCUELA SECUNDARIA 95,19.34606931,-99.13024121
ESCUELA SECUNDARIA ABRAHAM LINCOLN,19.41946822,-99.13471814
ESCUELA SECUNDARIA ADOLFO LOPES MATEOS 144 VESP,19.54034415,-99.14046035
ESCUELA SECUNDARIA AGUSTIN YAÑEZTURNO,19.39389859,-99.07731058
ESCUELA SECUNDARIA ALBERT SCHWEITZER,19.4044657,-99.06761858
ESCUELA SECUNDARIA ALBERTO BELTRAN GARCIA JORNADA AMPLIADA,19.48773235,-99.09095528
ESCUELA SECUNDARIA ALFONSO GARCIA ROBLES 273,19.50689174,-99.10030869
ESCUELA SECUNDARIA ALTEPECALLI,19.17700214,-98.98980405
ESCUELA SECUNDARIA ANA MARIA BERLANGA,19.44503499,-99.16175337
ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MEXICO,19.44235573,-99.16150274
ESCUELA SECUNDARIA ANGEL MARIA GARIBAY KINTANA 138,19.48106637,-99.0871204
ESCUELA SECUNDARIA ANGEL MARIA GARIBAY KINTANA N138,19.48107762,-99.08711857
