Punto,Lat,Lon,
24 DE FEBRERO PRIMARIA CCT 09DPR2087X,19.3684135,-99.0130007,
ALBERTO M ALVARADO ESCUELA PRIMARIA,19.3953839,-99.2297012,
APOYO A LA EDUCACION,19.3152098,-99.2266232,
BENISARIO DOMINGUES,19.3650818,-99.2918857,
CENOBIA GARCIA NABA,19.3284066,-99.2816394,
CENTRO DE EDUCACION EXTRA ESCOLAR VICENTE V.YBARRA,19.2549496,-99.1019548,
CENTRO DE EDUCACION EXTRAESCOLAR PRIMARIA,19.5491627,-99.1523991,
CENTRO ESCOLAR ESTADO DE GUERRERO,19.4546005,-99.1919756,
CENTRO ESCOLAR MEXICO,19.4479560,-99.1951015,
CENTRO ESCOLAR MEXICO 15-0470,19.4487740,-99.1945895,
CENTRO ESCOLAR MÉXICO CLAVE 11-0479-129-00-X-027,19.4480784,-99.1938037,
CENTRO ESCOLAR MEXICO CLAVE 14-0469,19.4486806,-99.1941104,
CIUDAD PROCER DE GUANAJUATO,19.4209208,-99.1092831,
COMISION FEDERAL DE ELECTRICIDAD,19.4650550,-99.2110375,
CONSTITUYENTE CELESTINO PEREZ Y PEREZ,19.3671642,-99.0013934,
DOCTOR IGNACIO CHAVEZ,19.3814489,-99.0357084,
EJERCITO NACIONAL CCT 09DPR1976B,19.3325286,-99.1769828,
ENRIQUE DE OLAVARRIA Y FERRARI,19.3686558,-99.1895891,
ESC PRIM MAESTRO MANUEL BORJA SORIANO,19.4924780,-99.1383104,
ESC PRIMARIA JUAN JOSE MARTINEZ,19.3886587,-99.0917360,
ESC PRIMARIA LUIS VARGAS PIÑERIRA,19.3867696,-99.0491614,
ESC. PRIM. PROFR. EFRAIN BONILLA MANZANO,19.3624370,-99.0109612,
ESC.PRIM.PROF.ELISEO BANDALA FERNANDEZ,19.4215157,-99.0636649,
ESC.PRIMARIA MIGUEL LANZ DURET CLAVE 220978,19.4659361,-99.1055686,
ESC.PRIMARIA PROF. JOSE ROMERO Y FUENTES CCT 09DPR2643U,19.3193557,-99.0624126,
ESCPRIMARIA AGUSTIN YAÑEZ JORNADA AMPLIADA.,19.3781995,-99.1070553,
ESCPRIMARIA PROF BENJAMIN CURROLA CARRERA,19.4597012,-99.1051643,
ESCUEL PRIMARIA TEZOZOMOC CCT09DBL0117O,19.4909032,-99.0931766,
ESCUELA  ESCOLAR MEXICO LIBRE,19.4274408,-99.1334367,
ESCUELA  REPUBLICA DE ARGELIA,19.3824646,-99.1188221,
ESCUELA ALBERTO LENZ,19.3402055,-99.1950997,
ESCUELA AXAYACATL,19.4227936,-99.0566133,
ESCUELA BEATRIZ VELASCO SECRETARIA DE EDUCACION PUBLICA GOB FEDERAL,19.3670218,-99.1108703,
ESCUELA BENEMERITO DE LAS AMERICAS,19.3569423,-99.1749322,
ESCUELA BERNAL DIAZ DEL CASTILLO NOCTURNA,19.5046113,-99.1575288,
ESCUELA BRUNO TRAVEN,19.3957280,-99.0498905,
ESCUELA CEDEX GENERAL FELIPE ANGELESCT09DBAA0056N,19.2990094,-99.1746888,
ESCUELA CELSO FLORES,19.5056891,-99.0897522,
ESCUELA CHAPULTEPEC,19.4193486,-99.2179783,
ESCUELA CLUB DE LEONES DE LA VILLA NO 3,19.4732211,-99.0898520,
ESCUELA CLUB DE LEONESDE LA VILLA,19.4962807,-99.1009413,
