Punto,Lat,Lon
CENTRO DE EDUCACION SECUNDARIA PERSONALIZADA,19.37770655,-99.19526488
CENTRO DE ESTUDIOS LIBERTAD,19.3118159,-99.24854186
CENTRO EDUCATIVO ANGLO MEXICANO SC,19.35970283,-99.20093568
CENTRO EDUCATIVO FERNANDO SAVATER,19.27886325,-99.20264552
CENTRO EDUCATIVO SANTA FE,19.38025194,-99.24371718
CENTRO EDUCATIVO SIGLO XXI,19.25057073,-99.17646406
CENTRO EDUCATIVO Y CULTURAL NORTE VALLE DEL TEPEYAC,19.49042126,-99.13966776
CENTRO ESCOLAR NACIONES UNIDAS,19.5407836,-99.15335235
CENTRO MARTINIQUE SECUNDARIA,19.41340489,-99.10562875
CEZAR BILINGUAL SCHOOL,19.44430341,-99.15963937
CMMA SECUNDARIA SC,19.3920184,-99.18560794
COLEGIO ALEJNDRO GUILLOT,19.29652952,-99.12951354
COLEGIO ALEXANDER DUL FLORESTA,19.36524546,-99.20035358
COLEGIO ALFRED ADLER,19.40014757,-99.19435014
COLEGIO ALFREDO NOBEL,19.25023008,-99.10461285
COLEGIO ANA SULLIVAN SECUNDARIA,19.32563133,-99.03948215
COLEGIO ANDERSEN,19.38944499,-99.15082422
COLEGIO AZCAPOTZALCO SECCION SECUNDARIA,19.48287163,-99.18072021
COLEGIO BENJAMÍN FRANKLIN,19.4067428,-99.18012939
COLEGIO BIK IT,19.38441557,-99.08884055
COLEGIO CARLOS CHAVEZ SECUNDARIA,19.25206399,-99.09932371
COLEGIO CLAPAREDE,19.38041971,-99.18812087
COLEGIO COLUMBIA SECUNDARIA,19.39912946,-99.20732349
COLEGIO DEL TESORO DEL SABER,19.4528847,-99.1062242
COLEGIO EMMANUEL MOUNIER PLANTEL SECUNDARIA,19.36988585,-99.28490527
COLEGIO FERNANDO DE MAGALLANES,19.39776891,-99.16445282
COLEGIO FREINET SECUNDARIA Y PREPARATORIA,19.2746147,-99.00154446
COLEGIO GALILEO GALILEI,19.52409633,-99.14852245
COLEGIO GANDHI SECUNDARIA,19.23919335,-99.17197771
COLEGIO HAMPTON,19.41356759,-99.09859872
COLEGIO INGLÉS MICHAEL FARADAY,19.44180321,-99.17559872
COLEGIO INSURGENTES,19.3765604,-99.14037405
COLEGIO ITZCOATL,19.47418141,-99.12215871
COLEGIO IZTAPALAPA FREINET S.C.,19.35237406,-99.0592334
COLEGIO LIMEH COYOACAN,19.34433525,-99.15344892
COLEGIO MARIA CHAVARRIA VITAL,19.31188067,-99.05004008
COLEGIO MARIA MONTESSORI MARTI,19.4028885,-99.17419067
COLEGIO MARIANO HIDALGO SECUNDARIA,19.35529199,-99.03469703
COLEGIO MARTIN LUIS GUZMAN SECUNDARIA,19.45518408,-99.10560092
COLEGIO MICHELET DE MEXICO,19.38949245,-99.13252898
COLEGIO MODERNO DE ORIENTE JEAN PIAGET SECCION SECUNDARIA,19.3879339,-99.06743052
COLEGIO MOTOLINA,19.3870453,-99.1732848
COLEGIO NUEVO MILENIO,19.5606067,-99.13246531
COLEGIO O FARILL,19.2729419,-99.20647162
COLEGIO QUIRINO MENDOZA CORTÉS S.C.,19.24853317,-99.00636897
COLEGIO SECUNDARIA MARIANNE FROSTIG,19.38240927,-99.06990748
COLEGIO SENTIMIENTOS DE LA NACION JOSÉ MARÍA MORELOS Y PAVÓN,19.49473305,-99.07961709
COLEGIO SUMMERHILL NIVEL SECUNDARIA,19.24199129,-98.99650597
COLEGIO TECAX SECUNDARIA 09PES0587C,19.28862397,-99.22717857
COLEGIO VANCOUVER,19.34817529,-99.06400845
COLEGIO WILFRIDO MASSIEU,19.49545692,-99.13200462
ENCAMINARTE CON ENTUSIASMO AC,19.47217739,-99.08692162
ESCUELA COMERCIAL CAMARA DE COMERCIO,19.41644208,-99.16066411
ESCUELA DIEGO RIVERA,19.36194674,-99.24966282
ESCUELA HERALDOS DE MÉXICO,19.29220608,-99.11407343
ESCUELA PILAR EDUCATIVO ROSARIO CASTELLANOS,19.45668439,-99.06167601
ESCUELA PRIMARIA RAFAEL RAMIREZ,19.35440492,-99.08125736
ESCUELA SECUNDARIA AMERICANA,19.39402516,-99.18455127
ESCUELA SECUNDARIA DE LA CIUDAD DE MÉXICO,19.34284848,-99.30136483
ESCUELA SECUNDARIA DE LA CIUDAD DE MEXICO SC,19.4292791,-99.19009114
ESCUELA SECUNDARIA JERONIMO MARIANO USERA Y ALARCON,19.55351852,-99.13644008
ESCUELA SECUNDARIA JORNADA AMPLIADA NUMERO 3 HEROES DE CHAPULTEPEC,19.42492096,-99.15819833
ESCUELA SECUNDARIA JOSE MARIA LAFRAGUA,19.34884731,-99.0498765
ESCUELA SECUNDARIA MIRAVALLES,19.3359651,-98.99657382
ESCUELA SECUNDARIA MIXTA-NOCTURNA GABINO BARREDA AC,19.457739,-99.17942092
ESCUELA SECUNDARIA NUEVA DONCELLA DE ORLEANS,19.47563077,-99.12357273
ESCUELA SECUNDARIA TECNICA RAFAEL DONDE,19.38586829,-99.1991566
ESCUELA SECUNDARIA TOMAS ALVA EDISON,19.37787922,-99.16788984
ESCUELA SECUNDARIA VESPERTINA CEDROS DE ALTO RENDIMIENTO,19.34975872,-99.18413399
ESCUELA SECUNDARIA Y PREPARATORIA JUSTO SIERRA,19.462391,-99.14733098
ESCUELA SECUNDARIA Y PREPARATORIA JUSTO SIERRA,19.46343573,-99.15556364
ESCUELA THE LONDON SCHOOL OF LEARNING SC,19.37270972,-99.2777011
INSTITUCION EDUCATIVA XOCHILHUITL,19.21673742,-98.98850302
INSTITUTO AMERICANO DE ESTUDIOS ABIERTOS,19.28569327,-99.16647068
INSTITUTO ATENEA,19.29863475,-99.11904076
INSTITUTO DE DESARROLLO PROFESIONAL Y HUMANO SAN AGUSTIN SECUNDARIA,19.46604453,-99.11924628
INSTITUTO INSURGENTES SECUNDARIA,19.47222797,-99.13396508
INSTITUTO INTERNACIONAL SECUNDARIA,19.34983582,-99.03242154
INSTITUTO JUAREZ,19.35153831,-99.16111469
INSTITUTO MEXICO SECUNDARIA,19.36767881,-99.16654275
INSTITUTO PEDAGOGICO ANGLO ESPAÑOL SECUNDARIA,19.42136068,-99.16188412
INSTITUTO PEDAGOGICO NAZCA,19.38289206,-99.12505492
INSTITUTO SCIFI,19.38897692,-99.16671081
INSTITUTO VALLADOLID,19.34465972,-99.11144255
INSTITUTO VILLA DEL SUR,19.25952289,-99.12693386
ISAAC NEWTON SECUNDARIA,19.39018773,-99.06329475
KENT GRUPO EDUCATIVO,19.42688156,-99.17335267
LICEO ACOXPA DE COAPA,19.2971624,-99.12256966
LICEO HERBART,19.3400179,-99.04972334
SECUNDARIA,19.32318866,-99.15969316
SECUNDARIA 21 DE MARZO,19.38348499,-99.0291661
SECUNDARIA ANNA SANDERS,19.34889984,-99.04467903
SECUNDARIA CEDROS,19.34975872,-99.18413399
SECUNDARIA CENTRO CULTURAL DE LA CIUDAD DE MEXICO,19.44578512,-99.16038291
SECUNDARIA COLEGIO CARMEL,19.3037263,-99.11112496
SECUNDARIA DANIEL DELGADILLO,19.41308895,-99.09894878
SECUNDARIA HORACIO MANN,19.41216698,-99.08751861
SECUNDARIA INSTITUTO BASSOLS,19.3474229,-99.02870311
SECUNDARIA INSTITUTO HERMANOS GALEANA SC,19.33230517,-99.04034706
SECUNDARIA JOSÉ MARÍA LUIS MORA,19.31479603,-99.16108017
SECUNDARIA LICEO IBÉRICO AMERICANO DE COYOACÁN,19.33349981,-99.1293965
SECUNDARIA OVIDIO DECROLY,19.31119752,-99.03992851
SECUNDARIA REFORMA,19.37621416,-99.12589267
SECUNDARIA SIMON BOLIVAR,19.41287429,-99.10618986
SECUNDARIA TECNICA ABRAHAM LINCOLN,19.39724344,-99.06750802
SECUNDARIA TECNICA THOMAS WOODROW WILSON,19.35837052,-99.13821511
SECUNDSARIA INSTITUTO VILLA DE CORTES,19.3852614,-99.13348912
STITUTO ISABEL GRASSETEAU,19.44621142,-99.15939271
