Punto,Lat,Lon
ESCUELA SECUNDARIA TECNICA 120 SIN NOMBRE,19.13729631,-99.1753028
ESCUELA SECUNDARIA ALTEPECALLI,19.17700214,-98.98980405
TELESECUNDARIA 138,19.17829005,-99.0311787
SECUNDARIA TECNICA NO. 18 PLAN DE AYALA,19.18301066,-99.07124108
ESCUELA SECUNDARIA 334 QUAUHTZINTEPETL,19.18593966,-99.0878223
ESCUELA SECUNDARIA EMILIANO ZAPATA N37,19.18880767,-99.02418285
ESCUELA SECUNDARIA NOCHCALCO 308,19.19193916,-99.00106198
SECUNDARIA TECNICA 56 ENRIQUE RAMIREZ Y RAMIREZ,19.19278277,-99.14487168
ESCUELA SECUNDARIA 52 ANTONIO CASO,19.20029283,-99.05647623
TELESECUNDARIA 137,19.20215134,-99.0686634
ESCUELA SECUNDARIA TECNICA 102,19.20973597,-98.9693584
SECUNDARIA DIURNA 325,19.21359602,-99.06538585
ESCUELA SECUNDARIA GENERAL 295 GUILLERMO PRIETO PRADILLA,19.21549736,-99.10093889
ESCUELA SECUNDARIA DIURNA N 9 TEUTLI,19.21791167,-98.9956003
ESCUELA SECUNDARIA DIURNA 224 HUETZALIN,19.21896524,-99.12168766
ESCUELA SECUNDARIA DUIRNA 224 HUETZALIN,19.21903789,-99.12166996
SECUNDARIA TECNICA 96,19.22171342,-99.20631474
ESCUELA SECUNDARIA TÉCNICA NÚMERO 109 DST0109Q,19.22555599,-99.10301081
ESCUELA SECUNDARIA TECNICA 34 LUIS V MASSIEU,19.22600974,-98.95278119
ESCUELA SECUNDARIA DIURNA ESTADO DE QUINTANA ROO,19.23388185,-99.18657679
ESCUELA SECUNDARIA FRANCISCO MONTERDE,19.24185877,-98.99342745
ESCUELA SECUNDARIA GENERAL 290 OCELOT,19.24289393,-99.07144847
ESCUELA SECCUNDARIA DIURNA NUMERO 250 JESÚS M SOTELO E INCLAN,19.24220196,-99.09496609
ESCUELA SECUNDARIA TLAMACHTILCALLI,19.24506973,-99.02042403
TELESECUNDARIA 121,19.24677891,-99.01017893
