Establecimiento,Lat,Lon
ACADEMIA DE SAN CARLOS,19.4330601,-99.128859
ACADEMIA INTERNACIONAL DE FORMACION EN CIENCIAS FORENSES,19.4252395,-99.1483726
"ACULTAD DE CONTADURÍA Y ADMINISTRACIÓN, DIVISIÓN DE EDUCACIÓN CONTINUA DE LA FACULTAD DE CONTADURIA Y ADMINISTRACION UNAM",19.4264949,-99.1592255
ALBERCA OLAMPICA DE CIUDAD UNIVERSITARIA,19.3305087,-99.1847677
ANTIGUA ESCUELA DE CIENCIAS QUIMICAS,19.4605502,-99.187182
ANTIGUA ESCUELA DE JURISPRUDENCIA A.C.,19.4364564,-99.130538
ANTIGUA ESCUELA DE MEDICINA VETERINARIA,19.4488523,-99.1713777
ARCHIVO GENERAL,19.3126446,-99.179096
AREA CENTRAL DEL TECNOLÓGICO NACIONAL DE MÉXICO,19.3616055,-99.1705519
ATLANTIC INTERNATIONAL UNIVERSITY OF MEXICO,19.4303689,-99.1893463
AUDITORIA INTERNA,19.3109392,-99.1824689
BICIPUMA,19.3250462,-99.1747879
CASA DE LA PRIMERA IMPRENTA,19.4337416,-99.1308327
CASA DE LAS HUMANIDADES,19.3478424,-99.1651901
CASA UNIVERSITARIA DEL LIBRO,19.4227779,-99.1607856
CEDIM,19.367404,-99.2596031
CENTRO  DE POSGRADO DELESTADO  DE MEXICO,19.4255243,-99.1555673
CENTRO AVANZADO DE COMUNICACIONES,19.3492235,-99.1866447
CENTRO CULTURAL  UNIVERSITARIO JUSTO SIERRA AC,19.5204429,-99.1392357
CENTRO CULTURAL ITACA,19.2851714,-99.1595462
CENTRO CULTURAL UNIVERSITARIO JUSTO SIERA AC,19.5117692,-99.1540952
"CENTRO CULTURAL UNIVERSITARIO JUSTO SIERRA,  A. C.",19.5115505,-99.1245445
CENTRO CULTURAL UNIVERSITARIO TLATELOLCO,19.4503156,-99.138194
CENTRO DE APOYO POLITECNICO,19.4532385,-99.1666154
CENTRO DE ARTE MEXICANO,19.3259159,-99.1983079
CENTRO DE CAPACITACION PSICOLOGICO,19.4152567,-99.1731082
CENTRO DE DESARROLLO AEROESPACIAL (CDA),19.4387419,-99.1376179
CENTRO DE DISEÑO,19.4050181,-99.2041895
"CENTRO DE EDUCACION CONTINUA (CEC), INGENIERO EUGENIO MENDEZ DOCURRO",19.4387386,-99.1376183
"CENTRO DE EDUCACION CONTINUA (CEC), UNIDAD GUERRERO",19.5069332,-99.1424361
CENTRO DE EDUCACIÓN MEDICA Y CONSULTORIOS PARACELSUS,19.3918575,-99.1818654
CENTRO DE EDUCACION PROFECIONAL SAN ANGEL,19.4225172,-99.1619018
CENTRO DE EDUCACION TECNOLOGICA Y ARTE,19.4254785,-99.1576473
CENTRO DE ENSEÑANZA PARA EXTRANJEROS,19.3367766,-99.1875066
CENTRO DE ESTUDIO JURIDICOS CARBONELL,19.4270381,-99.1601948
CENTRO DE ESTUDIOS AVANZADOS DE LAS AMERICAS,19.4333487,-99.1708479
CENTRO DE ESTUDIOS DE CIENCIAS FORENCES EN IZTAPALAPA,19.3148831,-99.0709006
CENTRO DE ESTUDIOS EN CIENCIAS DE LA COMUNICACION S.C.,19.3113716,-99.2023487
CENTRO DE ESTUDIOS GASTRONÓMICOS ALEANDRO GUILLOT,19.2968079,-99.1472117
CENTRO DE ESTUDIOS PARA LA CULTURA Y LAS ARTES,19.4184185,-99.159598
CENTRO DE ESTUDIOS SUPERIORES DE COYOACAN,19.308671,-99.1597185
"CENTRO DE ESTUDIOS SUPERIORES DE SAN ANGEL, S.C.",19.3344007,-99.2061272
CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS JURIDICAS Y CRIMINALES,19.426871,-99.1503547
CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS JURIDICAS Y CRIMINOLOGICAS,19.4177873,-99.1505154
