Punto,Lat,Lon
ANTOJITOS MEXICANOS VIPS,19.33946866,-99.08418637
EL VIPSCITO,19.44926296,-99.11698986
OPERADORA VIPS,19.43796108,-99.11351099
OPERADORA VIPS ,19.35429079,-99.29830529
OPERADORA VIPS ,19.36066589,-99.18957274
PUESTO DE COMIDA CORRIDA LA VENTANITA VIPS,19.35432246,-99.11715552
RESTAURANTE VIPS,19.31557305,-99.07713564
RESTAURANTE VIPS COPILCO,19.33522177,-99.15729991
VIPS,19.29383811,-99.10789859
VIPS,19.41771691,-99.13026266
VIPS,19.34712117,-99.18135058
VIPS,19.47814557,-99.18856169
VIPS,19.36907189,-99.12159716
VIPS,19.50193357,-99.20417737
VIPS,19.38701422,-99.19181804
VIPS 16 DE SEPTIEMBRE,19.43195553,-99.13491794
VIPS AEROPUERTO,19.41938989,-99.09470829
VIPS AEROPUERTO SALA BRAVO,19.43686132,-99.08062621
VIPS ALABAMA,19.39160931,-99.17334963
VIPS AMERICAS,19.4065496,-99.16846507
VIPS ASTURIAS,19.4079219,-99.13364717
VIPS AXOMIATLA,19.34114197,-99.24820534
VIPS AZCAPOTZALCO,19.47083726,-99.19101939
VIPS BOLIVAR,19.42426166,-99.14045248
VIPS CABEZA DE JUAREZ,19.3786559,-99.05976631
VIPS CADIZ,19.39890545,-99.13746729
VIPS CALZ DE GUADALUPE,19.46244762,-99.12604666
VIPS CAMARONES,19.46791613,-99.17664334
VIPS CHILPANCINGO,19.40408009,-99.16923135
VIPS CHURUBUSCO,19.38250605,-99.10139469
VIPS CIPRESES,19.31768732,-99.12458783
VIPS COLON,19.43449057,-99.15461777
VIPS COPILCO,19.3379966,-99.183203
VIPS COYOACAN,19.34389203,-99.15643695
VIPS CUAJIMALPA,19.36278377,-99.28730628
VIPS CUAUHTEMOC DELTA,19.39906129,-99.15590216
VIPS DIVISION DEL NORTE,19.32131488,-99.13900831
VIPS DURANGO,19.41931022,-99.16981994
VIPS EDUARDO MOLINA,19.43857617,-99.11352717
VIPS EJERCITO NACIONAL,19.43850203,-99.21080987
VIPS EL ARBOLITO ANTOJITOS MEXICANOS,19.38919047,-99.19214985
VIPS EUGENIA,19.38392808,-99.14841074
VIPS FELIX CUEVAS,19.37292878,-99.17570592
VIPS FRANCISCO DEL PASO,19.40689021,-99.11364909
VIPS FRAY SERVANDO,19.41799362,-99.10538172
VIPS GALERIAS,19.43550143,-99.17041029
VIPS HAMBURGO,19.42596231,-99.16505757
VIPS HUIPULCO,19.29617765,-99.15422011
VIPS INSURGENTES LORETO,19.34136923,-99.18991604
VIPS IZAZAGA,19.4266151,-99.14001311
VIPS IZTAPALAPA,19.35572174,-99.10297338
VIPS IZTAPALAPA MARGARITA,19.34772429,-99.06813812
VIPS JARDIN BALBUENA,19.42084372,-99.11458518
VIPS LA VIGA,19.41468785,-99.12791755
VIPS LEGARIA,19.45332242,-99.19848689
VIPS LILAS,19.38745339,-99.24793375
VIPS LOMAS,19.44907572,-99.21994854
VIPS LOMAS ESTRELLA,19.32143565,-99.09232979
VIPS MADERO,19.43334141,-99.13592914
VIPS MADERO RITZ,19.43369717,-99.13783357
VIPS MASARIK,19.43136003,-99.18242449
VIPS MIRAMONTES,19.31089159,-99.12416801
VIPS MONTEVIDEO,19.48755469,-99.1245566
VIPS NIZA,19.42548635,-99.16226223
VIPS OBSERVATORIO,19.40045535,-99.20939601
VIPS PALMAS,19.42979643,-99.21358729
VIPS PARQUES POLANCO,19.43989605,-99.18461597
VIPS PEDREGAL,19.33597087,-99.19963119
VIPS PERISUR,19.30800525,-99.18681774
VIPS PLATEROS,19.37008774,-99.19211388
VIPS PLAZA CALIFORNIA,19.38436496,-99.17530081
VIPS PLAZA EDUARDO MOLINA,19.47884273,-99.09696886
VIPS POLANCO,19.4332076,-99.18459176
VIPS REFORMA,19.42982745,-99.16049644
VIPS REVOLUCION,19.38490433,-99.18643506
VIPS SAN COSME,19.43974891,-99.1561612
VIPS SAN JERONIMO,19.33008451,-99.2121098
VIPS SAN JOSE INSURGENTES,19.36462894,-99.18211549
VIPS SAN RAFAEL,19.43644872,-99.15728433
VIPS SANTA FE MIX,19.36133882,-99.27874026
VIPS SULIVAN,19.43270665,-99.15995623
VIPS TECNOPARQUE AZCAPOTZALCO,19.50204053,-99.17764053
VIPS TEPEYAC,19.47221063,-99.12191532
VIPS TLAHUAC,19.30520727,-99.06125788
VIPS TONALA,19.42156092,-99.16344712
VIPS TORRES LINDAVISTA,19.50711606,-99.14507225
VIPS UNIVERSIDAD,19.36818316,-99.16541925
VIPS URUGUAY,19.43048158,-99.13704328
VIPS VAQUERITOS,19.28242499,-99.12500414
VIPS VILLA COAPA,19.29478932,-99.12527218
VIPS ZARAGOZA,19.40180423,-99.06398853
