Punto,Lat,Lon
BANCOPPEL,19.40014,-99.20994
BANCOPPEL,19.32145,-99.09451
BANCOPPEL,19.38458,-99.08244
BANCOPPEL,19.34711,-99.01918
BANCOPPEL,19.33619,-99.12915
BANCOPPEL,19.48191,-99.18481
BANCOPPEL,19.35792,-99.00231
BANCOPPEL,19.35208,-99.07831
BANCOPPEL,19.35662,-99.11598
BANCOPPEL,19.42632,-99.11204
BANCOPPEL,19.4425,-99.13655
BANCOPPEL,19.37597,-99.02142
BANCOPPEL,19.35578,-99.00795
BANCOPPEL,19.48329,-99.13311
BANCOPPEL,19.31563,-99.0717
BANCOPPEL,19.45353,-99.12937
BANCOPPEL,19.34223,-99.19251
BANCOPPEL,19.41798,-99.05731
BANCOPPEL,19.37648,-99.07836
BANCOPPEL,19.3838,-99.23146
BANCOPPEL,19.46876,-99.17568
BANCOPPEL,19.50371,-99.15087
BANCOPPEL,19.468,-99.14446
BANCOPPEL,19.49951,-99.15826
BANCOPPEL,19.43149,-99.11351
BANCOPPEL,19.34277,-99.14133
BANCOPPEL,19.50935,-99.09997
BANCOPPEL,19.40439,-99.06787
BANCOPPEL,19.29198,-99.06523
BANCOPPEL,19.44772,-99.15169
BANCOPPEL,19.40871,-99.07537
BANCOPPEL,19.45047,-99.14031
BANCOPPEL,19.418,-99.13019
BANCOPPEL,19.45019,-99.15393
BANCOPPEL,19.50171,-99.121
BANCOPPEL ATLALILCO,19.35575,-99.10331
BANCOPPEL ATZACOALCO,19.50184,-99.09415
BANCOPPEL AYUNTAMIENTO,19.35963,-99.09166
BANCOPPEL BUENAVISTA,19.44684,-99.15218
BANCOPPEL CALLE 7,19.41218,-99.05709
BANCOPPEL CAMARONES,19.46864,-99.17558
BANCOPPEL CENTENARIO,19.49884,-99.09596
BANCOPPEL CIEN METROS,19.50575,-99.15066
BANCOPPEL CRUCES,19.30771,-99.233
BANCOPPEL CUAUTEPEC,19.52511,-99.14201
BANCOPPEL DEL MORAL,19.37649,-99.0781
BANCOPPEL DR GALVEZ,19.34328,-99.19108
BANCOPPEL EL ROSARIO,19.50408,-99.20234
BANCOPPEL EL ROSARIO,19.50179,-99.20361
BANCOPPEL ERMITA IZTAPALAPA,19.34798,-99.01863
BANCOPPEL ESPERANZA,19.48214,-99.18472
BANCOPPEL F ARRUTI,19.37651,-99.0202
BANCOPPEL FORTUNA,19.4846,-99.13376
BANCOPPEL GRANJAS ESMERALDA,19.35686,-99.11601
BANCOPPEL HIDALGO,19.4917,-99.0764
BANCOPPEL HIDALGO,19.26501,-99.10301
BANCOPPEL ISIDRO FAVELA,19.2607,-99.01345
BANCOPPEL JALISCO,19.40576,-99.18528
BANCOPPEL JARDIN BALBUENA,19.42605,-99.10948
BANCOPPEL JUAREZ,19.357,-99.29965
BANCOPPEL LA PURISIMA,19.35105,-99.07541
BANCOPPEL LA VILLA,19.48315,-99.11758
BANCOPPEL LAGUNILLA,19.44258,-99.1369
BANCOPPEL LOMAS ESTRELLA,19.32054,-99.08587
BANCOPPEL MERCADO JAMAICA,19.409,-99.12125
BANCOPPEL OBSERVATORIO,19.40038,-99.20976
BANCOPPEL OCAMPO,19.40851,-99.12107
BANCOPPEL OLIVOS,19.30283,-99.05488
BANCOPPEL PABELLON AZCAPOTZALCO,19.47343,-99.18939
BANCOPPEL PARQUE JARDIN,19.469,-99.15944
BANCOPPEL PATIO BOTURINI,19.41777,-99.13084
BANCOPPEL PERALVILLO,19.45323,-99.12953
BANCOPPEL PERIFERICO ORIENTE,19.4202,-99.05617
BANCOPPEL PERISUR,19.30356,-99.17757
BANCOPPEL PLAZA CENTRAL,19.3781,-99.09599
BANCOPPEL PLAZA CENTRO CULTURAL,19.4247,-99.1539
BANCOPPEL PLAZA TLATELOLCO,19.45074,-99.14052
BANCOPPEL PLAZA VIA VALLEJO,19.48742,-99.15151
BANCOPPEL PORTAL CIRCUITO,19.468,-99.14418
BANCOPPEL PUERTO ACAPULCO,19.47603,-99.08412
