ID,Establecimiento,Razón Social,Actividad,Personal,Dirección,Municipio,Entidad,Municipio,Localidad,AGEB,Tel,E-mail,Sitio Web,Fijo/Semi,Lat,Lon,Fecha Alta,Referencia,Interes
3588663,ABBM,GRUPO CORPORATIVO ABBM SA DE CV,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CALLE MANUFACTURA #1, COLONIA LA LABORCILLA, C.P. 76160",Querétaro,22,014,0001,2244,4422450818,VENTAS@GRUPOABBM.COM.MX,,Fijo,20.61360201,-100.3898476,2014-12,2201400012244,SI
8162605,ACARREOS Y VENTA DE MATERIAL PARA LA CONSTRUCCION SIN NOMBRE,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE ANTONIO DIAZ SOTO Y GAMA #106, COLONIA EJIDO MODELO, C.P. 76177",Querétaro,22,014,0001,1833,,COVA_EXCAVACIONES@YAHOO.COM.MX,,Fijo,20.58122812,-100.4204757,2019-11,2201400011833,SI
6381617,ACEROS LOS ARCOS,,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"PRIVADA LOS ÁNGELES #1, COLONIA EL PUEBLITO, C.P. 76900",Corregidora,22,006,0001,0195,,ANAMIN.RAMIREZ@ACEROSLOSARCOS.COM,,Fijo,20.53225792,-100.4452088,2010-07,2200600010195,SI
6382257,ACEROS LOS ARCOS,,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"CALLE RAYMUNDO ENRÍQUEZ #29, COLONIA CASA BLANCA, C.P. 76030",Querétaro,22,014,0001,0483,,ANAMIN.RAMIREZ@ACEROSLOSARCOS.COM,,Fijo,20.5768462,-100.3987857,2014-12,2201400010483,SI
3584519,AL CONSTRUCCIÓN Y DECORACION,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE PLATEROS #16, COLONIA PEÑUELAS, C.P. 76148",Querétaro,22,014,0001,1405,4424539680,,,Fijo,20.62565171,-100.3952657,2014-12,2201400011405,SI
9170457,ALMACEN MALLAS Y CERCAS,MALLAS Y CERCAS SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA CARRETERA AL CAMPO MILITAR #9, COLONIA LA SIERRITA, C.P. 76154",Querétaro,22,014,0001,1142,,,,Fijo,20.59507194,-100.4163023,2019-11,2201400011142,SI
7905523,ARPANEL,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA PEÑUELAS #125, COLONIA PEÑUELAS, C.P. 76148",Querétaro,22,014,0001,1405,,,,Fijo,20.63139683,-100.3987707,2019-11,2201400011405,SI
9349167,B&M COMERCIAL,B&M COMERCIAL ,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA CONSTITUCION #, COLONIA CENTRO, C.P. 76220",Querétaro,22,014,0108,3134,4423597675,,,Fijo,20.74082587,-100.4433011,2021-05,2201401083134,SI
8256968,BARRO Y CANTERA DEL CENTRO,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"PROLONGACION JOSEFA ORTIZ DE DOMINGUEZ #77, COLONIA PROLONGACION JOSEFA ORTIZ DE DOMINGUEZ, C.P. 76900",Corregidora,22,006,0001,0513,4423750832,BARROYCANTERADELCENTRO1@GMAIL.COM,,Fijo,20.53865411,-100.4234922,2019-11,2200600010513,SI
3611226,BARROS Y MATERIALES DEL CENTRO,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"AVENIDA AVENIDA DE LA LUZ #143, COLONIA UNIDAD JOSEFA O. DOMINGUEZ, C.P. 76110",Querétaro,22,014,0001,0106,4421990620,,,Fijo,20.63884429,-100.4462371,2010-07,2201400010106,SI
8729673,BLOCKERA,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CALLE 25 DE JULIO #, LOCALIDAD TLACOTE EL BAJO, C.P. 76229",Querétaro,22,014,0114,2530,4421322511,,,Fijo,20.66863188,-100.5086112,2019-11,2201401142530,SI
3565861,BLOQUERA CARPE,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE PRAXEDIS GUERRERO #9, COLONIA RICARDO FLORES MAGON, C.P. 76148",Querétaro,22,014,0001,1918,4422433180,,,Fijo,20.64521761,-100.4090059,2010-07,2201400011918,SI
8255542,BLOQUERA PLUS BLOCK,,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"CALLE CAMINO A LA NEGRETA #, PARQUE INDUSTRIAL PARQUE INDUSTRIAL BALVANERA, C.P. 76900",Corregidora,22,006,0001,0104,,,,Fijo,20.53181551,-100.4472884,2019-11,2200600010104,SI
8045967,BODEGA,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE GUAYAQUIRI #, COLONIA REVOLUCION, C.P. 76118",Querétaro,22,014,0001,2757,,,,Fijo,20.64301701,-100.459154,2019-11,2201400012757,SI
6723390,BODEGA,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE ENRIQUE BORDES #209, COLONIA REFORMA AGRARIA, C.P. 76080",Querétaro,22,014,0001,2441,4422300841,,,Fijo,20.55698927,-100.3970398,2016-01,2201400012441,SI
8046026,BODEGA,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE 9 #112, COLONIA REVOLUCION, C.P. 76118",Querétaro,22,014,0001,2757,,,,Fijo,20.64265435,-100.4581333,2019-11,2201400012757,SI
3582211,BODEGA CANTERA LAMINADA,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE VASCO DE QUIROGA #0, LOCALIDAD EL SALITRE, C.P. 76230",Querétaro,22,014,0092,3064,4422185977,PRODUCTOSDECANTERAYBARRO@PRODIGY.NET.MX,WWW.PRODUCTOSDECANTERAYDEBARRO.COM,Fijo,20.66617276,-100.4243198,2014-12,2201400923064,SI
9342432,BODEGA FERRECAPSA,BODEGA FERRECAPSA SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"PROLONGACION JOSEFA ORTIZ DE DOMINGUEZ #142, CIUDAD LOS PAJAROS, C.P. ",Corregidora,22,006,0001,0157,,,WWW.ACEROSFERRECAPSA.COM,Fijo,20.54121068,-100.4302153,2021-05,2200600010157,SI
9168266,CABRERA CONTRUCCIONES ACARREOS Y MAQ,CABRERA CONTRUCCIONES ACARREOS Y MAQ SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA AVENIDA 8 #402, COLONIA LOMAS DE   CASA  BLANCA, C.P. 76080",Querétaro,22,014,0001,0587,4421578328,CABRERACAMSA@HOTMAIL.COM,,Fijo,20.57272187,-100.3882925,2019-11,2201400010587,SI
3543481,CALCIMEXICANA,CALCIMEXICANA SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA AVENIDA DEL PARQUE #128, COLONIA VISTA ALEGRE, C.P. 76090",Querétaro,22,014,0001,1871,4424126633,CMX_PINTUMEX@HOTMAIL.COM,,Fijo,20.57000653,-100.3820528,2010-07,2201400011871,SI
8721014,CALCIMEXICANA,CALCIMEXICANA SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA CORREGIDORA #935, FRACCIONAMIENTO VILLAS DEL PARQUE, C.P. 76169",Querétaro,22,014,0001,0816,4424125521,CEVISQRO@CALCIMEXICANA.COM,,Fijo,20.61879557,-100.390184,2019-11,2201400010816,SI
8079238,CASA DE MATERIALES PARA CONSTRUCCION SAN MARTIN,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA PASEOS DE LA CONSTITUCION #0, COLONIA FUENTES DE SAN PABLO, C.P. 76125",Querétaro,22,014,0001,4518,4421752022,,,Fijo,20.63858212,-100.4192061,2019-11,2201400014518,SI
6808875,CEMENTOS DEL BAJIO,CEMENTOS DEL BAJIO SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"AVENIDA ANTIGUO CAMINO A SAN ANTONIO CALICHA #400, PUEBLO EL ROMERAL, C.P. 76915",Corregidora,22,006,0198,0015,,,,Fijo,20.53033362,-100.4997474,2017-11,2200601980015,SI
6808874,CEMENTOS DEL BAJIO II,CEMENTOS DEL BAJIO SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"AVENIDA CONSTITUYENTES #7900, PARQUE INDUSTRIAL FRACCIONAMIENTO INDUSTRIAL BALBANERA, C.P. 76928",Corregidora,22,006,0001,0104,,,,Fijo,20.53525418,-100.4542011,2017-11,2200600010104,SI
