id,nom_estab,latitud,longitud
2192399,ABASTECEDORA DE MATERIALES PARA LA CONSTRUCCION LAGUNA,19.5280847,-99.0519814
2151895,ACABADOS COLONIALES,19.67980143,-98.99615134
2146846,ACABADOS DE BARRO COLONIAL,19.61737379,-98.9834801
8924078,ACEROS Y CEMENTOS DE MEXICO,19.54330092,-99.07103594
1998430,ACEROS Y CEMENTOS GALPE,19.66664216,-99.00421708
6437596,APASCO MATERIALES RIVERA,19.61930974,-98.98988819
6752445,ARX BUY SELL,19.53725024,-99.0638259
2025046,BAÑOS Y COCINAS SAN AGUSTIN,19.52775454,-99.05036997
9275032,BODEGA DE  MATERIALES DE  CONSTRUCCION R1,19.54669692,-99.03469066
2115398,BODEGA DE LOS MATERIALES PARA CONSTRUCCION EL CALVARIO,19.60366648,-99.05631979
7610571,BODEGA DE MATERIAL PARA CONSTRUCCION SIN NOMBRE,19.51190926,-99.02125237
8457253,BODEGA DE MATERIALES LAS JOYAS,19.51858042,-99.07202709
2096622,BODEGA DE MATERIALES PARA LA CONSTRUCCION,19.52033099,-99.04201168
6729181,BODEGA DE TLAPALERIA MIKE,19.53546078,-99.02384193
6945743,BODEGA TLAPALERIA GONZALEZ,19.57450009,-99.07083664
6936645,CALENTADORES SOLARES,19.67432041,-99.00239781
2060794,CASA DE MATERIALES CASTOR EL CONSTRUCTOR,19.52656107,-99.02951109
2050535,CASA DE MATERIALES CEMENTO CRUZ AZUL,19.49688944,-99.05499025
6937816,CASA DE MATERIALES DE CONSTRUCCION URBI EXPRESS,19.65534544,-99.01949524
2282059,CASA DE MATERIALES DUARTE,19.49456306,-99.02378522
2266740,CASA DE MATERIALES GUTIERREZ HERMANOS,19.67887865,-98.99031602
8457304,CASA DE MATERIALES MADI,19.66319129,-99.01055023
6921927,CASA DE MATERIALES SIN NOMBRE,19.60189447,-99.01326055
2047298,CASA GAM ACABADOS CONSTRUTIVOS,19.49913575,-99.05151309
8711121,CASA MARTINEZ,19.64625118,-98.99975989
2146901,CELOSIAS Y ACABADOS SAGITARIO,19.49464949,-99.04459931
8348417,CEMENTO,19.65187435,-99.06494625
8883940,CEMENTO SAN MARTIN,19.53461659,-99.05293036
6265363,CEMENTOS Y FIERROS MEXEDO SA DE CV,19.67939352,-99.03670694
7121705,CONSTRU PLAZA,19.56572267,-99.02633244
8840711,CONSTRUCCIONES Y REMODELACIONES JARDINES,19.59678767,-99.01694146
2263123,CONSTRUCTORA 28 SA DE CV,19.70913726,-98.97845044
9304857,CONSTRURAMA,19.52638656,-99.03162351
2147376,DEPOSITO DE ARENA GRAVA,19.55550764,-99.07959308
2290335,DISTRIBUIDOR R1,19.52169689,-99.05835488
2182213,DISTRIBUIDORA DE MATERIALES PARA CONSTRUCCIÓNMORELOS,19.53269587,-99.04856223
8687110,DISTRIBUIDORA DE MATERIALES TERRANOVA,19.61481673,-99.0620218
6347575,DISTRIBUIDORA GALES,19.72112283,-98.97111172
9334138,DISTRIBUIDORA GALES,19.72063267,-98.97000092
7029039,DISTRIBUIDORA IMPULSA,19.60027056,-99.0526094
2001702,EL CONSTRUCTOR MATERIALES PARA CONSTRUCCION,19.53406794,-99.019179
2118010,ESTIBOS VILLA SEÑOR VENTA DE VARILLA Y ALAMBRADO.,19.60830824,-99.06653498
7610754,EXPENDIO DE MATERIALES PARA LACONSTRUCCION,19.49803506,-99.03044838
1998392,FAMA MATERIALES Y ACABADOS,19.63045584,-99.06028561
2306822,FERRE MATERIALES LAS AMERICAS,19.58627593,-99.00965501
2067839,FERRETERIA ALVIR,19.63679191,-99.00227403
2297458,FERRETERIA TORNILLOS Y RESORTES,19.60294197,-99.05154772
1991692,FERRETERIA Y TLAPALERIA COMERCIAL GALINDO,19.77271558,-98.98128606
6350938,GRUPO COMERCIAL AMORI,19.55084932,-99.04722888
8406461,HETERO CICLICO,19.62615976,-99.07776099
8921937,HOLDING PARA VENTAS A GOBIERNO S A DE C V,19.5637047,-99.04588
6512237,JARDINES DE MORELOS,19.59684729,-99.00668351
7469971,LAVADEROO,19.527889,-99.05049474
8925242,MAGA,19.5379109,-99.0425617
2060483,MAGNEMEX,19.53156827,-99.07437426
2297840,MARMOL EL GRANITO FENIX,19.59347044,-99.04398474
8496803,MATERIAL DE CONSTRUCCION LA PIE,19.6617035,-98.99392998
6937089,MATERIAL PARA CONSTRUCCION,19.68288104,-99.01534496
2057647,MATERIAL PARA CONSTRUCCION,19.49775204,-99.04603181
2017799,MATERIAL PARA CONSTRUCCION,19.558532,-99.0822398
8867641,MATERIAL PARA CONSTRUCCION SIN NOMBRE,19.58430104,-99.05090184
7881592,MATERIALE D CONSTRUCCION LA LEGUA,19.71463978,-98.97103954
7082055,MATERIALEA PARA CONSTRUCCION ALVARADO,19.64193622,-99.07080666
2049456,MATERIALES,19.49785157,-99.05646559
8854068,MATERIALES ADONAI,19.54650295,-99.02391522
2008289,MATERIALES AGUILAR,19.51464353,-99.02373164
7882227,MATERIALES ARCO,19.6916076,-98.98555042
2067340,MATERIALES ARTELI,19.62203276,-99.04698519
