Establecimiento,Lat,Lon
ACABADOS PARA LACONSTRUCCION REMODELA,19.69398295,-101.1812104
ALMACEN Y VENTA DE MATERIALES PETREOS,19.72819684,-101.1669631
ARA CONSTRUCCIONES,19.72181856,-101.205307
ARENA Y AGREGADOS DE JOYITA,19.72666466,-101.211367
ARENAS Y AGREGADOS DE JOYITAS,19.72665498,-101.2112927
ARGENSI,19.68843807,-101.1555548
BODEGA DE ARENA SIN NOMBRE,19.72602042,-101.2185365
"BODEGA DE COMERCIO AL POR MAYOR DE CEMENTO, TABIQUE Y GRAVA SIN NOMBRE",19.67554479,-101.21804
BODEGA DE FERREMATERIALES RODRIGUEZ,19.73791895,-101.1420455
BODEGA DE FERRETERIA SIN NOMBRE,19.70406133,-101.2454616
BODEGA DE LADRILLO SIN NOMBRE,19.70879446,-101.2063409
BODEGA DE MATERIALES DE CONSTRUCCION,19.69362345,-101.1862381
BODEGA DE MATERIALES MILENIO,19.73999725,-101.1995634
BODEGA SIN NOMBRE,19.7016124,-101.1634753
CALENTADORES SOLARES,19.69613802,-101.241659
CANTERAS AMERICA,19.69864287,-101.2493123
CEMENTO CRUZ AZUL,19.72612632,-101.2245474
CENTRAL DE MATERIALES,19.69934694,-101.2479146
CENTRAL DE MATERIALES PARA CONSTRUCCIÓN,19.72856792,-101.183484
CENTRAL DE MATERIALES VENTA DE PISOS Y COSTRUCCION,19.69392408,-101.1819509
CENTRO DE DISTRIBUCION FORTALEZA MORELIA,19.68702028,-101.2901608
CERCAS Y MALLAS CENTURION,19.71324926,-101.193829
"COMERCIO AL POR MAYOR DE CEMENTO, TABIQUE Y GRAVA",19.69451768,-101.1834202
CONSTRU MAS MATERIALES PARA CONSTRUCCION,19.69409557,-101.2407867
CONSTRUCCION MATERIALES Y CONCRETOS CMC,19.71570074,-101.1549321
CONSTRUCCIONES Y EDIFICACIONES TORIKASAY,19.69358612,-101.1575248
CONSTRUMAS,19.72021301,-101.1489517
CONSTRURAMA,19.66081929,-101.2358076
CONSTRURAMA,19.66890645,-101.2230299
CONSTRURAMA,19.72518968,-101.199253
CONSTRURAMA SUPPLY,19.72899126,-101.1607236
CORPORATIVO CRUZ AZUL,19.68960223,-101.1760616
DEPSA,19.68778778,-101.190515
DISTRIBUIDORA CRUZ AZUL DE IRAPUTO SA DE CV,19.6896141,-101.1761215
"DISTRIBUIDORA CRUZ AZUL DEL BAJIO, S.A. DE C.V.",19.68960524,-101.1760768
DISTRIBUIDORA DE ACERO MELFER SA DE CV,19.69786722,-101.2546926
DISTRIBUIDORA DE CALENTADORES SOLARES,19.69450777,-101.1833878
DISTRIBUIDORA DE CEMENTO AZUL DE MICHOACAN,19.67639204,-101.2192154
DISTRIBUIDORA DE CEMENTO CRUZ AZUL DE MICHOACAN,19.74962154,-101.1722045
DISTRIBUIDORA DE MÁRMOL Y PISOS GRUPO TENERIFE,19.72691024,-101.1399468
FERRE- MATERIALES BAHIA,19.72623103,-101.218656
FERRE MATERIALES EL MORRO,19.7080491,-101.1637309
FERREMATERIALES AZTECA,19.711689,-101.1540615
FERREMATERIALES AZUL DEL PONIENTE,19.69763983,-101.2561044
FERRETERIA SIN NOMBRE,19.68957384,-101.3005678
FERRETERÍA ZIHUA,19.69336328,-101.1873795
FERRETODO,19.68849495,-101.190747
FETERRIA FERRETUBOS,19.70834491,-101.1564326
FIERROS Y ACEROS VALLADOLID,19.69575915,-101.2103291
GRUPO AZULEJERO DE MAYORISTAS MORELIA 10,19.69374438,-101.1801662
GRUPO AZULEJERO DE MAYORISTAS MORELIA 11,19.69386358,-101.1816199
GRUPO DE ORO FUERTE CONCRET. MORELIA,19.72264022,-101.1619542
GRUPO DE ORO FUERTE MATRIZ,19.69577815,-101.2116907
"GRUPO DE ORO FUERTE,  LAGO",19.7266019,-101.2108854
"GRUPO DE ORO FUERTE, COMERCIAL",19.70820662,-101.197815
"GRUPO DE ORO FUERTE, GUADALUPE VICTORIA I",19.70809492,-101.1979457
"GRUPO DE ORO FUERTE, MELOCOTÓN",19.6753628,-101.2190677
"GRUPO DE ORO FUERTE, OFICINA ADMINISTRATIVA",19.68752322,-101.1535996
"GRUPO DE ORO FUERTE, PUNHUATO",19.70490669,-101.1600605
"GRUPO DE ORO FUERTE, REALITO",19.72518962,-101.2035867
"GRUPO DE ORO FUERTE, RINCON TARASCO",19.69169213,-101.2778739
"GRUPO DE ORO FUERTE, SUCURSAL ESTADIO",19.72427405,-101.2243405
"GRUPO DE ORO FUERTE, SUR",19.67377187,-101.2138653
"GRUPO DE ORO FUERTE, TALLER MECÁNICO",19.72358204,-101.1621588
"GRUPO DE ORO FUERTE, TORREON NORTE",19.74522489,-101.2030345
"GRUPO DE ORO FUERTE, TORREON NUEVO",19.74586545,-101.2032447
"GRUPO DE ORO FUERTE, TRINCHERAS",19.66589016,-101.1891863
"GRUPO LEOMAR, S.A.DE C.V.  LAGO",19.72715877,-101.2196781
"GRUPO LEOMAR, S.A.DE C.V.  MATRIZ",19.7117355,-101.1650627
"GRUPO LEOMAR,S.A. DE CV  OFICINAS AUXILIARES",19.68803139,-101.1527841
GRUPOSTONE,19.70806178,-101.164476
ISIDRO OVEJAS PERIODISMO,19.69849227,-101.2163658
LA CASA DEL BAÑO,19.69389142,-101.1817722
LA GALERIA DE LA PIEDRA,19.71689352,-101.1534017
LAMINADOS DE BARRO,19.71988756,-101.1782449
"LAMINADOS DE BARRO, S.A. DE C.V.",19.72398089,-101.1726433
MARMOLES Y GRANITOS NAVA,19.68166645,-101.1739896
"MATERIALES CASE, ACEROCENTRO LA HUERTA",19.6978079,-101.2093561
MATERIALES CONTINENTAL VENTA DE MATERIALES LADRILLO O TEJA DE BARRO,19.69809416,-101.1988234
MATERIALES DE CONSTRUCCIÓN EL CARACOL,19.69346245,-101.1858877
MATERIALES DE CONSTRUCCIÓN EL TIGRE,19.71287283,-101.1636146
MATERIALES DE CONSTRUCCION LA LOMA,19.65565988,-101.192984
MATERIALES DE CONSTRURAMA,19.72621731,-101.212085
MATERIALES EL GIGANTE,19.69666235,-101.2561046
MATERIALES EL GIGANTE DEL SUR,19.66144718,-101.1980302
MATERIALES EL REALITO,19.72568256,-101.2033571
MATERIALES GARCIA,19.72880607,-101.2363858
MATERIALES INTEGRALES PARA LA CONSTRUCCION,19.68539378,-101.1912117
MATERIALES JAIR,19.70786605,-101.1634617
MATERIALES MILENIO,19.73940612,-101.1995923
MATERIALES MILENIO,19.72629304,-101.2127734
MATERIALES NUEVA ESPAÑA,19.70469016,-101.1552696
MATERIALES PARA CONSTRUCCION,19.68862218,-101.225547
MATERIALES PARA CONSTRUCCION LA ROCA,19.69181727,-101.1966682
MATERIALES PARA CONSTRUCCIÓN LUNA,19.69465892,-101.1907367
MATERIALES PARA CONSTRUCCION R R R,19.69529138,-101.1943303
MATERIALES PARA CONSTRUCCIÓN SCORPIONS,19.69989506,-101.154769
MATERIALES PARA CONSTRUCCION SIN NOMBRE,19.70398518,-101.1613309
MATERIALES PARA LA CONSTRUCCION,19.69689334,-101.2585646
MATERIALES PARA LA CONSTRUCCION DIAZ GARCIA,19.71149345,-101.1704884
MATERIALES PARA LA CONSTRUCCIÓN EL SENTAURO,19.71747912,-101.2230255
MATERIALES PARA LA CONSTRUCCIÓN HERNANDEZ,19.6971754,-101.2567521
MATERIALES PARA LA CONSTRUCCION SIN NOMBRE,19.74266312,-101.2107393
MATERIALES PARA LA CONSTRUCCIÓN UNIÓN,19.69936262,-101.2678454
MATERIALES PARRA CONSTRUCCION LA ESTRELLA,19.69564904,-101.2656196
MATERIALES PRIMO TAPIA,19.71265794,-101.2121549
MATERIALES RUIZ,19.71658701,-101.2031411
MATERIALES SORIA,19.70907502,-101.204615
MATERIALES VILLA,19.71054834,-101.2046138
MERMAC,19.72588216,-101.224437
MUNDO DE BARRO,19.71540997,-101.2293448
"NEGOCIACION IZARRA DE MICHOACAN, MATRIZ",19.72846427,-101.1409619
OFICINAS DE BANCO DE MATERIALES PÉTREOS,19.69962125,-101.2452606
PLAFORAMA MORELIA PERIFERICO,19.67181659,-101.2087236
PLAZA TABICON,19.69923161,-101.2470041
PROGUZ,19.73317766,-101.199281
PROVEEDORA DE MATERIALES Y ACABADOS PARA CONSTRUCCION,19.70832342,-101.183029
PROVEEDORA DE MATERIALES Y ACABADOS PARA CONSTRUCCION,19.70660655,-101.1900714
PROVEEDORA DE MATERIALES Y ACABADOS PARA LA CONSTRUCCION,19.73110019,-101.1829328
RESANACRETO,19.70893043,-101.2288754
SEMACOM,19.70929977,-101.1675991
SERVICIOS PARA LA AUTOCONSTRUCCION,19.72288345,-101.2233223
SOLUCIONES LIGERAS PARA LA CONSTRUCCION OBS,19.67708924,-101.1924749
SUPER DE TORNILLOS CLAVOS Y HERRAMIENTAS,19.71843816,-101.1886122
SURTIDOR FERRETERO,19.71287197,-101.1656839
TABIQUERIA SIN NOMBRE,19.74602773,-101.2077393
TABLEROS CREATIVOS,19.69692325,-101.165922
TIENDA DE ACABADOS PARA CASAS REMODELA,19.68133308,-101.1795775
TIENDA DE MATERIALES PARA CONSTRUCCION VAZQUEZ,19.72955775,-101.2002831
TIENDA DE MATERIALES PARA LA CONSTRUCCIÓN SIN NOMBRE,19.72033602,-101.2132122
TLAPALERIA Y MATERIALES ZAVALA,19.69926973,-101.2002144
TODO DE BARRO,19.72575015,-101.2232309
TODO DE BARRO,19.72589189,-101.2232073
"TUBOS ACEROS Y HERRAMIENTAS, S.A. DE C.V.",19.69783125,-101.2548772
VENTA DE ARENA SIN NOMBRE,19.74626348,-101.20806
VENTA DE ARENA Y GRAVA,19.7288286,-101.1982094
VENTA DE CANTERA GRUPO CANTER,19.66223003,-101.1603353
VENTA DE CANTERA Y ACABADOS,19.68613104,-101.1630067
VENTA DE MATERIAL DE BARRO,19.70634672,-101.2381919
VENTA DE MATERIAL DE BARRO CASA SANDOVAL,19.69700583,-101.1955883
VENTA DE MATERIALES DE CONSTRUCCION CONSTRURAMA,19.65899828,-101.1576963
VENTA DE MATERIALES DERIVADOS HUANTE,19.73717868,-101.1991507
VENTA DE MATERIALES MATERIALES GERTRUDIS,19.74104011,-101.2063344
VENTA DE MATERIALES PARA CONSTRUCCION KASFER,19.72838819,-101.1980679
VENTA DE MATERIALES PARA LA CONSTRUCCION HERRERA,19.63737802,-101.2326196
VENTA DE PANEL Y TABLAROCA PANEL W,19.68760446,-101.1892318
VENTA DE PIEDRAS DECORTIVAS PARA JARDÍN SIN NOMBRE,19.67753178,-101.1930133
VENTA DE TABIQUE ROJO SIN NOMBRE,19.69809817,-101.1524493
VENTA DE TABIQUE ROJO SIN NOMBRE,19.69811622,-101.1524727
VENTA DE TABIQUE ROJO SIN NOMBRE,19.69809405,-101.152444
VENTA DE TABIQUE ROJO SIN NOMBRE,19.69809817,-101.1524493
ABC FERREMATERIALES DE MICHOACAN,19.67549298,-101.1852747
"ACEROS Y HERRAJES, S.A. DE C.V.",19.71818914,-101.1888052
AGUA POTABLE Y RIEGO AGRÍCOLA,19.72252748,-101.1955865
ARME DISTRIBUCIONES,19.70887446,-101.1685347
ARTÍCULOS DE FERRETERÍA SIN NOMBRE,19.69163539,-101.2297316
ARTICULOS FERRETEROS EL MIRADOR,19.69598865,-101.1887649
ARTICULOS PARA BAÑO Y PLOMERIA COMERCIALIZADORA CANVAL,19.68081122,-101.1769561
AZULEJOS Y COMPLEMENTOS SUCURSAL MORELIA,19.704105,-101.2279925
AZULEMEX  28,19.71243979,-101.1885708
BENEFITT PRESTAMOS EFECTIVOS,19.69512969,-101.1853947
"BHD AMERICA, S.A. DE C.V.",19.69380543,-101.1813016
BIO ENERGETICA SOLAR,19.69726711,-101.1502912
BODEGA AUXILIAR DE FERREMATERIALES LOPEZ MATEOS,19.69654887,-101.2269296
BODEGA DE ARENA SIN NOMBRE,19.69423523,-101.1912016
BODEGA DE ARENA Y GRABA SIN NOMBRE,19.69361519,-101.1860674
BODEGA DE CALENTADORES SOLARES,19.69956382,-101.1534794
BODEGA DE CALENTADORES SOLARES GIRASOL,19.72934127,-101.1834321
BODEGA DE FERRE MATERIALES PARA LA CONSTRUCCIÓN HERNÁNDEZ,19.69709576,-101.2573152
BODEGA DE FERRETERIA CASA GARFIAS,19.71018614,-101.2183612
BODEGA DE FERRETERIA LA GRANJA,19.70859691,-101.2213275
BODEGA DE FIERRERIA LA ESPERANCITA,19.69598865,-101.1887649
BODEGA DE MATERIALES SIN NOMBRE,19.69655351,-101.2273335
BODEGA ELECTROFERRETERA MEXICO,19.72112572,-101.1426528
BODEGA IBIDEM,19.72874493,-101.153618
BODEGA SIN NOMBRE,19.69890361,-101.2548377
BULTRACTOR,19.69613227,-101.1927963
CALENTADORES  SOLARES EVER GREEN,19.69920854,-101.2484727
CALENTADORES SOLARES,19.70976154,-101.2124427
CALENTADORES SOLARES,19.69689366,-101.1958288
CALENTADORES SOLARES EVERGREEN,19.69397135,-101.1822337
CALENTADORES SOLARES SIN NOMBRE,19.65950441,-101.2002859
CENCORI SA DE CV,19.72984434,-101.1830027
CERRADURAS Y HERRAJES DECORATIVOS HERMA,19.71642979,-101.1972447
CERRAJERÍA Y DISTRIBUIDORA SOLIS,19.70961943,-101.1895556
COMERCIAL FERRETERA CABALLERO SA DE CV,19.69827,-101.15842
COMERCIAL FERRETERA SIN NOMBRE,19.70567027,-101.2550247
COMERCIALIZADORA DE HERRAJES SIN NOMBRE,19.70730389,-101.1705484
COMPAÑIA FERRETERA NUEVO MUNDO S DE RL DE CV,19.69327599,-101.2180887
CONEXIONES DIGO,19.74714746,-101.169901
CONSTRUCCIÓN PREFABRICADOS Y MAQUINARIA DEL CENTRO,19.68802229,-101.1211798
CONSTRUDEC,19.6814938,-101.1765845
DEPOSITO DE LAMINAS TENERIFE,19.70835715,-101.1840897
