Establecimiento,Lat,Lon
ABBM,20.61360201,-100.3898476
ACARREOS Y VENTA DE MATERIAL PARA LA CONSTRUCCION SIN NOMBRE,20.58122812,-100.4204757
ACEROS LOS ARCOS,20.53225792,-100.4452088
ACEROS LOS ARCOS,20.5768462,-100.3987857
AL CONSTRUCCIÓN Y DECORACION,20.62565171,-100.3952657
ALMACEN MALLAS Y CERCAS,20.59507194,-100.4163023
ARPANEL,20.63139683,-100.3987707
B&M COMERCIAL,20.74082587,-100.4433011
BARRO Y CANTERA DEL CENTRO,20.53865411,-100.4234922
BARROS Y MATERIALES DEL CENTRO,20.63884429,-100.4462371
BLOCKERA,20.66863188,-100.5086112
BLOQUERA CARPE,20.64521761,-100.4090059
BLOQUERA PLUS BLOCK,20.53181551,-100.4472884
BODEGA,20.64301701,-100.459154
BODEGA,20.55698927,-100.3970398
BODEGA,20.64265435,-100.4581333
BODEGA CANTERA LAMINADA,20.66617276,-100.4243198
BODEGA FERRECAPSA,20.54121068,-100.4302153
CABRERA CONTRUCCIONES ACARREOS Y MAQ,20.57272187,-100.3882925
CALCIMEXICANA,20.57000653,-100.3820528
CALCIMEXICANA,20.61879557,-100.390184
CASA DE MATERIALES PARA CONSTRUCCION SAN MARTIN,20.63858212,-100.4192061
CEMENTOS DEL BAJIO,20.53033362,-100.4997474
CEMENTOS DEL BAJIO II,20.53525418,-100.4542011
CERATIZIT,20.54713804,-100.4279793
CIMBRA Y MATERIALES PARA LA CONSTRICCION FLORES,20.64941259,-100.4610443
COGUTSA MATERIALES,20.63327045,-100.4268917
COMERCIALIZADORA FERRETERA SG,20.59738808,-100.4040486
COMERCIALIZCION OMEGA,20.59444264,-100.3988787
"COMERCIO AL POR MAYOR DE CEMENTO, TABIQUE Y GRAVA",20.5819739,-100.418594
CONCRETO SANTANDREA,20.65875832,-100.3743112
CONIN MATERIALES,20.63193937,-100.4017996
CONSTRU MATERIALES B AJIO,20.53810914,-100.4834996
CONSTRUCCIONES PREFABRICADAS GRUPO RIO SA DE CV,20.56403058,-100.4131897
CONSTRUCOMER QUERETANA,20.57646697,-100.3804437
CONSTRULANDIA,20.55295002,-100.3689628
CONSTRURAMA,20.53509713,-100.4404157
CONSTRURAMA,20.63872619,-100.447783
CONSTRURAMA DEL VALLE,20.55563513,-100.3877421
CONSTRURAMA LAS TORRES,20.56540803,-100.3829382
CONSTRURAMAVISTA AZUL,20.55515452,-100.3712889
DEL BULEVART,20.63811348,-100.4483075
DEPOSITO SAN FRANCISCO,20.56295985,-100.3756863
DEPOSITO SAN FRANCISCO,20.63574707,-100.4551358
DISTRIBUIDOR AUTORIZADO DE SIKA,20.52112169,-100.4595525
DISTRIBUIDORA DE MATERIALES PARA CONSTRUCCION RAMIREZ,20.60574209,-100.4453909
DISTRIBUIDORA DE MATERIALES PARA CONSTRUCCION STEEL,20.58324307,-100.4109303
DISTRIBUIDORA DE MATERIALES PEÑUELAS,20.63032793,-100.3974221
DISTRIBUIDORA DE MATERIALES PEÑUELAS,20.62914253,-100.3953844
DISTRIBUIDORA HIDRAULICA DEL CENTRO,20.63856805,-100.3950748
EL ESLAVON DOS,20.58915679,-100.4130446
EQUIPAP,20.62051968,-100.4059225
EXCAVACIONES Y MATERIALES,20.63193498,-100.4017586
EXCAVACIONES Y MATERIALES,20.5910841,-100.3670657
FERREMATERIALES SU CASA,20.58548317,-100.3851463
FERREMATERIALES Y ACEROS DE QUERETARO,20.64655145,-100.4625234
FERRETERIA,20.56214501,-100.3993697
FERRETERIA ABA,20.64878835,-100.4161424
FERRETERIA CONSTRUMEX,20.62708504,-100.4700564
FERRETERIA LA ERMITA,20.72682633,-100.4416957
FERRETERIA Y MATERIALES PARA LA CONSTRUCCION SAN ANGEL,20.63593305,-100.4187583
FERRETERIA Y MATERIALES PLATEROS,20.63883173,-100.3950968
FERRETERIA Y MATERIALES QUIQUE,20.65256539,-100.4507571
FERRETERIA Y MATERIALES RANCHO LARGO,20.70510971,-100.4403568
FESABA,20.5259,-100.4395792
FSARQUITECTURA,20.63221453,-100.4143665
GECSA TRUCKING,20.58070384,-100.4221684
GLOBAL SOLUTIONS,20.58211038,-100.3806679
GRAVA 3N,20.59128285,-100.4030687
GRIFERIA,20.6096072,-100.4058849
GRUPO CASHER,20.58194843,-100.387162
GRUPO CEMENTERO DEL CENTRO,20.73901422,-100.4434751
"GRUPO COMERCIAL AMORI, S.A. DE C.V.",20.55782732,-100.4178395
GRUPO MATERIALISTA 4 HERMANOS,20.59483775,-100.4469606
GRUPO MATERIALISTA CUATRO HERMANOS,20.59597513,-100.4433374
GRUPO MERCANTIL HUDASA,20.58542675,-100.379076
GRUPO SANCHEZ,20.56069052,-100.3957312
GRUPO SANTANDREA,20.66158959,-100.3740044
GRUPO SANTANDREA,20.6617286,-100.3745651
GRUPO TENERIFE,20.61962378,-100.4017474
IMA SERVICIOS COMERCIALES,20.58011192,-100.4084344
INSTRUMENTOS Y PRODUCTOS INDUSTRIALES,20.66237249,-100.392313
LA CASA DE CEMENTIN,20.61693385,-100.452504
LAMINADOS DE BARRO,20.59880969,-100.3748897
LOPREDI DEL BAJIO,20.60243113,-100.3751567
MAPEI,20.64388841,-100.4416103
MAPEI DE MÉXICO,20.64388841,-100.4416103
MARMOL Y COCINAS,20.57801958,-100.3800741
MARMOL Y TERRAZO POLO,20.56495771,-100.3810519
MARMOLES ARCA,20.5937618,-100.3697742
MARMOLES Y CANTERAS BRIESCA,20.57375909,-100.4047393
MATERIAL PARA CONSTRUCCION SUAREZ,20.64793198,-100.3886316
MATERIALES 4 VIENTOS,20.55931634,-100.3831345
MATERIALES ALVARADO,20.67770183,-100.4505117
MATERIALES ARIS,20.55682566,-100.3933123
MATERIALES BALVANERA,20.52635218,-100.460138
MATERIALES BÁSICOS PARA LA CONSTRUCCIÓN,20.5982387,-100.4467534
MATERIALES CASA GRANDE,20.56139905,-100.3962197
MATERIALES CORREGIDORA,20.54784447,-100.4400066
MATERIALES DE CONSTRUCCION,20.67631867,-100.4571037
MATERIALES EL CHINO,20.75041331,-100.4444098
MATERIALES EL GANSO,20.63861296,-100.4194857
MATERIALES EL NIÑO,20.52884588,-100.4541461
MATERIALES EL PUENTE,20.53224855,-100.4406678
MATERIALES EL SOL,20.63604928,-100.4701613
MATERIALES ENJOCA,20.62822239,-100.3962018
MATERIALES GAGA,20.63076132,-100.4758641
MATERIALES GARCIA,20.64691051,-100.4633994
MATERIALES GARCIA,20.73839958,-100.4509424
MATERIALES GONZALO,20.78879664,-100.4959081
MATERIALES LA FE,20.55486064,-100.4133674
MATERIALES LA HORMIGA,20.64466273,-100.4501646
MATERIALES LA LOMA,20.64021505,-100.4738458
MATERIALES LA SOLANA,20.74449799,-100.3966425
MATERIALES LIBRAMIENTO SUR PONIENTE,20.54711175,-100.3745235
MATERIALES LOMA BONITA,20.64281262,-100.4480679
MATERIALES LOS PILARES,20.7427519,-100.4431944
MATERIALES MONDRAGON,20.55569907,-100.3885286
MATERIALES OLVERA,20.53464184,-100.4074847
MATERIALES PARA CONSTRUCCION CEMEX,20.65373033,-100.3821562
MATERIALES PARA CONSTRUCCION CENTRO SANTA ROSA,20.74474421,-100.4467036
MATERIALES PARA CONSTRUCCION DEL RIO,20.59429976,-100.4154705
MATERIALES PARA CONSTRUCCION EL CHINO,20.72794198,-100.4423046
MATERIALES PARA CONSTRUCCION EL CHINO,20.74419358,-100.4425591
MATERIALES PARA CONSTRUCCIÓN EL GUERO,20.55660841,-100.4122083
MATERIALES PARA CONSTRUCCION EL SOL,20.63706222,-100.4708145
MATERIALES PARA CONSTRUCCION JL,20.55514903,-100.4119418
MATERIALES PARA CONSTRUCCION NUEVO MEXICO,20.64299673,-100.4551577
MATERIALES PARA CONSTRUCCION RODRIGUEZ,20.62241643,-100.4456102
MATERIALES PARA LA CONSTRUCCION,20.59601033,-100.4065978
MATERIALES PARA LA CONSTRUCCION BELLA VISTA,20.64671668,-100.4182988
MATERIALES PARA LA CONSTRUCCION BELTRAN,20.829975,-100.4770333
MATERIALES PARA LA CONSTRUCCION JL,20.55507229,-100.4117667
MATERIALES PARA LA CONSTRUCCION LA BUFA,20.62354776,-100.4204109
MATERIALES PARA LA CONSTRUCCION LA CONDESA,20.63896187,-100.4101389
MATERIALES PARA LA CONSTRUCCION LA UNION,20.55037292,-100.3903113
MATERIALES PARA LA CONSTRUCCION LIBERTAD,20.54849416,-100.3920423
MATERIALES PARA LA CONSTRUCCION MASECO,20.81790658,-100.4672662
MATERIALES PARA LA CONSTRUCCION REVOLUCION,20.64298641,-100.4591184
MATERIALES PARA LA CONSTRUCCION RICO,20.74091815,-100.446979
MATERIALES PARA LA CONSTRUCION MAQRO,20.74461071,-100.4443955
MATERIALES PEÑA,20.63494192,-100.4143029
MATERIALES PLAZAS DEL SOL,20.57764455,-100.3609041
MATERIALES POLITECNICO,20.62287846,-100.4059529
MATERIALES RICO RANGEL,20.74697906,-100.4451392
MATERIALES ROLPA,20.65685211,-100.3757751
MATERIALES ROSAS,20.65483148,-100.5030068
MATERIALES SALINAS,20.60273071,-100.3465
MATERIALES SAN CAYETANO,20.53646792,-100.4353902
MATERIALES SAN MIGUEL,20.65969157,-100.402565
MATERIALES SANTA FE,20.65480177,-100.4032384
MATERIALES SEDEMYE,20.63521637,-100.4757692
MATERIALES SERVIN,20.6161427,-100.4706883
MATERIALES SORIA,20.65124958,-100.4653689
MATERIALES STA ROSA,20.74860708,-100.4453174
MATERIALES TENOCHTITLAN,20.63596105,-100.4808262
MATERIALES TERE,20.60379122,-100.4224966
MATERIALES VAQRO,20.6066873,-100.4328437
MATERIALES VISTA ALEGRE,20.57989157,-100.3830103
MATERIALES Y ACCESORIOS,20.61685714,-100.4326826
MATERIALES Y ALUMINIO MONTENEGRO,20.76272581,-100.4310028
MATRIALES PARA LA CONSTRUCCION CONSTRULITA,20.68982675,-100.4479682
MILMEX MATERIALES,20.63679294,-100.4085505
MINAS Y DERIVADOS ALPER,20.58936938,-100.4024699
MULTIACABADOS PARA LA CONSTRUCCION,20.58517447,-100.3837785
NITROPISO,20.63853369,-100.3950802
NORKCON HERRAMIENTAS INDUSTRIALES,20.5853389,-100.3654964
NUEVA TECNOLOGIA DEL CONCRETO,20.56090477,-100.3738462
OLKISA,20.52750907,-100.4282791
OT PROYECTOS Y SERVICIOS SA DE CV,20.66319217,-100.4405607
PCV MATERIALES DE CONSTRUCCION,20.53745568,-100.4389409
PEMA CONCRETO S.A. DE C.V.,20.60527382,-100.3804273
PIGMACOLOR,20.63530521,-100.4003855
PLAFORAMA QUERETARO - PAPANOA,20.57604103,-100.3898749
PREMIX CONCRETOS,20.53181167,-100.4513225
PROFESIONALES EN EDIFICACION LIGERA,20.59804854,-100.3980605
PROMEXMA QUERETARO,20.70955727,-100.4473294
PVC G3,20.57529056,-100.3817619
QUALYMAT,20.65165165,-100.4321737
ROCA CENTRAL DE MEXICO,20.74104633,-100.4434755
ROCHIZA,20.60456606,-100.4153115
ROTEC QUERETARO,20.55644472,-100.3756155
SANTA ANA MATERIALES,20.60374127,-100.4053981
SAUEL SOLUTIONES SOLAR,20.59234357,-100.3780816
SERVICIOS PARA LA AUTOCONSTRUCCION,20.58594718,-100.3892588
SOLUMAT,20.55537684,-100.398261
STIASA MATERIALES DE CONSTRUCCION,20.70904548,-100.4556086
SUBMINISTROS PARA LA CONSTRUCCION SAN JUAN,20.64383597,-100.4517178
SURTIDORA DE MATERIALES Y FERRETERIA SAN PABLO,20.61413882,-100.415765
TABIQUERA SIN NOMBRE,20.63457698,-100.4058908
TECHOS Y MUROS AISLADOS,20.58089009,-100.3867545
TIENDA DE MATERIALES,20.73319908,-100.5007558
TIENDA DE MATERIALES PARA LA CONSTRUCCION LIBERTAD,20.62034865,-100.469828
TODO PARA INSUMOS DE CONCRETO PARA DECORACION,20.57164596,-100.4107874
TORNILLEROS UNIDOS DEL BAJIO,20.59931627,-100.4136962
VENTA ACCESORIOS Y MATERIALES CASTRO VILLA,20.61678288,-100.4331075
VENTA DE HERRAMIENTAS EUROTOOLS,20.58637567,-100.3969317
VENTA DE MATERIALES,20.65738264,-100.4527106
VENTA DE MATERIALES,20.61991719,-100.4322233
VENTA DE MATERIALES PARA LA CONSTRUCCION DEL CASTILLO,20.60609984,-100.4478058
VENTA DE MATERIALES PARA LA CONSTRUCCION DG MATERIALES,20.59543431,-100.4469752
VENTA DE MATERIALES PARA LA CONSTRUCCION SIN NOMBRE,20.78473319,-100.4923015
VERA MATERIALES,20.53540255,-100.4061372
VISTA ALEGRE MATERIALES,20.5741747,-100.3869288
VJ CONCRETOS Y MATERIALES,20.54304089,-100.4045887
YPSA,20.57393685,-100.3591782
ABACO ABASTECERA DE LA CONSTRUCCION,20.58832056,-100.4206729
ABRACINTAS Y ADHESIVOS S DE RL DE CV,20.59782767,-100.3494074
ABRASIVOS Y DIAMENTES INDUSTRIALES,20.64443216,-100.4388218
ACABADOS FINOS,20.55151264,-100.4753716
ACCESORIOS Y VALVULAS HIDRAULICAS SA DE CV,20.60366181,-100.4405268
ACEROS EL TIGRE,20.63949138,-100.3952454
ACEROS MORLET,20.55676281,-100.3831993
ACEROS Y FERRETERIA VULCANO,20.56519173,-100.3931361
ACEROS Y PERFILES HERRERA,20.64283317,-100.4589532
ACEROS Y PERFILES SANTA MARIA,20.59230981,-100.4497964
AL13,20.65351879,-100.4508019
AMERICAN STANDARD STUDIO DISEÑO,20.57698166,-100.3607495
ARROVAZ,20.55863187,-100.3724103
AZULEMEX,20.58463656,-100.3850202
AZULEMEXQUERETARO,20.58055991,-100.3834658
BIRLOS Y TORNILLOS SANTA ROSA,20.74624676,-100.4460755
BIRLOS Y TORNILLOS SANTA ROSA,20.73903237,-100.4424605
BISUTERIA Y FERRETERIA,20.56983142,-100.3758633
BODEGA  SOLUCIONES ABRASIVOS,20.58902709,-100.4135102
BODEGA AUXILIAR DE HERRAMAQ,20.57538899,-100.3859958
BODEGA DE DISTRIBUIDORA HIDRAULICA DEL CENTRO,20.63897161,-100.3954409
BODEGA DE MATERIALES LAS AMERICAS,20.62204752,-100.4185411
BODEGA DE SAMER,20.63820411,-100.3951326
BODEGA FERRETERIA LA 27,20.55278042,-100.369202
