Establecimiento,Lat,Lon
ABBM,20.61360201,-100.3898476
ACARREOS Y VENTA DE MATERIAL PARA LA CONSTRUCCION SIN NOMBRE,20.58122812,-100.4204757
ACEROS LOS ARCOS,20.53225792,-100.4452088
ACEROS LOS ARCOS,20.5768462,-100.3987857
AL CONSTRUCCIÓN Y DECORACION,20.62565171,-100.3952657
ALMACEN DE MATERIALES DE CONSTRUCCION,21.54784854,-99.68946144
ALMACEN MALLAS Y CERCAS,20.59507194,-100.4163023
ARPANEL,20.63139683,-100.3987707
ARTESANIAS DE CANTERA,20.50313302,-100.1411005
B&M COMERCIAL,20.74082587,-100.4433011
BANCO DE MARMOL FELIPE IGNACIO MARTINEZ GUDIÑO,20.83630361,-99.70191083
BARRO Y CANTERA DEL CENTRO,20.53865411,-100.4234922
BARROS Y MATERIALES DEL CENTRO,20.63884429,-100.4462371
BLOCKERA,20.66863188,-100.5086112
BLOQUERA CARPE,20.64521761,-100.4090059
BLOQUERA DIAZ,20.6430659,-99.83560888
BLOQUERA PLUS BLOCK,20.53181551,-100.4472884
BODEGA,20.64301701,-100.459154
BODEGA,20.55698927,-100.3970398
BODEGA,20.64265435,-100.4581333
BODEGA CANTERA LAMINADA,20.66617276,-100.4243198
BODEGA CENTRAL FERRETERA TREJO,20.66773651,-99.89858589
BODEGA DE MATERIALES,20.4455754,-99.97865767
BODEGA DE MATERIALES,21.21964906,-99.47447362
BODEGA DE MATERIALES,20.44444414,-99.97861447
BODEGA FERRECAPSA,20.54121068,-100.4302153
BODEGA MATERIALES MOCTEZUMA,20.38871082,-99.95488372
CABRERA CONTRUCCIONES ACARREOS Y MAQ,20.57272187,-100.3882925
CALCIMEXICANA,20.57000653,-100.3820528
CALCIMEXICANA,20.61879557,-100.390184
CALCIMEXICANA,20.38792258,-99.98019779
CALCIMEXICANA,20.38747176,-99.97607989
CASA DE MATERIALES JARAMILLO,20.42011801,-100.0673222
CASA DE MATERIALES MARTINEZ,20.70946441,-100.3032937
CASA DE MATERIALES PARA CONSTRUCCION SAN MARTIN,20.63858212,-100.4192061
CASA DE MATERIALES PARA LA CONSTRUCCION VELBAR,20.70165613,-99.82181064
CASA DE MATERIALES PINAL,21.13522232,-99.62171205
CASA DE MATERIALES SIN NOMBRE,20.42148834,-100.0689679
CEMENTO CRUZ AZUL CASA MEPER,20.52985801,-99.89915174
CEMENTO CRUZ AZUL CASA MEPER,20.61361675,-100.1563871
CEMENTOS DEL BAJIO,20.53033362,-100.4997474
CEMENTOS DEL BAJIO II,20.53525418,-100.4542011
CEMENTOS Y MATERIALES TREJO,20.50171287,-100.1353058
CENTRAL DE CEMENTOS Y ACEROS DE LA SIERRA,21.21570038,-99.46472703
CENTRAL DE PISOS SAN JUAN,20.38444939,-99.98481176
"CENTRAL FERRETERA TREJO, S.A. DE C.V.",20.66745369,-99.89818732
"CENTRAL FERRETERA TREJO, S.A. DE C.V.",20.67348174,-99.89632298
CERATIZIT,20.54713804,-100.4279793
CIMBRA Y MATERIALES PARA LA CONSTRICCION FLORES,20.64941259,-100.4610443
COGUTSA MATERIALES,20.63327045,-100.4268917
COMERCIALIZADORA FERRETERA SG,20.59738808,-100.4040486
COMERCIALIZCION OMEGA,20.59444264,-100.3988787
"COMERCIO AL POR MAYOR DE CEMENTO, TABIQUE Y GRAVA",20.5819739,-100.418594
"COMERCIO AL POR MAYOR DE CEMENTO, TABIQUE Y GRAVA SIN NOMBRE",20.43762205,-99.89650806
CONCRETO SANTANDREA,20.65875832,-100.3743112
CONIN MATERIALES,20.63193937,-100.4017996
CONSTRU MATERIALES B AJIO,20.53810914,-100.4834996
CONSTRUCCIONES PREFABRICADAS GRUPO RIO SA DE CV,20.56403058,-100.4131897
CONSTRUCOMER QUERETANA,20.57646697,-100.3804437
CONSTRULANDIA,20.55295002,-100.3689628
CONSTRUMATERIALES ROGER PONCH,20.51080169,-100.1563783
CONSTRUMATERIALES SAN RAFAEL,20.41077124,-100.0175084
CONSTRUMATERIALES TREJO DE SAN JUAN,20.38793705,-99.98440835
CONSTRURAMA,20.53509713,-100.4404157
CONSTRURAMA,20.63872619,-100.447783
CONSTRURAMA CONSTRUFERRE,20.83459446,-99.71917085
CONSTRURAMA DEL VALLE,20.55563513,-100.3877421
CONSTRURAMA LAS TORRES,20.56540803,-100.3829382
CONSTRURAMAVISTA AZUL,20.55515452,-100.3712889
CONTRURAMA MORÁN,20.693448,-99.70766693
DEL BULEVART,20.63811348,-100.4483075
DEPOSITO SAN FRANCISCO,20.56295985,-100.3756863
DEPOSITO SAN FRANCISCO,20.63574707,-100.4551358
DISTRIBUIDOR AUTORIZADO DE SIKA,20.52112169,-100.4595525
DISTRIBUIDORA DE MATERIALES,21.22620127,-99.47768115
DISTRIBUIDORA DE MATERIALES PARA CONSTRUCCION RAMIREZ,20.60574209,-100.4453909
DISTRIBUIDORA DE MATERIALES PARA CONSTRUCCION STEEL,20.58324307,-100.4109303
DISTRIBUIDORA DE MATERIALES PEÑUELAS,20.63032793,-100.3974221
DISTRIBUIDORA DE MATERIALES PEÑUELAS,20.62914253,-100.3953844
DISTRIBUIDORA HIDRAULICA DEL CENTRO,20.63856805,-100.3950748
EL ESLAVON DOS,20.58915679,-100.4130446
EL SAUZ MATERIALES PARA LA CONSTRUCCION,20.48010644,-100.1231817
EQUIPAP,20.62051968,-100.4059225
EXCAVACIONES Y MATERIALES,20.63193498,-100.4017586
EXCAVACIONES Y MATERIALES,20.5910841,-100.3670657
FEMMOR SA DE CV,20.56914443,-100.2642878
FERRE ACEROS Y MATERIALES DE CADEREYTA S.A. DE C.V.,20.70107907,-99.81442851
FERRE MAYORISTAS OLVERA,20.52157179,-99.8977496
FERREALUMINIO,20.57053448,-100.3080093
FERREMATERIALES LA FORTUNA,20.68931295,-99.82318052
FERREMATERIALES NETOS,20.905807,-99.92833235
FERREMATERIALES SU CASA,20.58548317,-100.3851463
FERREMATERIALES Y ACEROS DE QUERETARO,20.64655145,-100.4625234
FERREMATERIALES Y PLOMERIA LS,20.56916811,-100.3266683
FERRETERIA,20.56214501,-100.3993697
FERRETERIA ABA,20.64878835,-100.4161424
FERRETERIA CONSTRUMEX,20.62708504,-100.4700564
FERRETERIA LA ERMITA,20.72682633,-100.4416957
FERRETERIA SIN NOMBRE,20.37763625,-99.9426697
FERRETERIA SIN NOMBRE,20.3954301,-99.95711488
FERRETERIA VELAZQUEZ,20.38329109,-99.94146751
FERRETERIA Y MATERIALES FERVA,20.85054468,-99.89542872
FERRETERIA Y MATERIALES PARA LA CONSTRUCCION SAN ANGEL,20.63593305,-100.4187583
FERRETERIA Y MATERIALES PLATEROS,20.63883173,-100.3950968
FERRETERIA Y MATERIALES QUIQUE,20.65256539,-100.4507571
FERRETERIA Y MATERIALES RANCHO LARGO,20.70510971,-100.4403568
FESABA,20.5259,-100.4395792
FSARQUITECTURA,20.63221453,-100.4143665
GECSA TRUCKING,20.58070384,-100.4221684
GLOBAL SOLUTIONS,20.58211038,-100.3806679
GRAVA 3N,20.59128285,-100.4030687
GRIFERIA,20.6096072,-100.4058849
GRUPO CASHER,20.58194843,-100.387162
GRUPO CEMENTERO DEL CENTRO,20.73901422,-100.4434751
"GRUPO COMERCIAL AMORI, S.A. DE C.V.",20.55782732,-100.4178395
GRUPO COMERCIAL LA VENTA SA DE CV,20.38607741,-99.99975915
GRUPO DE ORO FUERTE QUERÉTARO ,20.57373899,-100.3337391
GRUPO MAGNO VICTORIA VENTA DE MATERIAL DE CONSTRUCCION,20.3840636,-99.95735386
GRUPO MATERIALISTA 4 HERMANOS,20.59483775,-100.4469606
GRUPO MATERIALISTA CUATRO HERMANOS,20.59597513,-100.4433374
GRUPO MERCANTIL HUDASA,20.58542675,-100.379076
GRUPO SANCHEZ,20.56069052,-100.3957312
GRUPO SANTANDREA,20.66158959,-100.3740044
GRUPO SANTANDREA,20.6617286,-100.3745651
GRUPO TENERIFE,20.61962378,-100.4017474
IMA SERVICIOS COMERCIALES,20.58011192,-100.4084344
INSTRUMENTOS Y PRODUCTOS INDUSTRIALES,20.66237249,-100.392313
LA CASA DE CEMENTIN,20.56401102,-100.2389892
LA CASA DE CEMENTIN,20.61693385,-100.452504
LAMINADOS DE BARRO,20.59880969,-100.3748897
LOPREDI DEL BAJIO,20.60243113,-100.3751567
MADERAS Y MATERIALES DE RIOVERDE SA DE CV,21.54709891,-99.68909448
MAPEI,20.64388841,-100.4416103
MAPEI DE MÉXICO,20.64388841,-100.4416103
MARMOL Y COCINAS,20.57801958,-100.3800741
MARMOL Y TERRAZO POLO,20.56495771,-100.3810519
MARMOLES ARCA,20.5937618,-100.3697742
MARMOLES Y CANTERAS BRIESCA,20.57375909,-100.4047393
MATERIAL PARA CONSTRUCCION SUAREZ,20.64793198,-100.3886316
MATERIAL PARA MANTENIMIENTO Y CONSTRUCCION,20.6504386,-100.3420616
MATERIALES,20.299355,-99.87365203
MATERIALES 4 VIENTOS,20.55931634,-100.3831345
MATERIALES AHUACATLAN,20.43725314,-99.98439519
MATERIALES ALVARADO,20.67770183,-100.4505117
MATERIALES AMAZCALA,20.69886152,-100.2609836
MATERIALES ARIS,20.55682566,-100.3933123
MATERIALES ARMANDOS,20.47465817,-99.93874116
MATERIALES ARTE ESTILO Y DECORACION,20.41200717,-99.98475428
MATERIALES BALVANERA,20.52635218,-100.460138
MATERIALES BANTHI,20.38969527,-99.95779404
MATERIALES BÁSICOS PARA LA CONSTRUCCIÓN,20.5982387,-100.4467534
MATERIALES CASA BLANCA,21.21463475,-99.46153702
MATERIALES CASA GRANDE,20.56139905,-100.3962197
MATERIALES CASA RODRIGUEZ,20.4214137,-100.070097
MATERIALES CHARLI,20.61816653,-100.036406
MATERIALES CIERVO,20.65589428,-99.90189656
MATERIALES CONCHITA,20.70282782,-99.82319558
MATERIALES CORREGIDORA,20.54784447,-100.4400066
MATERIALES CRUZ,20.46812198,-99.99184892
MATERIALES CRUZ,20.37982358,-99.93996081
MATERIALES DE CONSTRUCCION,20.67631867,-100.4571037
MATERIALES DE MATEO,20.47658345,-100.2164215
MATERIALES EL CHINO,20.75041331,-100.4444098
MATERIALES EL GANSO,20.63861296,-100.4194857
MATERIALES EL NIÑO,20.52884588,-100.4541461
MATERIALES EL PASO TX,20.5282313,-99.91181092
MATERIALES EL PUENTE,20.53224855,-100.4406678
MATERIALES EL SOL,20.63604928,-100.4701613
MATERIALES ENJOCA,20.62822239,-100.3962018
MATERIALES ESCOBEDO,20.4935464,-100.1354372
MATERIALES FERRE TEXAS,20.40270816,-99.95824382
MATERIALES FLORES,20.47630822,-100.2140507
MATERIALES FORTALEZA,20.19290508,-100.150187
MATERIALES GAGA,20.63076132,-100.4758641
MATERIALES GALINDO,20.40006475,-100.096211
MATERIALES GARCIA,20.56922514,-100.3266756
MATERIALES GARCIA,20.64691051,-100.4633994
MATERIALES GARCIA,20.73839958,-100.4509424
MATERIALES GONZALEZ,20.43135073,-99.90211854
MATERIALES GONZALO,20.78879664,-100.4959081
MATERIALES JK,20.65637453,-99.9021207
MATERIALES LA CURVA,20.18324023,-100.136853
MATERIALES LA FE,20.55486064,-100.4133674
MATERIALES LA FUENTE,20.55192618,-100.0375458
MATERIALES LA GUADALUPANA,21.1348039,-99.62315262
MATERIALES LA HACIENDA,20.53806878,-99.8974891
MATERIALES LA HORMIGA,20.64466273,-100.4501646
MATERIALES LA LOMA,20.64021505,-100.4738458
MATERIALES LA SOLANA,20.74449799,-100.3966425
MATERIALES LA UNICA,21.22001074,-99.47531839
MATERIALES LEAL,20.70488098,-99.82563896
MATERIALES LIBRAMIENTO SUR PONIENTE,20.54711175,-100.3745235
MATERIALES LOMA BONITA,20.64281262,-100.4480679
MATERIALES LOS ANGELES,20.52367802,-99.90354943
MATERIALES LOS PILARES,20.7427519,-100.4431944
MATERIALES MARTÍNEZ,20.69352789,-99.7074268
MATERIALES MONDRAGON,20.55569907,-100.3885286
MATERIALES NIETO,20.39418057,-99.95714361
MATERIALES NIETO,20.4798702,-99.93734481
MATERIALES OLVERA,20.53464184,-100.4074847
MATERIALES PARA CONSTRUCCION,20.49502237,-100.0267665
MATERIALES PARA CONSTRUCCION,20.47417424,-99.9403528
MATERIALES PARA CONSTRUCCION,20.39628844,-99.99561438
MATERIALES PARA CONSTRUCCIÓN,20.38454955,-100.0050381
MATERIALES PARA CONSTRUCCION BRISEÑO,20.42708491,-99.9745138
MATERIALES PARA CONSTRUCCION CASTILLO,20.78248215,-100.042455
MATERIALES PARA CONSTRUCCION CEMEX,20.65373033,-100.3821562
MATERIALES PARA CONSTRUCCION CENTRO SANTA ROSA,20.74474421,-100.4467036
MATERIALES PARA CONSTRUCCION DEL RIO,20.59429976,-100.4154705
MATERIALES PARA CONSTRUCCION EL CHINO,20.72794198,-100.4423046
MATERIALES PARA CONSTRUCCION EL CHINO,20.74419358,-100.4425591
MATERIALES PARA CONSTRUCCIÓN EL GUERO,20.55660841,-100.4122083
MATERIALES PARA CONSTRUCCION EL SOL,20.63706222,-100.4708145
MATERIALES PARA CONSTRUCCIÓN FUENTEZUELAS,20.55853581,-99.97969915
MATERIALES PARA CONSTRUCCION JL,20.55514903,-100.4119418
MATERIALES PARA CONSTRUCCION NUEVO MEXICO,20.64299673,-100.4551577
MATERIALES PARA CONSTRUCCION PAREDES,20.65859266,-100.3420007
MATERIALES PARA CONSTRUCCION RANGEL,20.52845732,-100.1129097
MATERIALES PARA CONSTRUCCION RODRIGUEZ,20.62241643,-100.4456102
MATERIALES PARA CONSTRUCCION SANTA ELENA,20.6730128,-99.89396376
MATERIALES PARA CONSTRUCCION TECOZAUTLA,20.49695742,-100.139057
MATERIALES PARA CONSTRUCCION Y FERRETERIA BARRERA,20.73694421,-99.93789167
MATERIALES PARA CONSTRUCCIÓN ZUÑIGA,20.55375195,-99.97977614
MATERIALES PARA LA CONSTRUCCION,20.59601033,-100.4065978
MATERIALES PARA LA CONSTRUCCION,20.78373769,-100.375932
MATERIALES PARA LA CONSTRUCCION,20.50196635,-100.21333
MATERIALES PARA LA CONSTRUCCION BELLA VISTA,20.64671668,-100.4182988
MATERIALES PARA LA CONSTRUCCION BELTRAN,20.829975,-100.4770333
