Establecimiento,Lat,Lon
A MENARINI MEXICO,19.30670456,-99.21022472
ABARROTES FARMACIA ISRAEL,19.43000158,-99.16916232
ABARROTES SANTA ANA,19.53539747,-99.14194679
ABARROTES Y FARMACIA LUPITA,19.23415022,-99.001979
ABC FARMA,19.44944764,-99.09295427
ABEJA NATURISTA,19.32004919,-99.10595495
ACAS TEAM,19.42080799,-99.17043161
ADN MEDICA PHARMA,19.38014385,-99.24347078
ADONAI,19.48330065,-99.0975352
AGR OUTSORCING,19.38779195,-99.05208893
AHORRO MAX,19.4435686,-99.14537064
AL FARMA,19.29188874,-99.11932119
ALMACEN EL GLOBO,19.44509537,-99.16451226
AMERICAN PHARMACY,19.37146896,-99.1682541
ANÁLISIS CLINICOS DOCTOR SIMI,19.3057583,-99.23439694
APARATOS ORTOPEDICOS CONSULFARMA,19.47793065,-99.21281174
ARAFARMA,19.38824516,-99.0739091
ARMACIA GECIN,19.35670112,-99.01770964
ATENCION MEDICA Y FARMACIA SAN PEDRO,19.27178995,-98.99680015
BAE MEDIMAR 11 DE AGOSTO 2770,19.377871,-99.07238032
BARAFARMA,19.37898844,-99.09391228
BENAVIDES,19.43303098,-99.16835863
BHP NUTRITION,19.47297007,-99.18943306
BIENESTAR FARMACEUTICO,19.32363842,-99.2429185
BIOBONUM,19.33946748,-99.10840046
BIOFARMACY,19.40992073,-99.13195828
BIONATURA,19.45532663,-99.11986177
BODEGA 1 GRUPO RAYMEDIC,19.30362949,-99.10865548
BODEGA DE PAPEL PERTENECE A CORPORATIVO RACER,19.4163914,-99.15020669
BODEGA FARMADEXTRUM,19.4218007,-99.11573604
BODY PHARMA,19.49884408,-99.19239867
BOTIKA MEDICA,19.25658907,-99.03572226
BOTIQUIN MEDICO,19.53132345,-99.14426275
CALIDRUX SA DE CV,19.4260812,-99.17703554
CAMBRIDGE WEIGHT PLAN,19.43234488,-99.20376813
CARDIO FARMA,19.51119733,-99.1377529
CARDIO FARMA,19.51095008,-99.13789771
CARPINTERIA RAMIREZ,19.3110518,-99.16048104
CARPOFISH,19.38277003,-99.14904444
CASA ELITE,19.42055406,-99.17559042
CEDIS FARMACIAS DE SIMILARES,19.32578636,-99.07329032
CEDIS FARMACIAS DE SIMILARES,19.36222197,-99.04981611
CENTRAL DE FARMACÍAS,19.32434133,-99.12468595
CENTRO DE DIAGNOSTICO,19.41736758,-99.12846637
CENTRO DE IMPRESION,19.44350466,-99.16361945
CENTRO DE MEZCLAS INTRAVENOSAS - PHARMACORP,19.41764138,-99.15477052
CENTRO MÉDICO FARMACIA,19.40609116,-99.1669307
CHANGARRO,19.30463619,-99.24079519
CHICAS HERVALIVE,19.22522109,-99.08844432
CIBERFARMA ZAHORI,19.4713138,-99.11039654
CION,19.34815013,-99.0356168
CÍRCULO MÉDICO FARBEAN,19.40661579,-99.13153831
CLINICA AMOR,19.37609457,-99.12752331
CLUB DE HERBALFE,19.20087138,-99.1406818
CLUB DE NUTRICION,19.4951446,-99.0805773
CLUB DE NUTRICION,19.37937576,-99.11412925
CLUB DE NUTRICION,19.46438943,-99.1656353
CLUB DE NUTRICION,19.18712159,-99.07513221
CLUB DE NUTRICION,19.22220072,-98.99536962
CLUB DE NUTRICION,19.36732226,-99.28855442
CLUB DE NUTRICION,19.44227385,-99.16214088
CLUB DE NUTRICION,19.44711517,-99.14213102
CLUB DE NUTRICION,19.35452751,-99.07148438
CLUB DE NUTRICION CON ACTIVACION FISICA,19.39259815,-99.05224642
CLUB DE NUTRICION NATIVITAS,19.37954493,-99.13992801
CLUB DE NUTRICION TECOMITL,19.21962191,-98.99428811
CLUB HERVALIVE,19.23316613,-99.09758764
CLUB NUTRICIONAL,19.37811613,-99.05165389
CLUB NUTRICIONAL,19.3108404,-99.07454049
CLUB NUTRICIONAL,19.43943114,-99.16605229
CLUB NUTRICIONAL BODYLOGIC,19.25248574,-99.01420387
CLUB NUTRICIONAL JAH 2,19.38887657,-99.06001886
CLUB NUTRICIONAL LOS ANGELES,19.33042349,-99.09972954
CLUB NUTRICIONAL SIN NOMBRE,19.25586862,-99.01952304
COMERCIALIZACION Y SERVICIOS DEL PONIENTE  FARMACIA FARMACIA SUR,19.39779486,-99.20028635
COMERCIALIZACION Y SERVICIOS DEL PONIENTE  FARMACIA FARMACIA Y REGALOS NORTE,19.39779486,-99.20028635
COMERCIALIZADORA ARNI,19.47051772,-99.17598087
COMERCIALIZADORA DE BIENES Y SERVICIOS,19.47051772,-99.17598087
COMERCIALIZADORA DE FARMACOS,19.36091382,-99.09129371
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS,19.28780224,-99.05173115
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS,19.40689217,-99.16890306
COMERCIALIZADORA FARMACEUTICA RCD PHARMA,19.3135797,-99.14541958
COMERCIALIZADORA IMPORTADORA Y EXPORTADORA VOMAC S.A DE C.V,19.28329368,-99.23399174
COMEVIT FARMACIAS,19.31509277,-99.25798261
CONSULFARMA,19.39213078,-99.06168198
CONSULTA MEDICA Y FARMACIA PROSALUD,19.56065878,-99.13387874
CONSULTOPRIO HOMEOPATICO,19.29926791,-99.15817318
CONSULTORIO,19.31199923,-99.11003653
CONSULTORIO DE FARMACIA BENAVIDES,19.36981926,-99.14132936
CONSULTORIO DE PHARMA CLUB,19.36981926,-99.14132936
CONSULTORIO DENTAL Y FARMACIA DE GENERICOS,19.29801052,-99.11976574
CONSULTORIO MEDICO CON FARMACIA,19.44204773,-99.09505843
CONSULTORIO MEDICO DE ESPECIALIDADES Y FARMACIA,19.49915646,-99.12474667
CONSULTORIO MÉDICO DE SIMILARES,19.45670052,-99.05406688
CONSULTORIO MEDICO FARMACIA DE GENERICOS LECUONA,19.28523912,-99.19721253
CONSULTORIO MEDICO Y FARMACIA,19.385791,-99.04207096
CONSULTORIO MÉDICO Y FARMACIA,19.21030368,-98.96866923
CONSULTORIO MEDICO Y FARMACIA,19.34197616,-99.03991389
CONSULTORIO MEDICO Y FARMACIA CUAUHTEMOC,19.29532705,-99.07147182
CONSULTORIO MEDICO Y FARMACIA DE GENERICOS KAROL,19.39376762,-99.21020139
CONSULTORIO MEDICO Y FARMACIA SAN ANTONIO,19.2502994,-99.05217377
CONSULTORIO MEDICO Y FARMACIAS GI,19.53037664,-99.13973226
CONSULTORIO MEDICO YMACIA FARMACIA ANDRADE,19.46242473,-99.10177683
CONSULTORIO Y FARMACIA,19.25135322,-99.02831375
CONSULTORIO Y FARMACIA DE GENERICOS,19.33839974,-99.05944781
CONSULTORIO Y FARMACIA DE GENERICOS CANTERA,19.2740539,-99.1882163
CONSULTORIO Y FARMACIA GENERICOS,19.37290235,-99.29043928
CONSULTORIO Y FARMACIA JM,19.21455798,-98.97470214
CONSUTORIO AHORRAMAX,19.4765744,-99.12546529
CORPORATIVO RACER,19.41639898,-99.15030096
CRISTO MEDICO FARMACIA,19.41059478,-99.14192286
CRISTO REY,19.33650832,-99.02753352
CROMASOL,19.53979611,-99.15310058
