Punto,Lat,Lon
3 DLASHES,19.34801228,-99.18748381
7ENEQUILIBRIO,19.36849006,-99.1736698
ACERCATE FEM,19.47645897,-99.14305386
ACERCATE FEM PLUS,19.40663894,-99.16786918
ACNE FACIALES,19.38634141,-99.20063427
ACNE FACIALES,19.41970958,-99.10722444
ACNE FACIALES COAPA,19.29754929,-99.120906
ACTIVE VISION CENTER,19.42799477,-99.21773703
ACUPUNTURA CHINA,19.28887655,-99.12626488
ADAME DERMATOLOGIA,19.37966847,-99.1707834
ADMINISTRACION CONSULTORIOS TORRE 3,19.29651061,-99.1605306
ADMINISTRACION DE CLÍNICA MÉDICA FLORESTA,19.30643762,-99.13080392
ADMINISTRACION TORRE MEDICA NUEVA YORK 32,19.39642406,-99.17906676
ADN MEDICA PHARMA,19.38014385,-99.24347078
ADONIS CLINICA SPA,19.39473776,-99.14909958
AEROMEDICINA INTEGRAL CDMX,19.41629363,-99.08553318
AFEECI,19.40063538,-99.18696167
AGENDA NACIONAL POLITICA TRANS DE MEXICO,19.41690433,-99.13924963
AKUSTIKUM,19.43136071,-99.18863299
ALBERTO SANCHEZ GARCIA,19.49407512,-99.12732537
ALEJANDRO NUEVA PIEL,19.47301734,-99.14679029
ALERGOLOGIA,19.29651015,-99.16053148
ALERGOLOGIA E INMUNOLOGÍA,19.29651061,-99.1605306
ALLERMEDICA MULTIESPECIALIDADES,19.45057132,-99.15647854
ALLOY BUSINESS CENTER,19.3716169,-99.17286854
ALMA CENTER GROUP,19.40706129,-99.15525047
ALMACEN GENERAL I S S S T E,19.37360931,-99.16976499
ALTA ESPECIALIDAD MEDICA,19.41897648,-99.17469237
AMANECE NUTRIMENTAL,19.36743719,-99.179783
AMBU MEDICA,19.32339415,-99.2232416
AMI CONSULTORIO,19.33802846,-99.18648103
ANÁLISIS CLÍNICOS DEL DOCTOR SIMI,19.3237483,-99.1567997
ANALISIS CLINICOS Y PATOLOGIA CONSULTORIO MEDICO Y LABORATORIO,19.28858814,-99.12830888
ANDROSMEDIC CLINICA DEL DOLOR - COMEDEM,19.41639756,-99.15625437
ANESTECIA CIBELES,19.42060763,-99.16679671
