Establecimiento,Lat,Lon
ABARROTES Y FARMACIA LA CRUZ,20.007916,-105.455475
ADN,20.676681,-103.429672
AINCO,20.633803,-103.268702
ALCOHOL PURO DE CAÑA,20.723522,-103.392799
ALERIA,20.677375,-103.382516
ALMACEN DE FARMACIA REGIONAL,20.300436,-102.552734
ALMACEN DE FARMACIA VALERIANA,20.549427,-104.048028
ALMACEN FARMACIAS DE SIMILARES,20.592717,-103.412605
ALMACEN GRUPO TURISTORES,20.61695,-105.2309
ALMACEN INTERCONTINENTAL,20.641772,-103.332913
ALTA ESPECIALIDAD Y SERVICIOS PHAMACY,20.671774,-103.368703
ALTIMED SAN GASPAR,20.676404,-103.244344
ANESTECICOS DE JALISCO,20.684205,-103.361078
ANGEL DE LA SALUD,20.541321,-102.794297
APOYO BODEGA DE FARMACIA CARRILLO,20.540977,-102.795433
ARGUNZA,20.352508,-102.771145
ARTICULOS MEDICOS,20.687965,-103.333931
ARVORE FARMACIA,20.664577,-103.337772
ATLETIKZ SUPPLEMENTS,20.63037,-103.422179
AURA MLM,20.674648,-103.345516
AUTOSERVICIO FARMACEUTICO,20.679281,-103.372159
AVENDAÑO FARMACIA,20.550735,-102.508993
BAEZ Y FAMILIA,20.654999,-103.284351
BENAVIDES VALLE DEL REAL,20.555214,-103.362855
BIANCORE LAB,20.656656,-103.351156
BIO FARMACIA Y DEPOSITO DENTAL,21.867528,-101.593633
BIOHAUS,20.684671,-103.390169
BODEGA DE PRODUCTOSFUNCIONALES NATURALES,20.658803,-103.369237
BODEGA DE SUPERMEDIC FARMACIA,20.681115,-103.36541
BODEGA FARMACIA MELANY,20.707745,-103.309344
BODYLOGIC,20.691512,-103.414225
BONOMEX,20.679228,-103.349788
BRYMEL FARMACIA,20.610174,-103.381135
C H FARMACIA,21.435396,-102.575499
CENAREM SA DE CV,20.684359,-103.379721
CENEPI,20.653478,-105.225511
CENTRO DE APOYO SHELO NABEL,20.617457,-103.317887
CENTRO DE NEGOCIOS OMNILIFE,21.355477,-101.939098
CERULE,20.666654,-103.385167
CIMAFARM,20.815598,-102.759753
CIMAFARM,20.290073,-103.192402
CITY DREM,20.673348,-105.250812
CLINIC FARMA,20.473638,-103.447044
CLINICA CESAR,21.436743,-102.574429
CLINICA PARA SOPORTE DELPACIENTE CON DOLOR,20.688837,-103.344369
CLINIKAL,19.698182,-103.479083
CLUB FARMA LEAL,20.752454,-103.39097
CLUB FIT LOLIS,20.505536,-103.361659
CLUB HERVALAIF,20.59973,-103.328791
CLUB NUTRICIONAL DON MARIANO,20.614915,-103.34386
CLUB NUTRICIONAL HERBALAY,20.702568,-102.341724
COMERCIALIZADORA DE IMPLANTES Y MEDICAMENTOS MEDIPACK,20.650071,-103.386315
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI,20.711869,-103.296878
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI S.A DE C.V.,20.6441,-103.287534
COMERCILA FARMACIAS PERZONALIZADAS,20.684988,-103.38813
COMPLEX ORTHOPEDIC,20.689389,-103.381744
CONCHITA FARMACEUTICA,19.687037,-103.461474
CONSULTORIO MEDICO DE FARMACIAS GI,20.631347,-103.460452
CONSULTORIO MEDICO FARMACIAS DEL AHORRO,20.673972,-103.330065
CONSULTORIO MEDICO SIN NOMBRE,20.681551,-103.287748
CONSULTORIO MEDICO Y FARMACIA,20.799686,-103.499341
CONSULTORIO MEDICO Y FARMACIA,20.687833,-103.358077
CONSULTORIO MEDICO Y FARMACIA ALARCON,19.879265,-103.600071
CONSULTORIO MEDICO Y FARMACIA SAN JOSE,20.699664,-103.302781
CONSULTORIO MEDICO Y MI FARMACIA SIMILARES,20.669487,-105.210655
CONSULTORIO Y FARMACIA,20.569007,-103.344172
CONSULTORIO Y FARMACIA FARMACENTRO,20.494774,-103.247167
CONSULTORIO Y FARMACIA MICHEL,19.875955,-103.601947
CONSULTORIO Y FARMACIAS SEÑOR DEL PERDON,20.739617,-103.344521
CONSULTORIO-FARMACIA PUNTO MEDIC,20.652116,-103.425785
COPROVENT,20.616536,-103.445614
CRISTO MREDICO,20.626306,-103.281513
DAILYDERM,20.712219,-103.355526
DEGE FARMACIAS Y NUCLEOS DE ESPECIALIDADES LABORATORIO,20.66984,-103.221741
DEPOCITO DENTAL GAMA,20.709191,-102.344011
DEPOSITO MEDICO DENTAL MADERO,21.358165,-101.930715
DERMA LOS ANGELES,20.729725,-103.452089
DERMA LOS ANGELES FARMACIA,20.650166,-103.41827
DERMA PIEL,20.652868,-105.225614
DERMA PIEL,20.629042,-103.420134
DERMA PIEL FARMACIA DERMATOLOGIA,20.678068,-103.377396
DERMADVANCE FARMACIA DERMATOLOGICA,20.745633,-103.396458
DERMATOLOGICA,20.705947,-103.414358
DERMATOLOGICA LOS ANGELES,20.601507,-103.449097
DERMOFERTA DROGUERIA,20.722056,-103.35297
DERMOFERTA FARMACIA,20.72209,-103.352966
DESCUENTO,20.656991,-103.261411
DILABIM LABORATORIOS DE ANALISIS CLINICOS,20.688189,-103.342788
DIMESA,20.93028,-103.028493
DIMESA,19.630197,-103.421227
DISPENSADORA 10 A TU SALUD,20.584168,-103.386429
DISPENSARIO MÉDICO EL PARAISO,21.502039,-101.750914
DNX CAFE,20.87784,-103.832324
DR AJ FARMACIAS,20.633621,-103.251191
DR. AHORRO GUADALAJARA 1,20.694545,-103.298111
DR. AHORRO GUADALAJARA 2,20.675437,-103.337134
DR. AHORRO GUADALAJARA 4,20.669402,-103.27675
