Punto,Lat,Lon
ABASTECEDORA FERRETERA ATOTONILCO,20.65087409,-103.3807922
ABASTECEDORA LEAL SA DE CV,20.70860631,-103.3152399
ABASTECIMIENTOS INDUSTRIALES REYMO SA DE CV,20.65502775,-103.3669685
ABRASIVOS 0LMEDO,20.6570128,-103.4514351
ABRASIVOS INDUSTRIALES,20.67360707,-103.3134371
ABRASIVOS LA PAZ,20.64606452,-103.448943
ABRASIVOS Y HERRAMIENTAS PONTONES,20.64916978,-103.3600404
ABRASIVOS Y SERVICIOS OLMEDO,20.69445806,-103.3541038
ACCESORIOS Y CONTROLES,20.67430582,-103.3431064
ACERO Y MATERIALES PARA LA CONSTRUCCION,20.54521216,-103.2654642
ACEROCID,20.62909829,-103.3241035
ACEROS JUANACATLAN,20.51127532,-103.1715313
ACEROS LAMINADO ELITE SOLAR SYSTEMS,20.67489308,-103.2374891
ACEROS MURILLO,20.74834548,-103.4170681
ACEROS OCOTLÁN,20.51283854,-103.2375681
ACEROS OCOTLAN PACIFICO,20.42259373,-103.592824
ACEROS ROSCADOS,20.65638887,-103.351245
ACEROS Y FERRETERIA FLORES,20.43258194,-103.6359795
ADESIVOS DELTA,20.66444868,-103.3518381
AFILADURIA NAVARRO,20.65803108,-103.3048015
AGUALUZ SA DE CV,20.66833909,-103.360567
AIRE NEUMATICA COMPRESORES Y EQUIPOS PARA PINTAR,20.66652682,-103.3343697
ALBA DISTRIBUCIONES FERRETERAS,20.67818527,-103.4486363
ALEFO,20.67514598,-103.3381618
ALFA FERRETERIA,20.61479614,-103.4006869
ALMACEN,20.62239534,-103.0555296
ALMACEN DE ARENA,20.53998135,-103.4689113
ALMACEN DE ARENA AGRESON,20.70150745,-103.4608047
ALMACEN DE CONSTRUCTORA ELECTRICA,20.59813749,-103.3942887
ALMACEN DE FERRETERIA Y MATERIALES SAAVEDRA,20.69789535,-103.2969221
ALMACEN FERREMATERIALES MOYA,20.77013955,-103.4465644
ALMACEN FERRETERO,20.58515529,-103.441476
ALMACEN FERRETERO,20.54004517,-103.4688396
ALMACEN PLOMERO,20.68373725,-103.3543937
ALMACEN TLAPAMATERIALES EL FRESNO,20.63662381,-103.4653939
ALMACENAJE Y DISTRIBUCION DE COMPONENTES ELECTRONICOS,20.60200076,-103.4051576
ALPHA IRRIGATION,20.48601595,-103.4942767
ALUVEN DISTRIBUIDOR,20.64162345,-103.355144
ANDAMIOS RESENDIZ,20.76123774,-103.4347562
APOYO COMERCIAL HIRIKN,20.6755189,-103.3889577
AQUA SISTEMA DE RIEGO,20.66828289,-103.3634097
ARIAS ENERGIA,20.68235243,-103.3542036
ARIES ENERGIA,20.62677856,-103.4426279
ARMELO TANQUES Y EQUIPOS,20.66683728,-103.3601295
ARTICULOS PARA EL HOGAR G MAX,20.67372206,-103.3418625
ARTICULOS PARA PLOMERIA GRUPO UNIVERSAL,20.73263799,-103.3557954
ARTICULOS PARA SOLDAR,20.67626103,-103.3144069
ARTURO FERRETERIA,20.62015987,-103.420608
ARTUROS FERREPLOMERIAS E ILUMINACION,20.60019777,-103.4367359
ASESORES Y DISTRIBUIDORES EN HERRAMIENTAS,20.66912826,-103.3525113
ASTRO FIRE,20.73439013,-103.4172798
ATP IMPORTADORA,20.64110984,-103.3620876
ATSE,20.65082873,-103.3310571
AUDIO STATION,20.63626674,-103.3896673
AURI,20.66429061,-103.3443227
AUTOELECTRICO EL GANSO,20.51139221,-103.1826833
AUTOSERVICIO TLAPALERIA Y FERRETERIA SIN NOMBRE,20.65249355,-103.2753827
AZ FERRETERIA,20.60388503,-103.4108879
AZULEJOS Y COMPLEMENTOS MATRIZ,20.68331326,-103.4554258
AZULEJOS Y COMPLEMENTOS SUCURSAL NIÑOS HEROES,20.6656608,-103.3560515
AZULEJOS Y COMPLEMENTOS SUCURSAL NIÑOS HEROES II,20.66655982,-103.3608071
AZULEJOS Y COMPLEMENTOS SUCURSAL ZAPOPAN,20.73437097,-103.3426743
B&DEHERRAMIENTAS,20.66265337,-103.3647148
BAMAYACC,20.61622442,-103.2825574
BAVIERA INTERMEDIARIO,20.67540111,-103.3829361
BDS FERRETRIA Y HERRAMIENTAS,20.65167422,-103.3564993
BENPORT SA DE CV,20.61704316,-103.3927389
BIRLOS AUTOMOTRICES HERCULES SA DE CV,20.73260321,-103.355678
BIRLOS Y TORNILLOS,20.68975734,-103.3164225
BIRLOS Y TORNILLOS,20.72751493,-103.5452886
BIRLOS Y TORNILLOS JALISCO,20.58950087,-103.3445859
BIRLOS Y TORNILLOS JUJY,20.65713037,-103.2648748
BLOQUERA SAN JUAN,20.62083659,-103.2401011
BLOQUERA Y MATERIALES PARA CONSTRUCCION,20.57338829,-103.2155048
BODEGA,20.60405363,-103.4325667
BODEGA,20.6680224,-103.3576401
BODEGA,20.67871964,-103.3629789
BODEGA,20.60412153,-103.4325719
BODEGA ARTICULOS DE FERRETERIA,20.68688869,-103.3009082
BODEGA AUXILIAR,20.65609669,-103.3592988
BODEGA AUXILIAR DE FERRETERIA TOPETE,20.68735438,-103.3679292
BODEGA AUXILIAR TLAPAMATERIALES EL FRESNO,20.63610026,-103.4653983
BODEGA DE ACERO VILLEGAS,20.63320223,-103.2794533
BODEGA DE ARENA SIN NOMBRE,20.65257775,-103.2214376
BODEGA DE BLOCK PALAFOX,20.64320427,-103.4686492
BODEGA DE CANTERA,20.5889699,-103.222639
BODEGA DE DISTRIBUCION DE MATERIAL PARA URBANIZACION SIN NOMBRE,20.63174968,-103.3974855
BODEGA DE FERREMATERIALES JIMENEZ,20.76265949,-103.3396233
BODEGA DE FERREMATERIALES ROMO,20.63166366,-103.4604168
BODEGA DE FERRETERIA,20.74111747,-103.3655422
BODEGA DE FERRETERIA,20.67550937,-103.3361399
BODEGA DE FERRETERIA GUADALUPE,20.63162385,-103.4601952
BODEGA DE MATERIAL SIN NOMBRE,20.66059236,-103.3240663
BODEGA DE MATERIALES,20.65818798,-103.2547314
BODEGA DE MATERIALES DE CONSTRUCCION,20.62617996,-103.380557
BODEGA DE MATERIALES DE FERRETERIA,20.74629397,-103.3375617
BODEGA DE MATERIALES ELECTRICOS DE GUADALAJARA,20.66243915,-103.3525649
BODEGA DE MATERIALES GARCIA,20.67767507,-103.2710856
BODEGA DE MATERIALES SIN NOMBRE,20.65513978,-103.2821194
BODEGA DE MATERIALES SIN NOMBRE,20.56472033,-103.1831366
BODEGA DE MATERIALESCONSTRUCCION PARA MENDEZ,20.69435947,-103.2800626
BODEGA DE PLOMERIA METALFLU,20.64325823,-103.2852503
