Punto,Lat,Lon
CINE FORO,20.67491651,-103.3589373
70 CENTRO EDUCATIVO INTEGRAL DE EL SALTO,20.51340387,-103.1873959
ALFA CORORATIVOEMPRESARIAL,20.62184126,-103.0740483
ANESTESICOS DE JALISCO,20.68437387,-103.3610691
ARIST EDUCACION,20.67682666,-103.3635707
BENEMERITA Y CENTENARIA ESCUELA NORMAL DE JALISCO,20.69520125,-103.347496
BRANHOME,20.67677055,-103.3764976
C & B UNIVERSITY,20.68787462,-103.4459347
CASA DE LA DANZA FOLKLORICA,20.67401666,-103.3596684
CASA DEL JUBILADO DE LA UNIVERSIDAD AUTÓNOMA DE GUADALAJARA,20.67334992,-103.3595443
CENTRO DE CERTIFICACION Y TITULACION,20.62388956,-103.2420262
CENTRO DE DISEÑO AVANZADO,20.65168811,-103.3895048
CENTRO DE ESTUDIOS CINEMATOGRAFICOS,20.66311872,-103.3786545
CENTRO DE ESTUDIOS DE INBESTIGACIONES DE COMPORTAMIENTO,20.6712432,-103.3813572
CENTRO DE ESTUDIOS DE POSGRADO EN ODONTOLOGIA SC,20.68112375,-103.3834453
CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS JURIDICAS Y CRIMINOLOGICAS,20.67148105,-103.3472543
CENTRO DE ESTUDIOS UNIVERSITARIOS DE OCCIDENTE,20.67299679,-103.3496097
CENTRO DE ESTUDIOS UNIVERSITARIOS DE OCCIDENTE,20.67290607,-103.3495118
CENTRO DE ESTUDIOS UNIVERSITARIOS DE OCCIDENTE,20.67566198,-103.3518625
CENTRO DE ESTUDIOS URBANOS,20.68141045,-103.3770014
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,20.67025326,-103.4644262
CENTRO DE OCCIDENTE PARA EL ESTUDIO DE LOS VALORES HUMANOS,20.66922803,-103.3231348
CENTRO DE VALORES,20.69459683,-103.3424893
CENTRO EDUCATIVO NUEVA CULTURA SOCIAL,20.66790511,-103.3551949
