Establecimiento,Lat,Lon
100% MOTOS,19.412146,-99.133163
4 QUALITY INGENIERIA MECANICA AUTOMOTRIZ,19.393091,-99.122879
A.C. DE C. MOTOS,19.359301,-99.254870
ABLOSMAN ELECTRONICS,19.454693,-99.132480
AC MOTOS,19.477817,-99.147401
ACAVIS AIRE ACONDICIONADO AUTOMOTRIZ,19.284089,-99.129828
ACCESORIOS BARCELONA,19.428172,-99.154217
ACCESORIOS CARRANZA,19.321962,-99.047640
ACCESORIOS CON COLOCACION AUTOMOTRIZ,19.351352,-99.111342
ACCESORIOS PARA AUTOMOVIL SIN NOMBRE,19.438381,-99.120989
ACCESORIOS PARA AUTOS SUPER STAR,19.388862,-99.076218
ACCESORIOS Y VULCANIZADORA CASTILLO,19.399000,-99.130632
ACEITES,19.392227,-99.081826
ACEITES CAPRICORNIO,19.374990,-99.014355
ACEITES Y CAMBIOS DE LA ROSA,19.496620,-99.090780
ACEITES Y LLANTAS ARREDONDO,19.297787,-99.055382
ACEITES Y LUBRICANTES AUTOMOTRICES MONDRAGÓN,19.527682,-99.141412
ACEITES Y LUBRICANTES PARA AUTOMOVIL MARTINEZ,19.285175,-99.040746
ACEITES Y LUBRICANTES SANCHEZ,19.540070,-99.140420
ACEROS SORIA,19.451454,-99.125877
ACKSER MOTORS,19.338034,-98.989159
A-CMEC AUTOMITRIZ,19.440269,-99.102503
ACMI MEXICO,19.432528,-99.173918
ACOMULADORES DOS HERMANOS,19.395678,-99.113566
ACOUSTIC & PROJECT,19.471193,-99.079344
ACTIA,19.479014,-99.135726
ACUMULADORES,19.329272,-99.249148
ACUMULADORES DE LOS SANTOS,19.457108,-99.116432
ACUMULADORES HIS,19.380179,-99.110188
ACUMULADORES JIMENEZ,19.412435,-99.088127
ACUMULADORES RAMÍREZ,19.325684,-99.044237
ACUMULADORES RECONSTRUIDOS RAMIREZ,19.254769,-99.104010
ACUMULADORES TREJO,19.342685,-99.057206
ACUMULADORES VOLCANES,19.269451,-99.175179
ACUÑA SA. DE CV,19.418601,-99.153780
AFINA,19.328411,-99.139838
AFINA TEC DIESEL,19.382446,-99.094480
AFINACAR.COM,19.454651,-99.197772
AFINACION AUTOMOTRIZ,19.487328,-99.082938
AFINACION CLUCH Y FRENOS,19.340709,-99.057094
AFINACION INYECCION Y CARBURACION,19.405197,-99.149860
AFINACION Y CARBURACION,19.464954,-99.139212
AFINACION Y DIAGNOSTICO,19.443975,-99.097744
AFINACION Y DIAGNOSTICO DE EMISIONES MILENIO,19.290143,-99.075082
AFINACION Y PREVERIFICACION ZACATLAN,19.310116,-99.066766
AFINACION Y SERVICIO MANTENIMIENTO AUTOMOTRIZ,19.339405,-99.110223
AFINACIONES,19.290493,-99.049168
AFINACIONES,19.450284,-99.069766
AFINACIONES AUTOMOTRICES,19.474596,-99.112398
AFINACIONES AUTOMOTRIZ,19.441737,-99.163898
AFINACIONES BARAJAS,19.428427,-99.107072
AFINACIONES BARAJAS,19.430248,-99.098843
AFINACIONES CAR,19.453861,-99.197654
AFINACIONES CARBURADORES FERMIN,19.378847,-99.011701
AFINACIONES CLUTCH Y FRENOS SERVICIO LUCKY,19.445908,-99.198229
AFINACIONES CLUTH Y FRENOS SERVICIO MENDEZ,19.443914,-99.175720
AFINACIONES CRUZ,19.439111,-99.108985
AFINACIONES FROY,19.348780,-99.042488
AFINACIONES FUEL INJECTION,19.543455,-99.151862
AFINACIONES FUEL INYETION,19.344605,-99.020781
AFINACIONES FULL INYECTION,19.294528,-99.066083
AFINACIONES GARCIA,19.296030,-99.064500
AFINACIONES HERNANDEZ,19.389293,-99.094635
AFINACIONES LLOVET,19.300712,-99.144288
AFINACIONES LUCIO,19.312748,-99.072620
AFINACIONES LUCIO,19.310261,-99.079061
AFINACIONES PEDRO,19.464715,-99.129895
AFINACIONES REBOLLAR,19.360104,-99.007546
AFINACIONES REPARACIONES AUTOMOTRICES,19.402163,-99.176221
AFINACIONES RICHARD,19.299087,-99.041856
AFINACIONES RIGO,19.510382,-99.124881
AFINACIONES ROJAS,19.441998,-99.164002
AFINACIONES SANCHEZ,19.559139,-99.129141
AFINACIONES SERVICIO CASTILLO,19.474994,-99.084478
AFINACIONES SHELBY,19.258319,-99.022216
AFINACIONES SIN NOMBRE,19.309461,-99.039918
AFINACIONES TECNICAS,19.431078,-99.094495
AFINACIONES TECNICAS,19.534938,-99.148762
AFINACIONES TECNICAS,19.497697,-99.081474
AFINACIONES TOÑO,19.393253,-99.100465
AFINACIONES Y CAMBIOS DE ACEITE LEON,19.342252,-99.056156
AFINACIONES Y FRENOS,19.441802,-99.164927
AFINACIONES Y FRENOS DRIVE MY CAR,19.289393,-99.040797
AFINACIONES Y FRENOS ELIZALDE,19.389812,-99.042124
AFINACIONES Y MECANICA AUTOMOTRIS,19.283310,-99.010397
AFINACIONES Y TRASMICIONES AUTOMATICAS,19.398949,-99.150557
AFINACIONES YIYO-CARR,19.367183,-99.010474
AFINAUTO MANTENIMIENTO AUTOMOTRIZ,19.257299,-99.122931
AFINOCENTER,19.508354,-99.206231
AG MOTOS,19.359119,-99.110930
AGE AUDIO,19.410014,-99.090311
AGENCIA DE REGISTRO DE AUTOMOTORES GO VERIFICACIONES,19.279992,-99.142051
AGMON,19.325975,-99.157960
AGUILAR,19.348572,-99.036597
AGUILAR Y ESPONOSA AUTOMOTRIZ,19.392569,-99.144343
AIRE ACONDICIONADO,19.371754,-99.149458
AIRE ACONDICIONADO,19.298608,-99.042117
AIRE ACONDICIONADO,19.471391,-99.127649
AIRE ACONDICIONADO ALMARAZ,19.475625,-99.138123
AIRE ACONDICIONADO AUTO MOTRIZ AUTOCLIMAX EL 25,19.407168,-99.145889
AIRE ACONDICIONADO AUTOMOTRIZ,19.540797,-99.152274
AIRE ACONDICIONADO AUTOMOTRIZ,19.354418,-99.108080
AIRE ACONDICIONADO AUTOMOTRIZ,19.454754,-99.216346
AIRE ACONDICIONADO AUTOMOTRIZ,19.457475,-99.129348
AIRE ACONDICIONADO AUTOMOTRIZ SIN NOMBRE,19.374716,-99.209800
AIRE ACONDICIONADO EL GAVILAN,19.378465,-99.109500
AIRE ACONDICIONADO EVECCO,19.336513,-99.172898
AIRE ACONDICIONADO ICE CAR,19.318147,-99.164167
AIRE ACONDICIONADO LOAL,19.292443,-99.148382
AIRE ACONDICIONADO PARA AUTO,19.291340,-99.115176
AIRE ACONDICIONADO Y RADIADORES PADILLA,19.449867,-99.184306
AIRE FRYCAL,19.460672,-99.184809
AIRE ROBLES,19.469499,-99.129251
AIRES ACONDICIONADOS NOVATEK,19.441766,-99.085704
AIRES ACONDICIONADOS YORK,19.461928,-99.106265
AJUSTE DE MOTORES,19.448773,-99.059512
AJUSTES E INSPECCIONES VEHICULARES,19.463770,-99.103958
AKL RACING,19.406371,-99.065323
AL CODE,19.429434,-99.141425
ALAM CARS,19.389513,-99.106209
ALARMAS AUTOMOTRICES,19.374002,-99.113686
ALARMAS SYSTEMA AUDIO,19.289817,-99.015219
ALARMAS VEHICULARES AUDIO E ILUMINACION EXTREME CAR,19.518358,-99.160368
ALARMAS Y STEREOS,19.449366,-99.058923
ALEJANDRE MOTORES,19.456890,-99.205605
ALERONES CARAVI,19.432134,-99.102483
ALEX MOTORS,19.352291,-99.216578
ALEX RACING TALLER AUTOMOTRIZ,19.400582,-99.179252
ALFA CAR,19.386234,-99.122452
ALFREDO DEL ARCO,19.484489,-99.218099
ALLAUDIO MX,19.458198,-99.201763
ALMACEN DE GRUAS Y CAMIONES,19.244978,-99.054816
ALTA INGENIERIA AUTOMOTRIZ,19.392471,-99.083200
ALTA MECANICA,19.474439,-99.195416
ALTA MECANICA,19.351465,-99.149328
ALTA MECANICA,19.476072,-99.141248
ALTA MECANICA,19.339606,-99.205748
ALTA MECANICA,19.394080,-99.158205
ALTA MECANICA,19.353666,-99.032712
ALTA MECANICA,19.460101,-99.131573
ALTA MECANICA AUTOMOTRIZ,19.411105,-99.132789
ALTA MECÁNICA AUTOMOTRIZ,19.412266,-99.066687
ALTA MECANICA AUTOMOTRIZ,19.361503,-99.149036
ALTA MECANICA AUTOMOTRIZ CHAVA,19.549503,-99.127906
ALTA MECANICA AUTOMOTRIZ YAHVE JIREH,19.334338,-99.062933
ALTA MECÁNICA EN GENERAL,19.306097,-99.065269
ALTA MECANICA ESCOBAR,19.320305,-99.098706
ALTA MECANICA ESPECIALIZADA SERVICIO PERFORMANCE,19.388931,-99.038544
ALTA MECANICA TALLER MECANICO,19.298657,-99.164524
ALTA MECANICA VILCHIS,19.319157,-99.058212
ALTA MECANICA Y ACEITES,19.320807,-99.061263
ALTA TECNICA,19.409010,-99.132577
ALTA TECNOLOGIA EN SERVICIOS AUTOMOTRICES,19.456151,-99.180757
ALTAMECANICA MONTIEL,19.338319,-99.073618
ALUMINIOS Y VIDRIOS EL ZAMORANO,19.293761,-99.008702
ALUMSA,19.336877,-99.025566
ALVARADO AUTOMOTRIZ,19.391495,-99.200271
ALVAREZ AUTOMOTRIZ,19.390745,-99.049038
ALZA SERVICIO AUTOMOTRIZ,19.380797,-99.168316
AM FRENOS,19.477248,-99.213252
AM MOTORS,19.417324,-99.137786
AMBROSIO 3,19.361828,-99.031213
AMIGOS RACING,19.411113,-99.131699
AMSA AUTOMOTRIZ,19.441975,-99.089197
ANALISIS VEHICULAR DE EMICION,19.250383,-99.095018
ANFEYRA,19.298469,-99.170577
ANGELES CAMPUZANO SERVICIO AUTOMOTRIZ,19.401950,-99.110679
ANYR PERFORMANCES,19.274502,-99.207567
APLICACIONES MECANICAS,19.305877,-99.232607
ARENAS MOTORS SANTA FE,19.387288,-99.216098
ARGO SOLUCIONES AUTOMOTRISES,19.339861,-99.060577
ARIES,19.332011,-99.152648
ARMANDO MOTORS,19.485534,-99.120461
ARMANDO MOTOS,19.352135,-99.060019
ARMANDOSREFACCIONES Y ACCESORIOS,19.459167,-99.134520
ARREDONDO E HIJOS,19.468273,-99.146835
ART DESIGN FOR CARS,19.315148,-99.165599
ARTE Y DISEÑO EN MOTO,19.339466,-99.038070
ARTICULOS MANUFACTURADOS Y MATERIAL ELECTRICO.TALLER ELECTRICO EL CHATO,19.380752,-99.107410
ARTICULOS OPTICOS PALMER,19.422015,-99.072455
AS AUDIO EXTREME,19.282721,-99.010628
ASB MECHANIC TEAM S.R.L DE C.V,19.374545,-99.201504
ASESORIA AUTOMOTRIZ,19.369223,-99.293469
ASESORIA VEHICULAR MONJE,19.349984,-99.073009
ASISTENCIA TECNOLOGICA EN COMBUSTIBLES ALTERNOS SA DE CV,19.376168,-99.077972
ASOBENS ASISTENCIA INTEGRAL,19.429482,-99.172326
ASTERISCO AUTO SA DE CV,19.440434,-99.151328
ASTEX MOTORCYCLES RACING,19.318807,-99.164258
ASTON SERVICE,19.406478,-99.119823
ATM RACING,19.319043,-99.048377
ATM RACING,19.318105,-99.047771
ATM RACING,19.251759,-99.008163
ATMA ATMAN,19.449099,-99.117640
ATROLSA,19.424334,-99.138550
AUDI CONDESA,19.407907,-99.184761
AUDI0 CONTROL,19.294468,-99.017893
AUDICAR,19.371031,-99.189743
AUDIO BOUTIQUE,19.350399,-99.045757
AUDIO BOUTIQUE,19.456385,-99.115619
AUDIO BOUTIQUE CHUCHOS,19.356354,-99.002590
AUDIO BOUTIQUE JADIS,19.347510,-98.992667
AUDIO BOUTIQUE PARA AUTOS,19.257489,-99.013180
AUDIO CAR,19.329767,-99.250349
AUDIO CAR,19.365633,-99.114108
AUDIO CAR,19.297159,-99.055777
AUDIO CAR,19.440014,-99.103979
AUDIO CAR ANGELITOS,19.388481,-99.115173
AUDIO CAR ENANO,19.552493,-99.139351
AUDIO CAR POWER,19.385085,-99.134011
AUDIO CAR THE MUSICA,19.359549,-99.230215
