Establecimiento,Lat,Lon
ALIAT UNIVERSIDADES,20.49962033,-86.93566805
ALIAT UNIVERSIDADES,20.49518743,-86.94944053
AZTLAN,18.49915997,-88.31054123
"CENTRO DE EDUCACION CONTINUA (CEC), UNIDAD CANCUN",21.10938993,-86.7648505
CENTRO DE ESTUDIOS SUPERIORES E INVESTIGACIONES LIVIER,20.62847203,-87.08329131
CENTRO DE ESTUDIOS UNIVERSITARIOS VIZCAYA DE LAS AMERICAS,18.49425526,-88.30539477
CENTRO EDUCATIVO DE LA RIVIERA,20.6599395,-87.09706712
CENTRO REGIONAL DE EDUCACION NORMAL,19.59153875,-88.0493093
CENTRO REGIONAL DE EDUCACIÓN NORMAL JAVIER ROJO GÓMEZ,18.66769512,-88.39483007
COLEGIO EDUCEM,21.15592532,-86.86324756
COLEGIO SUPERIOR DE CIENCIAS JURIDICAS,21.13094027,-86.84513868
DIVISION DE CIENCIAS DE LA SALUD DE LA UNIVERSIDAD DE QUINTANA ROO,18.5231983,-88.31301341
DORMITORIOS DEL INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,20.85087589,-86.87551586
ECOSUR Chetumal,18.54467215,-88.26426686
EDUCACION NORMAL JAVIER ROJO GOMEZ UNIDAD CANCUN DEL CENTRO REGIONAL,21.15422388,-86.83757204
EL COLEGIO FRONTERA SUR,18.54480072,-88.26420008
ESCUELA DE ENFERMERIA IGNACIO CHAVEZ,20.63969065,-87.09513538
ESCUELA JUDICIAL,20.63650342,-87.07312855
ESCUELA NORMAL SUPERIOR ANDRES QUINTANA ROO,21.16472977,-86.87248026
GESTALT CENTRO DE ESTUDIOS,21.14181188,-86.83175709
IMAGEN INSTITUCIONAL,18.50048747,-88.29614993
IMESAD CANCÚN,21.1669349,-86.82509437
INSTITUTO CREATIVO,21.22079722,-86.80197389
INSTITUTO DE ESTUDIOS UNIVERSITARIOS,21.15369453,-86.82482772
INSTITUTO DE ESTUDIOS UNIVERSITARIOS ONLINE,21.15368396,-86.82482712
INSTITUTO DE ESTUDIOS UNIVERSITARIOS PLANTEL CANCÚN,21.15196669,-86.83590323
INSTITUTO DE INVESTIGACION Y DESARROLLO EDUCATIVO DE QUINTANA ROO,18.49829588,-88.28779259
INSTITUTO HUMANISTA DE PSICOTERAPIA GESTALT,21.15757089,-86.82237889
INSTITUTO INTEAMERICANO DE CIENCIAS DE LA SALUD,18.51507452,-88.32358885
INSTITUTO PARA EL DESARROLLO Y FINACIAMIENTO DEL ESTADO,21.15637137,-86.82156893
INSTITUTO PARTENON,20.49262121,-86.94159209
INSTITUTO PERICIAL JUDICIAL,21.17016781,-86.83526517
INSTITUTO POLITECNICO NACIONAL,21.10442439,-86.76506771
INSTITUTO PREUNIVERSITARIO MOTOLINEA DE LEON,21.16722152,-86.84119828
INSTITUTO TECNOLOGICO DE CANCUN,21.13992697,-86.8338662
INSTITUTO TECNOLOGICO DE CHETUMAL,18.51949976,-88.30253106
INSTITUTO TECNOLOGICO DE FELIPE CARRILLO PUERTO UNIDAD ACADEMICA TIHOSUCO,20.19529856,-88.36627482
INSTITUTO TECNOLOGICO SUPERIOR DE FELIPE CARRILLO PUERTO,19.59297484,-88.58707156
INSTITUTO UNIVERSITARIO DE ALTA FORMACION,21.14716777,-86.79210869
INSTITUTO UNIVERSITARIO METROPOLITANO,21.17559962,-86.85271401
MODULO DE LA UNIVERSIDAD HISPANOAMERICANA JUSTO SIERRA,19.74730285,-88.70659732
TECNOLOGICO UNIVERSITARIO PLAYACAR,20.67888369,-87.05823466
UCEM CANCUN,21.16722692,-86.84118713
ULA CAMPUS EJECUTIVO CANCÚN,21.15563819,-86.83368456
