Punto,Lat,Lon
BIELUD FARMACIA DERMATOLOGICA,25.69278564,-100.2443717
CENTRO MEDICO SALUD Y VIDA ETERNA,25.7809758,-100.3190605
CONSORCIO MEDICO MIUS,25.65912989,-100.3633248
DEMSA FARMACIA HIDALGO FARMACIAS MD,25.67229607,-100.347119
FARMACIA FARMATODO,25.67331609,-100.3467842
FARMACIA HOSPITALARIA NAXCA,25.71550622,-100.2728781
MOUSSE DE LA VIDA,25.66527275,-100.167201
A2-226 SINERGIA MEDICA Y FARMACEUTICA,25.66432037,-100.3114488
ADMINISTRACION MEDICA DEL NORESTE,25.70685519,-100.1452441
AGIO MEDICA EQUIPO MEDICO,25.64390979,-100.2745523
ALMA FARMACIAS DE ALTA ESPECIALIDAD,25.71402698,-100.3497011
ALMACENADORA  MEDICA RHINO S.A. DE C.V.,25.60975307,-100.1617719
ALMACENADORA MEDICA RIHNO,25.40634331,-100.1367451
AS FARMACIAS,25.69109766,-100.3772454
BENAVIDES SUCURSAL NARANJO,25.66078149,-100.3982071
BIELUD FARMACIA DERMTOLOGICA,25.73778293,-100.3141994
BIO PHARMA,25.64833262,-100.3252667
BIOMEDIC FARMACIAS,25.67573253,-100.3507873
BIONOVEL PHARMA,25.65559593,-100.3403081
BIOTIQUIN,25.79141692,-100.2353959
BRELUD FARMACIA DERMATOLOGICA,25.63972548,-100.2839948
BT NUTRITION,25.75531516,-100.4040284
CAFE LINGZHI,25.66606905,-100.3120907
CANAPHARMA,25.71365616,-100.3751785
CARFER,25.66825571,-100.3354123
CASA CULTIVA,25.63465318,-100.3634068
CEDIS FARMACIAS DE SIMILARES,25.69025462,-100.4896957
CEDIS FARMACIAS SIMILARES,25.70965906,-100.4918224
CENTRO DE DIIAGNOSTICO Y TRATAMIENNTO DEL PIE DIABETICO,25.78130351,-100.2585751
CENTRO DE NUTRICION RETRO 24 FIT,25.75712845,-100.1596513
CENTRO MEDICO LA ESPERANZA,25.72025247,-100.3750472
CENTRO MEDICO LAS PALMAS,25.90430457,-100.16032
CENTRO MEDICO SIN NOMBRE,25.76181226,-100.3599498
CENTRO MEDICO VITAGENS,25.75280155,-100.2336944
CENTRO NATURISTA OMEGA,23.67341598,-100.1816741
CIMESA,25.75673032,-100.4028505
CLINICA DEL AZUCAR,25.72745,-100.3680319
CLINICA VALLES,25.79265384,-100.4897159
CONSULTORIA HERBAX,25.65249454,-100.186462
CONSULTORIO MEDICO ALIANZA REAL,25.84823528,-100.383232
CONSULTORIO MEDICO DE FARMACIAS SIMILARES,25.76880651,-100.2519707
CONSULTORIO MEDICO SIN NOMBRE,25.71344297,-100.2584807
