Establecimiento,Lat,Lon
ACCIÓN EDUCATIVA CULTURAL A C,25.6837,-100.3288165
"ACCION EDUCATIVA CULTURAL, A.C.",25.6683,-100.3234259
"ACCIÓN EDUCATIVA CULTURAL, A.C.",25.6693,-100.3242779
ARTE AC,25.6725,-100.344296
ASOCIACION METROPOLITANA PARA LA EDUCACION,25.6737,-100.3379944
CAMPUS AREA MEDICA,25.688,-100.3492643
CAMPUS AREA UNIVERSITARIA,25.7257,-100.3090962
CAMPUS UNIDAD MEDEROS UANL,25.609,-100.2830567
CEDAE,25.6705,-100.3228739
CEDIM,25.664,-100.4496089
CENTRO  DE IDIOMAS,25.695,-100.3437946
CENTRO DE ASESORIAS DE LA UANL,25.737,-100.3762079
CENTRO DE ASESORIAS ESCOLARES,25.687,-100.2415411
CENTRO DE CRECIMIENTO PERSONAL Y FAMILIAR,25.6754,-100.3586513
CENTRO DE EDUCACION DIGITAL Y EMPRENDIMIENTO,25.7237,-100.3172388
CENTRO DE ENLACE GUADALUPE,25.7139,-100.1917968
CENTRO DE ESTUDIOS CONTEMPORANEOS,25.6704,-100.320097
CENTRO DE ESTUDIOS DOCENTES E INVESTIGACION,25.6785,-100.3029073
CENTRO DE ESTUDIOS HUMANISTICOS,25.7221,-100.3155567
CENTRO DE ESTUDIOS INTERDICIINARIOS,25.6785,-100.3031141
CENTRO DE ESTUDIOS INTERDISCIPLINARIOS,25.6763,-100.303706
CENTRO DE ESTUDIOS REGIOMONTANOS,25.7825,-100.5771847
CENTRO DE ESTUDIOS UNIVERSITARIOS,25.669,-100.3235769
CENTRO DE ESTUDIOS UNIVERSITARIOS DEL SUR,25.6898,-100.4483197
CENTRO DE ESTUDIOS UNIVERSITARIOS DIVISION DE MEDICINA VETERINARIA,25.6794,-100.2428818
CENTRO DE ESTUDIOS UNIVERSITARIOS FACULTAD SISTEMAS E INGENIERIA,25.6655,-100.3408046
CENTRO DE EVALUACION DE LA UNIVERSIDAD,25.6782,-100.317045
CENTRO DE IDIOMAS,25.6638,-100.3674361
CENTRO DE IDIOMAS DE LA ESCUELA NORMAL SUPERIOR PROFESOR MOISES SAENZ GARZA,25.6689,-100.4328061
CENTRO DE INVESTIGACION SOLAR DEL ITESM,25.6538,-100.2888226
CENTRO DE SALUD Y DESARROLLO LA CIMA CESADE,25.688,-100.4146404
CENTRO DE SERVICIO DE POYO,25.7645,-100.12306
CENTRO EDUCATIVO DE FORMACION SUPERIOR,25.672,-100.3317255
CENTRO EDUCATIVO UNIVERSARIO GIMNACIO,25.6678,-100.3244236
CENTRO ENLACE MONTERREY,25.6846,-100.3261601
CENTRO GLOBAL DE INNOVACION Y EMPRENDIMIENTO A.C,25.7641,-100.1197345
CENTRO MEXICANO UNIVERSITARIO DE CIENCIAS Y HUMANIDADES,25.6773,-100.3087855
CENTRO UNIVERSITARIO EDUCATIVO Y CULTURAL,25.7423,-100.2989217
CESADE SANTA CATARINA,25.6792,-100.4310566
CETIA,25.659,-100.3679448
CIMAT Unidad Monterrey,25.7626,-100.1133935
CLINICA DE ATENCION DENTAL AVANZADA,25.6793,-100.4309078
CLÍNICA VETERINARIA CEU PREPARATORIA Y FACULTAD DE VETERINARIA,25.6792,-100.2409608
COLEGIO CIVIL CENTRO CULTURAL UNIVERSITARIO,25.6739,-100.3148417
COLEGIO DE ESPECIALIDADES JURIDICAS,25.6651,-100.3085634
COLEGIO DE ESPECIALISTAS DE CIRUGUIA GENERAL,25.6817,-100.3185065
COLEGIO DE LIC EN ENFERMERIA,25.6879,-100.2942934
CONSORCIO DE EDUCACION DE NEGOCIOS TURISTICOS,25.6856,-100.3303837
CULTA UNIVERSIDAD,25.6362,-100.2825788
DIFUSIÓN CULTURAL,25.6709,-100.3218969
DIVISION DE CIENCIAS DE LA SALUD   UDEM,25.6604,-100.418739
DIVISION DE DERECHO Y CIENCIAS SOCIALES  UDEM,25.6608,-100.4185969
DIVISION DE NEGOCIOS  UDEM,25.6609,-100.4185577
EDEC,25.6611,-100.2835556
EDEC ELOY CAVAZOS,25.6452,-100.172099
EDEC UNIVERSIDAD,25.6827,-100.2645479
EDUCACION Y DESARROLLO CULTURAL DE MONTERREY,25.7267,-100.3523905
EGAP MONTERREY,25.6435,-100.326407
ESADI,25.6691,-100.3629267
ESCUELA   DE   ESTUDIOS  MULTINACIONALES,25.6662,-100.3046531
ESCUELA   DE ESTUDIOS  MULTINACIONALES  A C,25.779,-100.2354352
ESCUELA DE CIENCIAS DE LA EDUCACION,25.6769,-100.3248978
ESCUELA DE EDUCACION FISICA DEPEDYC,25.6777,-100.2540385
ESCUELA DE EDUCACION SUPERIOR DEL SECTOR PRIVADO SIN NOMBRE,25.6717,-100.3235751
ESCUELA DE ENFERMERIA,25.7529,-100.3676407
ESCUELA DE ENFERMERIA TEC,25.6692,-100.3532318
ESCUELA DE ESPECIALIDADES PARA CONTADORES PROFESIONALES AC,25.6822,-100.3670439
ESCUELA DE ESPECIALIDADES PARA CONTADORES PRROFECIONALES,25.681,-100.3659462
ESCUELA DE MEDICINA Y CIENCIAS DE SALUD,25.6504,-100.2919363
ESCUELA JOSE VASCONCELOS,25.7228,-100.2067453
ESCUELA LUIS GONZALEZ GONZALES,25.7853,-100.4663991
ESCUELA NORMAL DE ESPECIALIZACION HUMBERTO RAMOS LOZANO,25.6696,-100.3265725
ESCUELA NORMAL SUPERIOR PROFESOR MOISES SAENZ GARZA,25.6803,-100.331414
ESCUELA NORMAL SUPERIOR PROFESORMOISES SAENZGARZA ESCUELA DE GRADUADOS,25.6746,-100.2741585
ESCUELA NORMAL SUPERIOR PROFR. MOISES SAENZ GARZA,25.7078,-100.2260743
ESCUELA SUPERIOR DE MUSICA Y DANZA,25.6726,-100.3398854
ESCUELA SUPERIOR DE PROCESOS ELECTORALES,25.6729,-100.3371946
ESCUELA Y PREPARATORIA TECNICA MEDICA,25.6809,-100.362827
ESCUELAS DE EDUCACIÓN SUPERIOR DEL SECTOR PRIVADO,25.741,-100.405051
ESCUELAS DE EDUCACIÓN SUPERIOR DEL SECTOR PRIVADO,25.6724,-100.3207552
FACPYA UNIDAD CADEREYTA,25.5768,-99.98958741
FACULTAD  DE ENFERMERIA,25.691,-100.3512919
FACULTAD DE ADMINISTRACION,25.6717,-100.3220843
