Punto,Nombre,Ciudad,Lat,Lon
},16 DE SEPTIEMBRE,Cuauhtémoc,19.43249,-99.13767
267,20 DE NOVIEMBRE HOMBRE,Cuauhtémoc,19.42552,-99.13419
341,20 DE NOVIEMBRE MUJER,Cuauhtémoc,19.42700,-99.13399
589,Acayucan Centro,Acayucan,17.94920,-94.91420
199,AGUASCALIENTES HOMBRE CCP,Aguascalientes,21.88211,-102.29590
256,AGUASCALIENTES MUJER,Aguascalientes,21.88226,-102.29580
599,AMERICAS VERACRUZ CCP,Veracruz,18.14542,-94.41398
349,APATZINGAN  GARCIA + CCP,Apatzingan,19.08968,-102.35380
594,Avenida Circunvalación,Guadalajara,20.68778,-103.29590
352,CAMPECHE,Campeche,19.84583,-90.53617
262,CAMPECHE I,Campeche,19.84583,-90.53619
221,CANCÚN,Cancún,21.17338,-86.82633
292,CANCÚN I,Cancún,21.14694,-86.82429
225,CARDENAS,Cardenas,17.98913,-93.37583
586,CCP PATIO LOS CABOS,Cabo San Lucas,22.90540,-109.93400
584,CENTRO COMERCIAL  PUERTA ARAGÓN,Gustavo A. Madero,19.47963,-99.06532
323,CENTRO COMERCIAL ALTACIA,León,21.09224,-101.62520
567,CENTRO COMERCIAL AMERICAS MERIDA,Mérida,20.99228,-89.64939
333,CENTRO COMERCIAL SAN LUIS,San Luis Potosí,22.12684,-101.03020
259,CETRO COMERCIAL TAMPICO,Tampico,22.24959,-97.86488
329,CHALCO GARCIA + CCP,Chalco de Díaz Covarrubias,19.26255,-98.89582
196,CHIAPAS,San Cristobal de la Casas,16.73928,-92.63797
212,CHIHUAHUA,Chihuahua,28.63818,-106.07860
275,CHIHUAHUA CIUDAD CUAUHTEMOC,Cuauhtemoc,28.40703,-106.86580
319,CHIHUAHUA CIUDAD DELICIAS,Ciudad Cuauhtémoc,28.40878,-106.86730
203,CHIHUAHUA HH,Chihuahua,28.63724,-106.07640
338,CHIHUAHUA LIBERTAD II,Chihuahua,28.63722,-106.07660
217,CHIHUAHUA PARRAL,Hidalgo del Parral,26.93377,-105.66670
361,CIELO VISTA MALL,El Paso,31.77665,-106.38520
287,CIUDAD DELICIAS,Delicias,28.19636,-105.47230
331,CIUDAD MADERO GARCIA + CCP,Ciudad Madero,22.24678,-97.83727
227,CIUDAD OBREGÓN,Ciudad Obregón,27.49056,-109.93070
242,CIUDAD OBREGÓN I,Ciudad Obregón,27.49202,-109.93240
226,CIUDAD VICTORIA GARCIA + CCP,Victoria,23.73138,-99.14575
308,COLIMA,Colima,19.24239,-103.72640
328,COMACALCO  GARCIA + CCP,Comalcalco,18.26370,-93.22398
314,COMBO AGUASCALIENTES,Aguascalientes,21.88408,-102.29710
284,COMBO ATLIXCO,Atlixco,18.90741,-98.43511
325,COMBO CENTRO  ZÓCALO,Cuauhtemoc,19.43081,-99.13306
269,COMBO COATZACOALCOS,Coatzacoalcos,18.14542,-94.41398
204,COMBO GRAN PATIO ECATEPEC,Ecatepec de Morelos,19.61901,-98.99597
197,COMBO GUADALAJARA I,Guadalajara,20.67829,-103.34800
295,COMBO JOJUTLA,Jojutla,18.61483,-99.17953
583,COMBO LAS AMERICAS ECATEPEC,Ecatepec,19.58221,-99.02323
216,COMBO MAZATLÁN,Mazatlán,23.20306,-106.42060
299,COMBO MIDTOWN JALISCO,Guadalajara,20.69391,-103.37470
248,COMBO MOCHIS III,Los Mochis,25.78785,-108.99520
357,COMBO MONTERREY AV. JUAREZ,Monterrey,25.67580,-100.31440
270,COMBO MONTERREY II,Monterrey,25.66772,-100.31430
263,COMBO MORELIA,Morelia,19.70297,-101.19080
220,COMBO PARQUE CELAYA,Celaya,20.54686,-100.83900
234,COMBO PARQUE LAS ANTENAS,Iztapalapa,19.31471,-99.07724
330,COMBO PARQUE PUEBLA,Heroica Puebla de Zaragoza,19.06933,-98.17276
207,COMBO PASEO LA FE NUEVO LEON,San Nicolas de los Garza,25.71982,-100.21990
355,COMBO PATIO GUANAJUATO,Guanajuato,20.97297,-101.27890
219,COMBO PATIO VALLE DE CHALCO,Valle de Chalco,19.29973,-98.95253
293,COMBO PLAZA JARDIN NEZA,Nezahualcóyotl,19.42468,-99.02369
184,COMBO PLAZA PATRIA,Zapopan,20.71258,-103.37720
570,COMBO PUERTA TEXCOCO,Texcoco,19.42778,-98.91193
317,COMBO SALTILLO IV,Saltillo,25.42465,-101.00220
334,COMBO SOLESTA PUEBLA,Puebla,19.03423,-98.22874
253,COMBO TACUBA,Miguel Hidalgo,19.45848,-99.18958
298,COMBO TACUBAYA,Miguel Hidalgo,19.40182,-99.18631
582,COMBO TECÁMAC,Tecámac,19.71351,-98.97312
247,COMBO TORREON,Torreon,25.53700,-103.46360
301,COMBO URUAPAN,Uruapan,19.42126,-102.06290
208,COMBO VERACRUZ NICOLAS BRAVO,Veracruz,19.19255,-96.13847
340,COMBO XALAPA,Xalapa,19.52966,-96.92271
321,CÓRDOBA,Cordoba,18.89222,-96.93210
239,COSAMALOAPAN,Cosamaloapan,18.36486,-95.79409
312,COSMOPOL,Coacalco,19.63186,-99.12487
363,CUAJIMALPA,Cuajimalpa,19.35604,-99.30245
285,CUAUTLA GARCIA + CCP,Cuautla,18.81364,-98.95473
192,CUERNAVACA,Cuernavaca,18.92422,-99.23502
573,CUERNAVACA AVERANDA,Cuernavaca,18.93426,-99.19753
241,CUERNAVACA HOMBRE CCP,Cuernavaca,18.92414,-99.23503
278,CUERNAVACA MUJER CCP,Cuernavaca,18.92469,-99.23521
255,CULIACAN FORUM CCP,Culiacan,24.81476,-107.40090
294,CULIACÁN GARCÍA + CCP,Culiacan,24.80844,-107.39470
271,CULIACÁN I,Culiacan,24.79503,-107.38460
366,DEERBROOK MALL TX,Humble,30.00979,-95.27026
313,DURANGO,Durango,24.02372,-104.66820
348,DURANGO VICTORIA,Durango,24.02348,-104.66890
588,ENCUENTRO OCEANÍA,Venustiano Carranza,19.43956,-99.09423
249,ENSENADA,Ensenada,31.86624,-116.62520
195,EXPLANADA PUEBLA,San Pedro Cholula,19.07102,-98.27753
362,FASHION MALL CHIHUAHUA,Chihuahua,28.62307,-106.11730
322,FASHION MALL TUXTLA,Tuxtla Gutierrez,16.74510,-93.07403
356,FORUM BUENAVISTA HOMBRES,Cuahutemoc,19.44780,-99.15189
186,FORUM BUENAVISTA MUJER,Cuahutemoc,19.44780,-99.15189
257,FORUM TEPIC,Tepic,21.49157,-104.86670
576,FORUM TLAQUEPAQUE HOMBRE,Guadalajara,20.64780,-103.32050
232,FORUM TLAQUEPAQUE MUJER,Tlaquepaque,20.64718,-103.32040
222,FRANCISCO I. MADERO,Ciudad de México,19.43350,-99.13701
336,FRESNILLO,Fresnillo,23.17449,-102.87160
303,GALERÍAS CAMPECHE,Campeche,19.85682,-90.52317
279,GALERÍAS SERDÁN,puebla,19.07140,-98.22521
283,GALERÍAS SONORA,Hermosillo,29.06518,-110.95000
590,GALERÍAS VALLE ORIENTE,Monterrey,25.63877,-100.31400
358,GALERÍAS ZACATECAS,Zacatecas,22.77714,-102.59810
277,GÉNOVA ZONA ROSA CCP,Cuahutémoc,19.42627,-99.16389
596,GRAN PATIO ECATEPEC,Ecatepec de Morelos,19.61901,-98.99597
223,GRAN PATIO POZA RICA,Poza Rica de Hidalgo,20.52585,-97.45936
580,GRAN SUR,Coyoacán,19.30470,-99.16536
300,GUADALAJARA,Guadalajara,20.67690,-103.34900
202,GUANAJUATO MUJER CCP,Guanajuato,21.01822,-101.25850
273,GUASAVE II,Guasave,25.56052,-108.46050
261,HERMOSILLO,Hermosillo,29.07789,-110.95370
246,HERMOSILLO,Hermosillo,29.07951,-110.95220
224,IRAPUATO,Irapuato,20.67337,-101.34630
190,IRAPUATO I,Irapuato,20.67337,-101.34630
600,LA PERLA ZAPOPAN,Zapopan,20.64565,-103.41150
289,LA PIEDAD,La Piedad,20.34166,-102.02230
342,LA PLAZA MALL,Mc Allen,26.18538,-98.23628
291,LAS AMÉRICAS,Xalapa,19.51239,-96.87683
591,LAS AMÉRICAS CANCÚN,Cancún,21.17034,-86.82036
337,LEÓN II,León,21.12285,-101.68140
359,MARTINEZ DE LA TORRE,Martínez de la Torre,20.06306,-97.05595
229,MÉRIDA,Mérida,20.96720,-89.62168
206,MÉRIDA I,Mérida,20.96592,-89.62093
327,MÉRIDA II,Merida,20.96515,-89.62300
214,MÉRIDA III,Mérida,20.96626,-89.62131
585,METRÓPOLI PATRIOTISMO,Benito Juárez,19.39694,-99.18087
230,MOCHIS II,Los Mochis,25.78739,-108.99460
252,MONCLOVA,Monclova,26.89991,-101.41530
213,MONTERREY,Monterrey,25.66825,-100.31360
264,MONTERREY CCP HOMBRE,Monterrey,25.66739,-100.31250
282,MULTIPLAZA ARAGÓN,Ecatepec de Morelos,19.53147,-99.02513
265,MULTIPLAZA ARAGÓN COMBO,Ecatepec,19.53099,-99.02722
597,MUNDO E,San Lucas Tepetlacalco,19.52463,-99.22852
344,MUNDO E MUJER Y KIDS,Tlanepantla,19.52463,-99.22852
297,NAUCALPAN GARCIA+CCP,Naucalpan de Juárez,19.47212,-99.23614
182,NAVOJOA GARCIA + CCP,Navojo,27.07917,-109.44630
250,NEZAHUALCÓYOTL AV. MEXICO,Nezahualcóyotl,19.40048,-99.04072
324,NOGALES  CCP,Nogales,31.32167,-110.94600
231,OASIS COYOACÁN,Coyoacan,19.34573,-99.17906
305,OAXACA,Oaxaca de Juárez,17.05971,-96.72614
587,OAXACA LAGUINILLA,Oaxaca de Juarez,17.06046,-96.72595
