Punto,Lat,Lon
OXXO,19.37323589,-99.10790281
OXXO,19.34447834,-99.02912272
OXXO,19.24676656,-99.08302792
OXXO,19.42880543,-99.09601422
OXXO,19.33116338,-99.24684041
OXXO,19.45229803,-99.20279206
OXXO,19.41432715,-99.15444185
OXXO,19.46457758,-99.11394938
OXXO,19.44766272,-99.13566858
OXXO,19.47362571,-99.12287498
OXXO,19.37331849,-99.28503072
OXXO,19.27655836,-99.12848382
OXXO,19.48427496,-99.09595491
OXXO,19.26433439,-99.11884227
OXXO,19.46369087,-99.11249703
OXXO,19.46965197,-99.09074323
OXXO,19.3812883,-99.07977209
OXXO,19.31586284,-99.11383949
OXXO SA DE CV,19.32370536,-99.24656819
OXXO SUC 500AV PORTO ALEGRE MEX,19.37140428,-99.12959705
OXXO SUC 500LQ MAYORISTA MEX,19.37484044,-99.07856572
OXXO SUC 500O5 BEGONIA MEX,19.34545671,-99.07020725
OXXO SUC 500QC SEVILLA II,19.42148252,-99.17132841
OXXO SUC 5013E VILLA DEL MAR MEX,19.30728252,-99.06916362
OXXO SUC 5013M MB PATRIOTISMO MEX,19.4031903,-99.17795516
OXXO SUC 5014I CENTRO POLANCO MEX,19.44359194,-99.18369619
OXXO SUC 501G7 MORELIANA MEX,19.34333452,-99.04401281
OXXO SUC 501IL PT URUGUAY MEX,19.43028024,-99.14097835
OXXO SUC 501JE CARTUCHOS MEX,19.39107663,-99.25656834
OXXO SUC 501K4 PUEBLO SANTA CRUZ MEX,19.34000813,-99.04000806
OXXO SUC 501N9 M JAMAICA MEX,19.40912748,-99.12300558
OXXO SUC 501P8 FRANQUEZA MEX,19.32607791,-99.03682556
OXXO SUC 501X0 LA CITE MEX,19.36697678,-99.27159729
OXXO SUC 50208 TULIPAN MEX,19.39026153,-99.12365108
OXXO SUC 5022F LOMAS ESTRELLA MEX,19.32200493,-99.09629678
OXXO SUC 5028I PLAZA INN MEX,19.35836165,-99.18409698
OXXO SUC 502EI CHOLULA MEX,19.40685286,-99.17548873
OXXO SUC 502EJ LAS GARZAS MEX,19.25720049,-99.01090956
OXXO SUC 502GU PLAZA VICTORIA MEX,19.29616219,-99.15935362
OXXO SUC 502PU LUIS CABRERA,19.31795774,-99.23733301
OXXO SUC 502WG TIZOC MEX,19.37763206,-99.11282571
OXXO SUC 502WM SAN CIPRIAN MEX,19.42266562,-99.1224583
OXXO SUC 50316 GABINO BARREDA MEX,19.44149627,-99.16280899
OXXO SUC 5038P PLAZA MARIA MEX,19.32923132,-99.28505491
OXXO SUC 503EA HOSPITAL MOCTEZUMA MEX,19.43298306,-99.09830007
OXXO SUC 503FJ SAN ANGEL INN MEX,19.34108349,-99.2087574
OXXO SUC 503IP PLAZA CAFETALES MEX,19.30667245,-99.11162834
OXXO SUC 503J7 ESPUELAS MEX,19.41545218,-99.06642976
OXXO SUC 503ML PARK Y FLY MEX,19.42445335,-99.09349402
OXXO SUC 503MX JUAREZ MEX,19.33061698,-99.0562246
OXXO SUC 503O0 PLAZA FORUM MEX,19.44692876,-99.15273006
OXXO SUC 5045H NAPOLES,19.38958102,-99.17469026
OXXO SUC 504CH QUETZALCOATL MEX,19.33370721,-99.04189554
OXXO SUC 504EI VIRGO MEX,19.38612819,-99.1225924
OXXO SUC 504MC TLACOTAL MEX,19.39490692,-99.10190255
OXXO SUC 504PG MEYEHUALCO MEX,19.35020214,-99.04655538
OXXO SUC 504PP FRANCISCO VILLA MEX,19.33773682,-99.05917161
OXXO SUC 504QI PENON TEXCOCO,19.44306914,-99.07822075
OXXO SUC 504T5 LOMAS ANGEL MEX,19.41645303,-99.17309127
OXXO SUC 5053V ALAMEDA CENTRAL MEX,19.43432976,-99.14758973
OXXO SUC 5057O TIZIMIN MEX,19.28425479,-99.22315509
OXXO SUC 505GY ESTACION VIGA MEX,19.39249871,-99.12227214
OXXO SUC 505I2 BONDOJITO NORTE MEX,19.44928802,-99.11324147
OXXO SUC 505IV GRIJALVA MEX,19.48185962,-99.20921983
OXXO SUC 505QH CARRANZA MEX,19.43170619,-99.13913287
OXXO SUC 505W3 MERCADO TLACO MEX,19.3771608,-99.17461391
OXXO SUC 505XJ GLORIA MEX,19.34606198,-99.07221289
OXXO SUC 505YO LAGO TEXCOCO MEX,19.44439761,-99.17894153
OXXO SUC 505Z0 LA CEBADA MEX,19.28104958,-99.11690697
OXXO SUC 5062P LEBRIJA MEX,19.32312828,-99.07640579
OXXO SUC 5064N MERIDA MEX,19.41653158,-99.15673152
OXXO SUC 506JJ LAGO CARDIEL MEX,19.455054,-99.2028186
OXXO SUC 506SC MIXHUCA MEX,19.40917623,-99.11995625
OXXO SUC 506TI CALLE 1 MEX,19.41753921,-99.06817566
OXXO SUC 506UL POZOS MEX,19.32842496,-99.03580213
OXXO SUC 5078Y PERICENTRO MEX,19.45231415,-99.21973891
OXXO SUC 507K5 M CUITLAHUAC MEX,19.45664924,-99.18059436
OXXO SUC 507KB ROSSINI MEX,19.45505118,-99.13019431
OXXO SUC 507ML PT EJE CENTRAL MEX,19.43155437,-99.14114535
OXXO SUC 507QN JARDIN AZCAPO MEX,19.4829489,-99.18795043
OXXO SUC 5082K BP L ALBERTO,19.44039585,-99.19038699
OXXO SUC 5082S CAPRICORNIO,19.32668577,-99.10104726
OXXO SUC 5088G SOFIA MEX,19.40372378,-99.13821652
OXXO SUC 508A4 DR BOLAÑOS MEX,19.40565295,-99.14965366
OXXO SUC 508FL PINTA LEON MEX,19.32406755,-99.26968726
OXXO SUC 508T2 MONTE CASINO MEX,19.36459672,-99.29302465
OXXO SUC 508YS PLAZA SOTELO MEX,19.45625205,-99.21301637
OXXO SUC 5098M HORTALIZAS MEX,19.3726844,-99.09478103
OXXO SUC 509FJ PERSEO MEX,19.35385078,-99.12111044
OXXO SUC 509GO CONSTELACION MEX,19.35731283,-99.12203798
OXXO SUC 509K3 GASODUCTO MEX,19.49511202,-99.19346832
OXXO SUC 509PB PLAZA AMEYALCO MEX,19.32754196,-99.27159131
OXXO SUC 509R6 YMCA MAYORCA MEX,19.37620369,-99.13168803
OXXO SUC 509WC BOLIVAR MEX,19.39978757,-99.14320633
OXXO SUC 509X8 NORTE MEX,19.36606223,-99.15563508
OXXO SUC 50A8V AVIACION II MEX,19.42058561,-99.09433803
OXXO SUC 50AAM VIOLETA II MEX,19.44112689,-99.14456152
OXXO SUC 50ABY ABASOLO MEX,19.27257508,-99.13153875
OXXO SUC 50ACG AMATISTA MEX,19.39369725,-99.08153143
OXXO SUC 50ACX ACOXPA MEX,19.29616968,-99.1342188
OXXO SUC 50AEN ATEPEHUACAN MEX,19.48520039,-99.11914586
OXXO SUC 50AFE AMADO NERVO MEX,19.44318542,-99.15810085
OXXO SUC 50AFL ALPES MEX,19.36274437,-99.19160923
OXXO SUC 50AFW SALTO DEL AGUA MEX,19.42662482,-99.14253771
OXXO SUC 50AGL AGUILAS MEX,19.34107754,-99.25219594
OXXO SUC 50AJO AJUSCO MEX,19.26810198,-99.22153997
OXXO SUC 50AKS AQUILES SERDAN IIMEX,19.49089351,-99.19429794
OXXO SUC 50AKT ACUEDUCTO MEX,19.29709128,-99.15177651
OXXO SUC 50AMQ AMORES MEX,19.40114364,-99.16227778
OXXO SUC 50APA ISOLA MEX,19.35665082,-99.28373622
OXXO SUC 50APB ETIOPIA MEX,19.39379845,-99.15601872
OXXO SUC 50APD RADIATAS MEX,19.387586,-99.25332114
OXXO SUC 50APE MUSEO MEX,19.3240457,-99.13933784
OXXO SUC 50APF SOLARES MEX,19.26642605,-99.00185091
OXXO SUC 50APG NEGRETE MEX,19.38634808,-99.14655634
OXXO SUC 50APU CATARROJA MEX,19.32521841,-99.07054412
OXXO SUC 50AQJ APOLONIA MEX,19.47892518,-99.18895315
OXXO SUC 50ARK MARAKA MEX,19.38442691,-99.1506268
OXXO SUC 50ARY PLAZA ARENAL MEX,19.28030157,-99.1379116
OXXO SUC 50ATM AMSTERDAM MEX,19.40977548,-99.1691566
OXXO SUC 50AUQ AREQUIPA MEX,19.48882395,-99.12440394
OXXO SUC 50AWA REGINA MEX,19.42749617,-99.13511343
OXXO SUC 50AYR TRANSITO MEX,19.41798015,-99.13623718
OXXO SUC 50AZA MORAZAN MEX,19.47048923,-99.06622366
OXXO SUC 50B31 LAGO CHIEM MEX,19.4511191,-99.19044793
OXXO SUC 50B5T LEGUMBRES MEX,19.3736838,-99.09475649
OXXO SUC 50B6H NAUTLA MEX,19.33500427,-99.08164974
OXXO SUC 50B8Q PUEBLO ALTO MEX,19.30556662,-99.25046988
OXXO SUC 50B9C G DUBLAN MEX,19.40136742,-99.19202749
OXXO SUC 50BAU BALBUENA MEX,19.41769128,-99.1023452
OXXO SUC 50BB0 LUIS PRECIADO MEX,19.4279304,-99.10506091
OXXO SUC 50BB8 JALALPA MEX,19.37810938,-99.23127274
OXXO SUC 50BC2 FERROCARRIL IND MEX,19.43218319,-99.09352279
OXXO SUC 50BCA NUEVA VALLEJO MEX,19.49426082,-99.15365611
OXXO SUC 50BDH SOR JUANA II MEX,19.44519486,-99.15857373
OXXO SUC 50BDL AV 506 MEX,19.45588896,-99.08931573
OXXO SUC 50BDM HERMOSILLO MEX,19.43741553,-99.15648914
OXXO SUC 50BED MARIANO ESCOBEDO MEX,19.435652,-99.18296136
OXXO SUC 50BEM SANTA ISABEL MEX,19.49885664,-99.11789777
OXXO SUC 50BGS BEGONIAS MEX,19.46388045,-99.16997078
OXXO SUC 50BGW BELGICA MEX,19.36887527,-99.14530396
OXXO SUC 50BHA VIOLETA MEX,19.31220608,-99.24418688
OXXO SUC 50BHK BULGARIA MEX,19.37124237,-99.1515408
OXXO SUC 50BHN TORRE GINZA MEX,19.33918397,-99.19034718
OXXO SUC 50BIE AMATISTA MEX,19.47796322,-99.11875931
OXXO SUC 50BIM BISMARK MEX,19.39693574,-99.13624932
OXXO SUC 50BIO MONTE SAUCES MEX,19.36026669,-99.293496
OXXO SUC 50BJI BAJIO MEX,19.40274569,-99.16860503
OXXO SUC 50BKP BONAMPAK MEX,19.38399194,-99.14547621
OXXO SUC 50BOV BOLIVAR MEX,19.43343629,-99.13828805
OXXO SUC 50BPA CONSTANTINO MEX,19.46356119,-99.13054374
OXXO SUC 50BPD 3 ESTRELLAS MEX,19.46935522,-99.11003542
OXXO SUC 50BQ6 PEGASO MEX,19.35806905,-99.12699919
OXXO SUC 50BR4 NUEVA YORK MEX,19.3934115,-99.17804893
OXXO SUC 50BRR BOHEMIO MEX,19.46457418,-99.1139397
OXXO SUC 50BRW BOTURINI MEX,19.41686369,-99.11724143
OXXO SUC 50BSO BASILISIO MEX,19.47382579,-99.13379975
OXXO SUC 50BV8 CONDE MEX,19.37289398,-99.20892089
OXXO SUC 50BVF GUERRERO NORTE MEX,19.45000206,-99.14654724
OXXO SUC 50BWF SABINO MEX,19.29505863,-99.17489272
OXXO SUC 50BWP SAN FELIPE MEX,19.49179514,-99.07385928
OXXO SUC 50BXN BARCELONA MEX,19.42754615,-99.15328126
OXXO SUC 50BYI CORDILLERA MEX,19.52708164,-99.15540827
OXXO SUC 50C4Z QUAD SANTA FE MEX,19.35930711,-99.28215472
OXXO SUC 50C72 AYALA MEX,19.35159391,-99.03309692
OXXO SUC 50CAN PLAZA ABASTO MEX,19.38011896,-99.08759632
OXXO SUC 50CBH CHABACANO MEX,19.41017085,-99.13522329
OXXO SUC 50CBX COBAN MEX,19.48796691,-99.14059265
OXXO SUC 50CCX BELLAVISTA MEX,19.33008726,-99.07508728
OXXO SUC 50CCY CINCO DE MAYO MEX,19.35554495,-99.17424808
OXXO SUC 50CEH COPENHAGUE MEX,19.42812954,-99.16416979
OXXO SUC 50CEX ANTONIO DE LEON MEX,19.38535657,-99.05252167
OXXO SUC 50CGD CORREGIDORA MEX,19.2882936,-99.18460311
OXXO SUC 50CGI CUAJIMALPA MEX,19.36550604,-99.28734751
