Establecimiento,Lat,Lon
ESCUELA PRIMARIA GENERAL SANTOS DE GOLLADO,19.33088689,-99.32622436
ESCUELA PRIMARÍA FRANCISCO I MADERO TURNO VESPERTINO,19.21837476,-99.20563637
ESCUELA PRIMARIA LEYES DE REFORMA DEL 57,19.2259632,-99.20094017
ESCUELA PRIMARIA NIÑOS HEROES TURNO MATUTINO  311358-30600-X-015,19.34522028,-99.31282611
ESCUELA PRIMARIA PROFESOR VICTOR MANUEL MANZANO DELGADO CCT 09DPR2675M,19.27722573,-99.23527731
ESCUELA PRIMARIA CORONEL NICOLAS ROMERO,19.30695718,-99.25311196
ESCUELA SECUNDARIA 166 ALFONSO REYES TURNO MATUTINO,19.31242261,-99.25800649
ESCUELA PRIMARIA MAURITANIA TURNO MATUTINO,19.196596,-99.14199653
ESCUELA PRIMARIA SALVADOR TREJO ESCOBEDO,19.20114132,-99.14183211
ESCUELA SECUNDARIA DOLORES ANGELA CASTILLO,19.35707123,-99.2971679
ESCUELA PRIMARIA MAESTROS DE MEXICO TURNO MATUTINO,19.3424303,-99.28236386
ESCUELA SECUNDARIA FEDERAL 337 TURNO MATUTINO,19.3428337,-99.28262562
PRIMARIA CALPILLI,19.36041483,-99.29705454
ESCUELA DR ROBERTO SOLIS QUIROGA CCT 09DPR3093O 51248251133X023,19.29318328,-99.227591
ESCUELA PRIMARIA PROFESORA CONCEPCIÓN PATIÑO TURNO MATUTINO CCT09DPR2297B,19.29550439,-99.22337495
BENISARIO DOMINGUES TURNO MATUTINO,19.36508176,-99.29188568
ESCUELA PRIMARIA LAZARO PAVIA 09DPR42160 TURNO MATUTINO,19.29834433,-99.22309545
ESCUELA PRIMARIA REPUBLICA DE LA INDIA,19.19843456,-99.12219036
ESCUELA MAESTROS MEXICANOS CCT 09DBS0022W TURNO NOCTURNO,19.30975555,-99.23048988
ESCUELA PRIMARÍA CARLOS MARÍA BUSTAMANTE,19.37299837,-99.28817312
ESCUELA PRIMARIA AMANDA PALAFOX Y BAZ,19.26952987,-99.17678435
ESCUELA PRIMARIA PROFESOR RAFAEL CRUZ MANJARREZ TURNO MATUTINO,19.26657376,-99.16837324
ESCUELA PRIMARIA MARTINA ISLAS TURNO VESPERTINO,19.26592104,-99.16762612
ESCUELA PRIMARIA JOSE MARIA TAPIA FREYDING TURNO MATUTINO,19.35714218,-99.25452637
PRIMARIA ISAAC OCHOTERENA TURNO MATUTINO,19.27361215,-99.16696753
ESCUELA PRIMARIA RAMON RAMIREZ CASTAÑEDA,19.28852761,-99.18098505
ESCUELA PRIMARIA GREGORIO TORRES QUINTERO TURNO MATUTINO,19.21882792,-99.09800583
ESCUELA PRIMARIA PRIMERO DE MAYO JORNADA AMPLIADA,19.29291077,-99.1720138
ESCUELA PRIMARIA JOHN F KENNEDY TURNO MATUTINO,19.32504484,-99.2040411
ESCUELA PRIMARIA VIDAL ALCOCER TURNO MATUTINO,19.28780934,-99.16505438
PROFESOR ANTONIO S LOPEZ,19.35777625,-99.23480956
SECUNDARIA 332 PARA TRABAJADORES,19.33621066,-99.20385235
ESCUELA SECUNDARIA DIURNA 232 VASCO DE QUIROGA,19.38275574,-99.23679569
ESCUELA PRIMARIA MARGARITA MAGON DE FLORES,19.244902,-99.09730855
ESCUELA PRIMARIA ESTADO DE SAN LUIS POTOSÍ TURNO VESPERTINO,19.29809121,-99.15014852
ESCUELA JUAN A MATEOS TURNO MATUTINO,19.37128795,-99.21908203
ESCUELA PRIMARIA ESTADO DE AGUASCALIENTES MATUTINO,19.3844487,-99.22941119
ESCUELA PRIMARI MARIA CARRARO VIUDA DE AMBROSSI0,19.38412103,-99.22874105
ESCUELA PRIMARIA FERNANDO CELADA TURNOP MATUTINO,19.26510468,-99.10153871
ESCUELA SECUNDARIA GENERAL 36 CUAUHTEMOC TURNO MATUTINO,19.26629134,-99.10258387
ESCUELA SECUNDARIA RAMON DOMINGUEZ RAMON,19.36520381,-99.19890752
ESCUELA PRIMARIA DOCTOR SAMUEL RAMOS,19.37459446,-99.1987024
ESCUELA PRIMARI MARIA GUADALUPE DE GARCIA RTM,19.38749216,-99.21075045
