Establecimiento,Lat,Lon
ACADEMIA DE POLITICA DIGITAL,19.06084466,-98.2505736
"ADQUISICIONES, DEPARTAMENTO LEGAL EFECTIVIDAD",19.04781308,-98.21700708
ALTERNATIVAS Y SOLUCIONES  INTEGRALES,19.01496644,-98.26384262
APUESTA DEL FUTURO,19.0470159,-98.21350847
ASMEDIA CENTRO DE FORMACI�N PROFESIONAL AC,19.04779213,-98.21119229
BACHILLERATO SUR,19.00789244,-98.22538924
BELLAS ARTES,19.04809432,-98.21562312
BENEMERITA AUTONOMA DE PUEBLA FACULTAD DE CONTADURIA,18.99957613,-98.20452515
BENEMERITA UNIOVERSIDAD AUTONOMA DE PUEBLA CAROLINO,19.04244679,-98.19572935
BENEMERITO INSTITUTO NORMAL DEL ESTADO,19.06746748,-98.22455287
CALMECAC,19.01791846,-98.21559878
CAMPUS CENTRAL,19.04799262,-98.21602349
CASA DE LA REYNA,19.0478404,-98.20543246
CASA DE LAS CULTURAS CONTEMPORANEAS,19.04772623,-98.19466292
CENTRO DE CIENCIAS SOCIALES Y HUMANIDADES,19.04537646,-98.17022041
CENTRO DE ESTUDIOS  EN  DESARROLLO  EMPRESARIAL,19.0896335,-98.27256089
CENTRO DE ESTUDIOS DE NUEVAS TECNOLOGIAS JC,19.06337404,-98.22053068
CENTRO DE ESTUDIOS DE POSGRADO,19.02761247,-98.20645859
CENTRO DE ESTUDIOS INTENSIVOS UNIVERSIDAD CEI,19.06118508,-98.30755966
CENTRO DE ESTUDIOS JAVE,19.02752789,-98.21890238
CENTRO DE ESTUDIOS LAS AMERICAS,19.04513188,-98.16914842
CENTRO DE ESTUDIOS SUPERIORES DE AMERICA LATINA,19.03158752,-98.20718121
CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS JUR�DICAS Y CRIMINOL�GICAS,19.04940139,-98.21220562
CENTRO DE ESTUDIOS UNIVERSITARIOS BENITO JUAREZ GARCIA,19.0455975,-98.16750385
CENTRO DE ESTUDIOS UNIVERSITARIOS BENITO JU�REZ GARC�A,19.04498204,-98.16727593
CENTRO DE ESTUDIOS UNIVERSITARIOS BENITO JU�REZ GARC�A BIBLIOTECA,19.04440008,-98.16967888
CENTRO DE ESTUDIOS UNIVERSITARIOS BENITO JU�REZ GARC�A EDIFICIO COMUNICACI�N,19.0434993,-98.16911628
CENTRO DE ESTUDIOS UNIVERSITARIOS BENITO JU�REZ GARC�A LABORATORIO GASTRONOMICO,19.04082098,-98.18967149
CENTRO DE FISIOTERAPIA,19.04258879,-98.17163516
CENTRO DE INNOVACION TECNOLOGICA  CESAT,19.04646063,-98.21599924
"CENTRO DE INVESTIGACION Y ESTUDIOS SUPERIORES EN ESTOMATOLOGIA Y SALUD, SC",19.04476089,-98.16251491
CENTRO DE PSICOTERAPIA COGNITIVA,19.02991692,-98.19603447
CENTRO DE SALUD INTEGRAL UPAEP,19.04999632,-98.21746034
CENTRO DE SERVICIOS UNIVERSITARIOS INTEGRADOS SUI,19.04763822,-98.216661
CENTRO DE TECNOLOGIA EDUCATIVA CASA ROSA,19.04657974,-98.21238992
CENTRO DE VINCULACION,19.04860303,-98.2183388
CENTRO EDUCATIVO PRESENCIAL,19.01502582,-98.21132886
CENTRO INTEGRAL DE ESTUDIOS SUPERIORES CIES,19.03379104,-98.20132438
CENTRO INTERNACIONAL DE PROPECTIVA Y ALTOS ESTUDIOS,19.04647199,-98.20468815
CENTRO MEXICANO EN ESTOMATOLOG�A,19.03076055,-98.21136786
CENTRO UNIVERSITARIO DE COMPUTO CUC,19.04758231,-98.21655035
CENTRO UNIVERSITARIO DE ESPECIALIDADES ALTERNATIVAS,19.05155004,-98.24887448
CENTRO UNIVERSITARIO EN MECANICA AUTOMOTRIZ DE PUEBLA,19.04811828,-98.22798508
CENTRO UNIVERSITARIO HARVARD,19.04630418,-98.23333797
CENTRO UNIVERSITARIO HARVARD,19.04779988,-98.20535093
CENTRO UNIVERSITARIO INTERAMERICANO  GOLFO CENTRO,19.04346751,-98.21000212
CESES,19.03335239,-98.1997436
CESES,19.04570414,-98.16758015
CESTEM CENTRO DE ESTUDIOS SUPERIORES TERCER MILENIO,19.03468237,-98.2003798
CIEUD,19.0261676,-98.19741917
CINEARTE,19.06059514,-98.17820997
CINEMA,19.00810869,-98.21230302
CIRCULO DE ESTUDIO IEE,19.03467123,-98.13749483
CLEU,19.02808584,-98.21415402
CLEU,19.0330296,-98.26485568
CLEU,19.03622254,-98.22378683
CLEU,19.02814106,-98.19468795
CLINICA CME UNIVERSIDAD,19.03028068,-98.21045696
CMUCH CENTRO MEXICANO UNIVERSITARIO DE CIENSAS HUMANIDADES,18.97607531,-98.20587828
COLEGIO DE CONTADORES PUBLICOS DEL ESTADO DEL PUEBLA,19.052539,-98.22050674
COLEGIO DE ETNOCOREOLOGIA,19.01880784,-98.23433887
COLEGIO DE HISTORIA BUAP,19.04315029,-98.19620678
COLEGIO DE LITERATURA Y LINGUISTICA,19.04244397,-98.19649317
COLEGIO DE MUSICA,19.01881864,-98.23436221
COLEGIO DE POSTGRADUADOS CAMPUS PUEBLA,19.07501237,-98.26100731
COLEGIO INSTITUTO NORMAL QUEVEDO,19.0462413,-98.23465172
COLEGIO INSTITUTO UNIVERSITARIO,19.04794674,-98.23641954
COLEGIO MINIMALISTA DE CIENCIAS PENALES SC,19.04469548,-98.20230463
COLEGIO NACIONAL DE PERITOS,19.01285386,-98.19877763
COLEGIO RESIDENCIAL JOS� GAOS,19.05186118,-98.28512749
COMPLEJO AZTLAN,19.01763448,-98.21842972
COMPLEJO CULTURAL UNIVERSITARIO DE LA BUAP,19.02146093,-98.24390528
COMPLEJO DE GASTRONOMIA UVP,19.02014681,-98.21441601
COMPLEJO TLALOC,19.01764848,-98.21583341
CONTABILIAD GENERAL DE LA BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,19.04591434,-98.21091717
CONTRALORIA BUAP,19.04573339,-98.21096161
