Establecimiento,Lat,Lon
ALIAT UNIVERSIDADES,32.46309296,-116.8684673
ATENEO DE CIENCIAS UNIVERSITARIAS Y ARTE,32.52733563,-117.0299079
CAYS,32.52103553,-117.0209421
"CENTRO DE EDUCACION CONTINUA (CEC), UNIDAD TIJUANA",32.53236485,-116.9697124
CENTRO DE EDUCACION MAR DE CORTEZ,32.50140816,-116.9986202
CENTRO DE ENSEÑANZA E INVESTIGACION SUPERIOR DE TIJUANA,32.4861069,-116.8658448
CENTRO DE ENSEÑANZA TECNICA Y SUPERIOR,32.50553625,-116.9250792
CENTRO DE ESTUDIOS CINEMATOGRAFICOS,32.53095159,-117.0430472
CENTRO DE ESTUDIOS FIBONACCI,32.51436227,-116.8756517
CENTRO DE ESTUDIOS SUPERIORES DE BC SC ORIENTE,32.50047868,-116.9475641
CENTRO DE ESTUDIOS SUPERIORES DE MUSICA DE BC,32.48417449,-116.9256824
CENTRO DE INVESTIGACION Y DESARROLLO EN TECNOLOGIA DIGITAL (CITEDI),32.53700139,-116.9437523
CENTRO DE POSGRADO Y ESTUDIOS SOR JUANA,32.50590216,-116.9850827
CENTRO TECNOLOGICO DEL NOROESTE,32.49381119,-116.9606225
CENTRO UNIVERSITARIO DE BAJA CALIFORNIA,32.50827109,-116.9723141
CENYCA,32.50864659,-116.9843147
CESUN UNIVERSIDAD,32.49920577,-116.9303309
CESUN UNIVERSIDAD TURNO NOCTURNO,32.44389412,-117.0254903
CIDH UNIVERSIDAD,32.52732045,-117.1194559
COLEF Presidencia,32.45666464,-117.1119722
COLEGIO SUPERIOR DE CIENCIAS JURIDICAS,32.50170824,-116.93559
CULINARY ART SCHOOL,32.4804423,-116.9267472
CUT ESCUELA PRIVADA,32.50092974,-116.9472717
CUT UNIVERSIDAD DE TIJUANA,32.5331337,-117.0523818
EDUCACION SUPERIOR DEL PACIFICO,32.53687842,-117.0247101
ESCOMEX,32.54640007,-116.9490215
ESCUELA DE ENFERMERIA DE LA CRUZ ROJA,32.52494269,-117.0282704
ESCUELA DE ENFERMERIA DEL IMSS,32.52249193,-117.1200625
ESCUELA LIBRE DE ARQUITECTURA,32.53818847,-117.0366852
ESCUELA NORMAL FRONTERIZA TIJUANA,32.4809835,-116.9283981
FESTEN GASTRONOMICO,32.51987876,-117.0067875
GDIA DENTAL,32.53206209,-117.0440453
IBERO UNIVERSIDAD,32.51515362,-117.1039349
IDAP TIJUANA,32.52687183,-117.036913
INIDE INSTITUTO INTERNACIONAL PARA EL DESARROLLO EMPRESARIAL,32.51739803,-116.9774324
INODET,32.54513613,-116.9463209
INSTISUTO TECNOLOGICO DE TIJUANA,32.53691506,-116.9287247
INSTITUTO DE ESTUDIOS ESPECIALIZADOS AC,32.53118695,-117.0294338
INSTITUTO DE ESTUDIOS UNIVERSITARIOS,32.52250483,-117.0154349
INSTITUTO DE GASTRONOMIA DE BAJA CALIFORNIA,32.50943769,-117.1188902
INSTITUTO DE IRIDOLOGIA,32.49601253,-116.9617484
INSTITUTO EDUCATIVO JOSE VASCONCELOS DE TIJUANA,32.51520197,-116.8577838
INSTITUTO SUPERIOR DE GASTRONOMIA Y NUTRICION,32.52402405,-117.0307263
INSTITUTO TECNOLÓGICO DE TIJUANA,32.52886286,-116.9869916
INSTITUTO TECNOLOGOCO NACIONAL DE MEXICO CAMPUS TOMAS AQUINO,32.52879564,-116.9878324
INSTITUTO UNIVERSITARIO DE ENSENADA,32.53386684,-117.0432842
INSTITUTO VILLA RICA,32.51751741,-116.9236933
LICEO UNIVERSIDAD DE LAS CALIFORNIAS,32.50230922,-116.8896336
TRADE AND LAW COLLEGE,32.52402295,-117.0197028
UCEM TIJUANA,32.53862997,-117.0389116
UDCI,32.50921906,-116.9733279
UNEA,32.51433765,-116.9596967
UNEA CAMPUS TIJUANA,32.51527881,-116.9990934
UNEA CAMPUS TIJUANA FLORIDO,32.46309421,-116.868464
UNIDAD DE EDUCACION ESPECIALISADA DE LA UNIVERSIDAD IBEROAMERICANA DE CDMX TIJUANA,32.48895929,-116.9312988
UNIDAD DE TEGNOLOGIA EDUCATIVA TIJUANA,32.50883833,-116.9882138
UNIDEP,32.50171204,-116.9200044
UNIPAC,32.50983741,-116.9769941
UNIPAC CENTRO DE ESTUDIOS SUPERIORES,32.52669088,-117.022761
UNIVERCIDAD DE DURANGO,32.51481522,-116.9988256
UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,32.53004805,-116.9662644
UNIVERSIDAD AUTONOMA DE DURANGO CAMPUS TIJUANA,32.52483146,-117.014562
UNIVERSIDAD DE LAS CALIFORNIAS,32.52684564,-117.1116468
UNIVERSIDAD DE PEDAGÓGICA NACIONAL,32.52662881,-116.9487598
UNIVERSIDAD ESTATAL DE ESTUDIOS PEDAGOGICOS SD TIJUANA,32.51646503,-117.0358144
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO CAMPUS TIJUANA,32.52945762,-116.9577187
UNIVERSIDAD METROPOLITANA DE AGUA CALIENTE SC,32.51989991,-117.0012277
UNIVERSIDAD METROPOLITANA DE TIJUANA,32.47051248,-116.8439972
UNIVERSIDAD SAMAN DE JALISCO,32.53703314,-117.0168361
UNIVERSIDAD TECNOLOGICA DE BAJA CALIFORNIA,32.47959408,-116.9230385
UNIVERSIDAD TECNOLOGICA DE TIJUANA,32.46061159,-116.8242244
UNIVERSIDAD VIZCAYA,32.51342918,-117.0082894
