Punto,Lat,Lon
ACEROS SANITARIOS E INOXIDABLES DE TOLUCA,19.27886208,-99.56727813
"ACEROS Y MATERIALES SAN CARLOS, S. DE R.L. DE C.V.",19.25639696,-99.68130993
ANCLAJES Y FERRETERIA CARRANZA,19.26994466,-99.65882968
ARTÍCULOS DE ACERO INOXIDABLE,19.27727126,-99.64089334
ARTICULOS DE FERRETERIAPLOMERIA Y SOLDADURA SIN NOMBRE,19.293336,-99.51606333
ARTICULOS DE PLOMERIA CASA VALDEZ,19.2642511,-99.6341332
AUTOGENA LAS TORRES,19.27083624,-99.63828547
AVE FENIX FERRETEROS SA DE CV,19.33673267,-99.60635389
AZULEMEX,19.28844883,-99.68837954
AZULEMEX,19.2879292,-99.64173392
AZULEMEX  29,19.27870842,-99.59433474
BARNICES Y ACABADOS QUIMICA ONTARIO,19.26388964,-99.51294581
BIRLOS TORNILLOS Y TUERCAS,19.27788518,-99.6157169
BODEGA COMERCIALIZADORA ROSET,19.30145343,-99.62346964
BODEGA DE ACEROS Y MATERIALES EL SEMINARIO,19.26777821,-99.67304751
BODEGA DE CALENTADORES SOLARES,19.33222146,-99.47211626
BODEGA DE FERRETERIA MEXICO TOLUCA,19.27572937,-99.64206447
BODEGA DE MATERIALES,19.27304139,-99.735575
BODEGA DEL GRUPO FERRETERO MARVIL,19.27250793,-99.67712298
BODEGA ELECTROFERRETERA,19.31647262,-99.60309558
BODEGA ELECTROFERRETERA,19.31690574,-99.60304836
BOMBAS IZQUIERDO,19.28832827,-99.64931303
CADENA 24,19.29116313,-99.6160139
CALENTADORES SOLARES,19.2951832,-99.66448293
"CALENTADORES SOLARES BICENTENARIO, SA DE CV",19.32599846,-99.65840251
CALENTADORES SOLARES BICETENARIO,19.30574399,-99.64804739
CALENTADORES SOLARES E PLOMERIA Y GAS ENGENERAL,19.2653661,-99.51179632
CALENTADORES SOLARES MASTER FLOWS,19.28870562,-99.69089296
CALENTADORES SOLARES SIN NOMBRE,19.22538913,-99.63186568
CALENTADORES SOLORES ONLY SUN,19.29362836,-99.72244107
CASA CRAVIOTO,19.30402098,-99.63777463
CASA CRAVIOTO,19.27638737,-99.64176825
CASA DE MATERIALEES CONSTRUFERRE,19.29458723,-99.51430934
CASA DE MATERIALES,19.37612575,-99.62582813
CASA DE MATERIALES CARBAJAL,19.27418414,-99.77379308
CASA DE MATERIALES GARCIA,19.37189567,-99.6174147
CASA DE MATERIALES PARA CONSTRUCCION,19.21884193,-99.65967373
CASA DE MATERIALES PARA CONSTRUCCIÓN,19.28375101,-99.74986927
CASA DE MATERIALES PARA CONSTRUCCIÓN LAS TORRES,19.39538384,-99.62200243
CASA DOTTOR,19.29216855,-99.64967111
CASA FERRETERA DE TOLUCA,19.31392081,-99.64132505
CASA GIBXI FERRETERIA,19.26858809,-99.57656518
CASA GOMORA,19.3013136,-99.64426972
CASA IKEDA TOLUCA,19.28199663,-99.64913358
CASA MAYA FERRETERIA,19.27107526,-99.67042806
CASA VALDEZ,19.29550623,-99.65296559
CASA VALDEZ BODEGA,19.29550623,-99.65296559
CASA VALDEZ BODEGA FERRETERIA,19.29550623,-99.65296559
CASA VALDEZ BODEGA FERRETERIA,19.29550623,-99.65296559
CASA VAZQUEZ,19.03722179,-99.57683649
CEMESA,19.27418796,-99.65375711
CENTRAL DE ACESORES Y MATERIALES,19.27743587,-99.6538597
CERCAS MA-CRO,19.32595708,-99.65665433
CERRADURAS Y HERRAJES ARIZMENDI,19.28257079,-99.64930999
CETSA FERRETERÍA,19.29002844,-99.65441051
CHIKY,19.24725965,-99.60128794
COMERCIAL ELÉCTRICO LOS CAPULINES,19.28778341,-99.68489689
COMERCIAL FERRETERA EL CERRILLO,19.31967598,-99.54707394
COMERCIAL FERRETERA LERMA,19.28769638,-99.51162408
COMERCIAL QUIZAR,19.29550623,-99.65296559
COMERCIALAZADORA CUADROS,19.32733072,-99.4737494
COMERCIALIZADORA ALDI,19.28076277,-99.66782527
COMERCIALIZADORA ATARASQUILLO,19.32807165,-99.47580392
COMERCIALIZADORA DE SOLDADURAS Y HERRAMIENTAS TECNICAS,19.28576286,-99.64045624
COMERCIALIZADORA DIZOMORI,19.31463484,-99.57157918
COMERCIALIZADORA FERRETERA AGUILAR,19.30046313,-99.6278014
COMERCIALIZADORA GAB,19.27950533,-99.64383032
COMERCIALIZADORA NAVJAM SA DE CV,19.2663214,-99.63692718
COMERCIALIZADORA ROSET,19.30209864,-99.62505114
COMERCIALIZADORA SOLIS,19.11177778,-99.53592586
COMERCIALIZADORA TORNINORTE,19.27777267,-99.56430254
COMERCIALIZADORA TRIMAR,19.27772403,-99.59740024
COMERCIO AL POR MENOR EN FERRETERÍAS Y TLAPALERÍAS,19.28674594,-99.59231737
CONSTRUFERRE CASA TORRES,19.11212597,-99.53317901
CONSTRUFERRE DON POLY,19.23068391,-99.58990928
CONSTRUFORMAS Y SEÑALIZACIONES,19.2701606,-99.62911192
CONSTRUPLAZA PLUS DE METEPEC,19.26545657,-99.55603038
CONSTRURAMA,19.30072024,-99.72543424
CONSTRURAMA ESTRELLA,19.35366928,-99.65325278
CONSTRURAMA MAGASA,19.366752,-99.49234725
COSTRURAMA,19.37365634,-99.6416736
DELECTRIC SA DE CV,19.28830124,-99.54542407
DEWALT CENTER,19.29938334,-99.62815887
DINO ELECTRI,19.25857184,-99.6625631
DISA MATERIALES Y FERRETERÍA,19.30750116,-99.60798674
DISENSA TECNOLOGICO,19.28521902,-99.57383985
DISMEFER FERRETERIA,19.28661103,-99.72403516
DISTRIBUIDAORA SAN PABLO,19.36975809,-99.65893997
DISTRIBUIDOR DE PVC DE TOLUCA,19.28433865,-99.64333816
DISTRIBUIDORA & PROMOTORA DE ARTICULOS PARA LA CONSTRUCCION,19.34116396,-99.58177579
DISTRIBUIDORA ALARCON,19.29741397,-99.62688882
DISTRIBUIDORA DE MANGUERAS MAYCO MANGUERAS,19.26759523,-99.73993996
DISTRIBUIDORA DE PLOMERÍA,19.28476741,-99.6179848
DISTRIBUIDORA DE PLOMERIA,19.2885363,-99.6925372
DISTRIBUIDORA DE PVC DE TOLUCA,19.28426628,-99.64312422
DISTRIBUIDORA DE PVC DE TOLUCA,19.28434005,-99.6429631
DISTRIBUIDORA DE PVC DE TOLUCA,19.27785681,-99.62949662
DISTRIBUIDORA DE TORNILLOS,19.10128455,-99.58729829
DISTRIBUIDORA DE TORNILLOS BIRLOS Y HERRAMIENTAS,19.30085816,-99.7257782
DISTRIBUIDORA DE TORNILLOS BIRLOS Y HERRAMIENTAS,19.29369253,-99.72463828
DISTRIBUIDORA DE TORNILLOS BIRLOS Y HERRAMIENTAS,19.28692013,-99.61015463
DISTRIBUIDORA DE TORNILLOS BIRLOS Y HERRAMIENTAS SIN NOMBRE,19.28806216,-99.6841537
