Establecimiento,Lat,Lon
ALIANZA GASTRONOMICA ACADEMIA PROFESIONAL DE COCINA INTERNACIONAL,19.16502816,-96.10867725
ASPIDPRO,19.18073223,-96.12571589
CENTRO DE ESTUDIOS AMPARO DEL CASTILLO,19.19257917,-96.1347762
CENTRO DE ESTUDIOS TECNICOS Y SUPERIORES BAUHAUS,19.18511518,-96.13527077
CENTRO DE ESTUDIOS TECNOLOGICOS Y UNIVERSITARIOS DEL GOLFO,19.18601402,-96.12966468
CENTRO DE ESTUDIOS VERACRUZ,19.13536072,-96.11548212
CENTRO INFORMATIVO FREYNET,19.18894351,-96.13355498
CENTRO UNIVERSITARIO COLEGIO LAS AMERICAS,19.17538893,-96.13249578
CENTRO UNIVERSITARIO DE GUANAJUATO,19.16939593,-96.2266875
CENTRO UNIVERSITARIO HISPANO MEXICANO,19.17340212,-96.12180477
CENTRO UNIVERSITARIO Y TECNOLOGICO DEL SUR,19.19708562,-96.13901056
CESUVER POSGRADOS,19.18607003,-96.12530636
CESUVER UNIVERSIDAD,19.1954015,-96.13204438
CLEU,19.1690444,-96.12680648
CLEV UNIVERSIDAD,19.157802,-96.11064619
COLEGIO DE MARINOS MERCANTES DE VERACRUZ,19.20145702,-96.13390027
COLEGIO DE POSGRADO EN DESARROLLO HUMANO Y LOGOTERAPIA LISIEUX SC,19.17180694,-96.13148017
DEGETI,19.19503829,-96.1369741
ESCUELA DE DERECHO DE VERACRUZ,19.19808185,-96.14422283
ESCUELA DE MEXICO ALAS DORADAS,19.14935055,-96.15650024
ESCUELA NORMAL SUPERIOR FEDERAL PARA CURSOS INTENSIVOS EN VERACRUZ 30DNL0001Y,19.16174864,-96.10960829
ESCUELA QUIRON UNIVERSIDAD,19.19184348,-96.13291075
ESCUELA SUPERIOR DE COMERCIO INTERNACIONAL,19.18745695,-96.12762562
ESCUELAS DE EDUCACIÓN SUPERIOR DEL SECTOR PÚBLICO,19.16003188,-96.10587213
FACULTAD DE ADMINISTRACION,19.16950419,-96.14216912
FACULTAD DE BIOANALISIS,19.18650447,-96.13148513
FACULTAD DE CIENCIAS QUIMICAS,19.16627516,-96.11358438
FACULTAD DE CIENCIAS Y TECNICAS DE LA COMUNICACION,19.15984013,-96.10958074
FACULTAD DE EDUCACION FISICA,19.1627801,-96.11435152
FACULTAD DE ENFERMERIA DE LA UNIVERSIDAD VERACRUZANA,19.18375585,-96.13240711
FACULTAD DE INGENIERIA DE LA CONSTRUCCION Y EL HABITAT,19.16631756,-96.11367055
FACULTAD DE INGENIERIA ELECTRICA Y ELECTRONICA DE LA UNIVERSIDAD VERACRUZANA,19.16647035,-96.11398099
FACULTAD DE INGENIERIA MECANICA Y CIENCIAS NAVALES,19.16622909,-96.11349098
FACULTAD DE MEDICINA,19.18652415,-96.13134874
FACULTAD DE MEDICINA VETERINARIA Y ZO0TECNIA,19.196614,-96.15619835
FACULTAD DE NUTRICION,19.18647704,-96.13167524
FACULTAD DE PEDAGOGIA UNIVERSIDAD VERACRUZANA,19.16078073,-96.11318609
FACULTAD DE PSICOLOGIA DE LA UNIVERSIDAD VERACRUZANA,19.18423806,-96.13230378
GESTALT CENTRO DE ESTUDIOS,19.18011203,-96.13318804
HEROICA ESCUELA NAVAL MILITAR,19.05993443,-95.98350866
HIPONA CENTRO DE ESTUDIOS,19.18546137,-96.12565261
INEMEX,19.1257655,-96.12669244
INSTITUTO DE ALTA COCINA Y REPOSTERIA,19.16183961,-96.12450159
INSTITUTO DE ESTUDIOS UNIVERSITARIOS SC PLANTEL VERACRUZ,19.17595058,-96.12130323
INSTITUTO DE INGENIERIA,19.15970408,-96.1116979
INSTITUTO DE MEDICINA FORENCE DE LA INIVERSIDAD VERACRUZANA,19.16005624,-96.11383855
"INSTITUTO LEONARDO BRAVO, A.C.",19.16624702,-96.11776708
INSTITUTO TECNOLOGICO DE VERACRUZ,19.20082808,-96.15925809
INSTITUTO TECNOLOGICO SUPERIOR DE ALVARADO CAMPUS MEDELLIN,19.09968622,-96.15797709
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY CAMUS PUERTO VERACRUZ,19.1729902,-96.12176981
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES EN CIENCIA DE LA SALUD  ITESCS,19.1928307,-96.13437564
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES RENE DESCARTES,19.19184532,-96.12913147
INSTITUTODE CIENCIAS MARINAS Y PESQUERIAS Y POS GRADOS,19.16311189,-96.11337349
ITAG,19.18412401,-96.13365811
OFICINA DE INEMEX,19.12643071,-96.1264297
OFICINA DE PENTATHLON DEPORTIVO MILITARIZADO UNIVERSITARIO A.C.,19.2095223,-96.15699399
OFICINAS INSTITUTO DE TRAMITACION ADUANAL DEL GOLFO,19.18317366,-96.13466976
PRIMERA ESCUELA DE TRAFICO Y TRAMITACION ADUANAL SC,19.19111013,-96.13043788
"SISTEMA DE ENSEÑANZA ABIERTO, REGION VERACRUZ U.V.",19.159857,-96.1127139
UCEM,19.19743039,-96.13862456
UGMEX VERACRUZ,19.18388835,-96.13531199
ULA CAMPUS EJECUTIVO VERACRUZ,19.15328122,-96.1073556
UNIDEP,19.1401286,-96.11002472
UNIVERCIDAD INNOVA VERACRUZ CENTRO TIC,19.20665821,-96.1510877
UNIVERCIDAD VERACRUZANA FACULTAD DE ODONTOLOGIA,19.15982108,-96.10980638
UNIVERSIDA TECNOLOGICA DE MEDELLIN,19.10059382,-96.1553946
UNIVERSIDAD ANÁHUAC,19.13540261,-96.10453526
UNIVERSIDAD ANTONIO CASO,19.17936929,-96.13257144
UNIVERSIDAD AUTONOMA DE DURANGO CAMPUS VERACRUZ,19.12529183,-96.10567011
UNIVERSIDAD CAMPUS CALASANZ,19.1242743,-96.1459269
UNIVERSIDAD CENTRO MEXICANO DE ESTOMATOLOGIA,19.20044766,-96.15442507
UNIVERSIDAD CEULVER,19.19718386,-96.13316299
UNIVERSIDAD CRISTOBAL COLON,19.15567228,-96.13082074
UNIVERSIDAD DE LAS NACIONES,19.19048667,-96.12708051
UNIVERSIDAD DE ORIENTE,19.17439397,-96.12070077
UNIVERSIDAD DE ORIENTE DE VERACRUZ,19.13237498,-96.14347844
UNIVERSIDAD DEL DESARROLLO PROFESIONAL,19.20253395,-96.14064367
UNIVERSIDAD DEL GOLFO DE MEXICO,19.16046358,-96.11947754
UNIVERSIDAD DEL GOLFO DE MEXICO,19.16068443,-96.11942898
UNIVERSIDAD DEL TERCER MILENIO,19.17083799,-96.11781249
UNIVERSIDAD DEL VALLE DE MÉXICO,19.1487382,-96.11539666
UNIVERSIDAD DEL VALLE DE MÉXICO,19.14866676,-96.11357829
UNIVERSIDAD FEMENINA DE VERACRUZ LLAVE,19.17085934,-96.11991002
UNIVERSIDAD JEAN PIAGET,19.19823701,-96.14222645
UNIVERSIDAD MEXICANA PLANTEL VERACRUZ,19.18371723,-96.13208019
UNIVERSIDAD PEDAGOGICA NACIONAL,19.19190388,-96.12733407
UNIVERSIDAD PEDAGOGICA VERACRUZANA 30ESU0046W,19.14802882,-96.13280304
UNIVERSIDAD TEC MILENIO,19.05822495,-96.06717948
UNIVERSIDAD TECNOLOGICA CFE,19.15110714,-96.13288495
UNIVERSIDAD TECNOLOGICA DE VERACRUZ,19.15410303,-96.1103183
UNIVERSIDAD VERACRUZANA CENTRO DE ESTUDIOS Y SERVICIOS EN SALUD,19.18621547,-96.1308853
UNIVERSISDAD JEAN PIAGET,19.19777168,-96.1424055
UNIVERSISDAD VERACRUZANA FACULTAD DE CONTADURIA,19.1597907,-96.11016615
VETERINARIA MEZA,19.03223437,-96.1380485
