Sitio,Lat,Lon,RADIO
8,19.304083,-99.186119,100
9,19.340821,-99.189999,100
17,19.374253,-99.178811,100
25,19.406485,-99.1685,100
29,19.419902,-99.164037,100
30,19.424106,-99.163257,100
35,19.440411,-99.15554,100
37,19.446957,-99.153029,100
45,19.40184,-99.186751,100
48,19.407659,-99.183747,100
51,19.40355,-99.169625,100
58,19.39424,-99.139992,100
96,19.467573,-99.140834,100
101,19.445733,-99.147277,100
103,19.435939,-99.147191,100
108,19.41434,-99.154645,100
110,19.406659,-99.155214,100
111,19.40103,-99.155667,100
