Punto,Lat,Lon
GYM CAFBI,19.27573699,-99.17072973
GYM FABILA,19.27954253,-99.16782015
GYM JUST FITNESS,19.27846347,-99.16371687
MAXIMOS GYM,19.27781542,-99.16758432
NIRVABA GYM,19.2751401,-99.17312488
SEIS SOCCER TLALPAN ISFAM,19.27490399,-99.16287343
SKAN FITNES,19.28026404,-99.16970324
TAURUS FITNESS CENTER,19.2802317,-99.16694519
SPORTS WORLD PATIO TLALPAN,19.28414273,-99.1757673
AMBESA FITNESS,19.29047182,-99.17886993
DELFINES GYM,19.29948388,-99.17648695
ONE FITNES LIFE GYM,19.2940946,-99.18089987
SMART FIT CUICUILCO,19.29591088,-99.18479789
GYM BODY Y SHAPE,19.28780392,-99.18495796
VIBRA HEALT,19.30456234,-99.18030848
CIRCULO SAN ANGEL,19.34604106,-99.19105475
CLUB ESPA�A AC,19.34166126,-99.1895649
PICHI GYM,19.33802846,-99.18648103
SPORTIUM SAN ANGEL,19.34531365,-99.18810612
SPORTS WORLD REVOLUCI�N,19.34180996,-99.19103969
TELLOS GYM GALLEGOS,19.33968021,-99.19735765
TERRANOVA CONTRY CLUB SA DE CV,19.33824349,-99.18876138
ENERGY FITNESS,19.35250537,-99.18569505
ENERGY FITNESS ALTAVISTA,19.35200098,-99.18585228
FIT FACTOR,19.35186002,-99.1861973
FIT FACTORY,19.35186002,-99.18619731
GIMNASIO ZONA FITNESS COYOACAN,19.34232222,-99.18171849
GO FITNESS ALTAVISTA,19.34885549,-99.19073809
GYM ZONA FITNESS,19.34949806,-99.18864665
SOULCORE FITNESS,19.34896604,-99.19531946
SPORTS WORLD MIGUEL �NGEL DE QUEVEDO,19.34616951,-99.18066052
SPORTS WORLD SAN ANGEL,19.35263526,-99.18686672
TECFIT,19.35187421,-99.18619287
CLUB FRANCE,19.35824126,-99.18072521
SMART FIT,19.36123026,-99.18320434
SPORTS WORLD BARRANCA,19.36064865,-99.18957378
WORLD PILATES,19.35998445,-99.18360862
8W,19.36240031,-99.1829543
CENTRO LIBANES,19.36361332,-99.17993616
FITNESS EXPRESS,19.36468885,-99.1828847
SPORT CITY INSURGENTES,19.36356724,-99.18240315
"CENTRO DEPORTIVO UNION FAMILIAR, S.A. DE C.V.",19.36464663,-99.18985518
SPORTS WORLD MANACAR,19.3687784,-99.18075243
TORRE MANACAR,19.36853594,-99.18082789
LONDON SQUASH,19.37099308,-99.17739897
SPORTS WORLD DEL VALLE,19.3710141,-99.18003205
WOMENS FITNESS,19.37019654,-99.18613476
9 ROUND,19.37038946,-99.17450993
BE ONE FITNESS,19.37302688,-99.17642637
CLUB DE PORTIVO MIXCOAC,19.37384779,-99.18210091
CURVES INSURGENTES,19.3739811,-99.17958016
GIMNASIO YAMAGUCHI,19.37508782,-99.18244754
PROK GIMNASIA,19.37431779,-99.17789268
SMART FIT,19.37344525,-99.17811779
SPAZIO PILATES,19.37046882,-99.17487134
UNIVERSO PILATES ESTUDIO REFORMER,19.3726951,-99.17466069
