Año,Estado,Mes,Delegación,Colonia,Tipo,Ruta,Limite 1,Limite 2,Distancia Recorrida,Evidencia,Link,Foto de Evidencia,Display,Formato de Anuncio,ID,Anunciante(s),Campaña,Industria,Precio estimado,Fecha de Revisión,BUM
2022,CDMX,Mayo,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aab2c30c3-e4a4-4a1c-8f13-d44c151107c2%5D%2Fanuncio_foto_11,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aab2c30c3-e4a4-4a1c-8f13-d44c151107c2%5D%2Fanuncio_foto_11,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aab2c30c3-e4a4-4a1c-8f13-d44c151107c2%5D%2Fanuncio_foto_11,Muro Publicitario,Digital,1,ACAPULCO TRAVEL,BRANDING,Turismo,,,
2022,CDMX,Mayo,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aab2c30c3-e4a4-4a1c-8f13-d44c151107c2%5D%2Fanuncio_foto_12,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aab2c30c3-e4a4-4a1c-8f13-d44c151107c2%5D%2Fanuncio_foto_12,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aab2c30c3-e4a4-4a1c-8f13-d44c151107c2%5D%2Fanuncio_foto_12,Muro Publicitario,Digital,2,ACAPULCO TRAVEL,BRANDING,Turismo,,,
2022,CDMX,Mayo,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac6189115-d6b0-4367-84a1-9ef54787fd5d%5D%2Fanuncio_foto_21,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac6189115-d6b0-4367-84a1-9ef54787fd5d%5D%2Fanuncio_foto_21,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac6189115-d6b0-4367-84a1-9ef54787fd5d%5D%2Fanuncio_foto_21,Muro Publicitario,Digital,3,ACAPULCO TRAVEL,#BENDITOACAPULCO,Turismo,,,
2022,CDMX,Mayo,Venustiano Carranza,Peñón De Los Baños,Terminales Aéreas,AICM,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac6189115-d6b0-4367-84a1-9ef54787fd5d%5D%2Fanuncio_foto_23,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac6189115-d6b0-4367-84a1-9ef54787fd5d%5D%2Fanuncio_foto_23,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac6189115-d6b0-4367-84a1-9ef54787fd5d%5D%2Fanuncio_foto_23,Muro Publicitario,Digital,4,ACAPULCO TRAVEL,#BENDITOACAPULCO,Turismo,,,
2022,Jalisco,Mayo,Zapopan,Puerta De Hierro,Centros Comerciales,Plaza Andares,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab9a94ea9-b347-410f-8fc1-b209ed42d7f8%5D%2Fanuncio_foto_34,,,Directorio ,Digital,5,ACUARELA,BRANDING,"Cementos, Construcción e Inmobiliaria",,,
2022,Jalisco,Mayo,Zapopan,Puerta De Hierro,Centros Comerciales,Plaza Andares,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abd832b60-747d-4cf4-8403-30a5f4d3163e%5D%2Fanuncio_foto_26,,,Directorio ,Digital,6,ACUARELA,BRANDING,"Cementos, Construcción e Inmobiliaria",,,
2022,Jalisco,Mayo,Zapopan,Puerta De Hierro,Centros Comerciales,Plaza Andares,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abd832b60-747d-4cf4-8403-30a5f4d3163e%5D%2Fanuncio_foto_42,,,Directorio ,Digital,7,ACUARELA,BRANDING,"Cementos, Construcción e Inmobiliaria",,,
2022,Jalisco,Mayo,Zapopan,Puerta De Hierro,Centros Comerciales,Plaza Andares,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa9a5f6da-2f0b-4e6a-a0d0-5abe5ede0f4e%5D%2Fanuncio_foto_1,,,Panel de Pasillo,Impreso,8,ACUARELA,BRANDING,"Cementos, Construcción e Inmobiliaria",,,
2022,Jalisco,Mayo,Zapopan,Puerta De Hierro,Centros Comerciales,Plaza Andares,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa9a5f6da-2f0b-4e6a-a0d0-5abe5ede0f4e%5D%2Fanuncio_foto_3,,,Directorio ,Impreso,9,ACUARELA,BRANDING,"Cementos, Construcción e Inmobiliaria",,,
2022,Jalisco,Mayo,Zapopan,Puerta De Hierro,Centros Comerciales,Plaza Andares,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa9a5f6da-2f0b-4e6a-a0d0-5abe5ede0f4e%5D%2Fanuncio_foto_20,,,Directorio ,Digital,10,ACUARELA,BRANDING,"Cementos, Construcción e Inmobiliaria",,,
