Punto,Lat,Lon
09PPR0788G - ESCUELA PRIMARIA PALAS ATHENEA,19.45791,-99.08265
ANEXO COLEGIO NASHVILLE,19.45100182,-99.05774698
BODEGA AUXILIAR DEL COLEGIO MARIANO RIVA PALACIO,19.49885946,-99.08453114
CANADIA SCHOOL SANTA FE,19.36964839,-99.28664394
CEDAR VALLEY SCHOOL,19.35965086,-99.28509077
CENTRO DE APRENDIZAJE CELESTIN FREINET,19.46114407,-99.18255239
CENTRO DE DESARROLLO JUAN JACOBO ROUSSEAU,19.46756032,-99.06213917
CENTRO DE EDUCACION VILLA NIVEL PRIMARIA,19.48346938,-99.12123563
CENTRO EDUCATIVO  NUEVA ESCOCIA,19.36662581,-99.19204417
CENTRO EDUCATIVO ALEXANDER FLEMING,19.28495736,-99.17534692
CENTRO EDUCATIVO FERNANDO SAVATER S.A. DE C.V.,19.28265443,-99.19498671
CENTRO EDUCATIVO HARLEQUIN,19.34105988,-99.2475866
CENTRO EDUCATIVO ISKU IREKHORENI,19.25417132,-99.01016147
CENTRO EDUCATIVO MODERNO,19.39500235,-99.14443493
CENTRO EDUCATIVO MONTESORI,19.50121834,-99.12628602
CENTRO EDUCATIVO MOZART,19.35085823,-99.29346833
CENTRO EDUCATIVO NUEVA ESCOCIA,19.46796001,-99.18013692
CENTRO EDUCATIVO PETIT BON HOMME,19.33276417,-99.13985672
CENTRO EDUCATIVO PLAZAMIGOS,19.39119332,-99.1386808
CENTRO EDUCATIVO TOPILEJO,19.19872197,-99.14382307
CENTRO EDUCATIVO VICTORIA,19.35835568,-99.24178337
CENTRO ESCOLAR ALFA OMEGA,19.39949989,-99.08247567
CENTRO ESCOLAR DE LAS AMERICAS,19.47830044,-99.11429607
CENTRO ESCOLAR DE LAS AMERICAS,19.4742486,-99.11654506
CENTRO ESCOLAR FRANCISCO I MADERO,19.39722245,-99.10113049
CENTRO ESCOLAR MAR Y SOL,19.4972795,-99.07180765
CENTRO ESCOLAR MARTINIQUE,19.41338892,-99.10539496
CENTRO ESCOLAR MEXICO,19.34853682,-98.99800263
CENTRO ESCOLAR NACIONES UNIDAD PRIMARIA,19.5405218,-99.15294672
